pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Kent,Hull,C,67,,45,63,12,98,26,96,63,55,31,17,30,23,11,10,23,97,99,10,35,40,22,49,84,99,77,5,93,68
primary,1,Adam,Lingner,C,63,Illinois,57,44,12,70,13,59,61,34,23,28,18,31,11,11,24,49,43,16,14,28,9,49,41,99,31,5,49,43
primary,2,Kirby,Jackson,CB,47,,89,86,9,77,20,69,45,84,96,10,61,7,11,10,39,30,33,37,39,56,22,49,66,1,65,5,89,60
primary,3,Nate,Odomes,CB,37,Wisconsin,83,90,9,89,16,77,35,78,95,12,78,8,12,10,47,14,18,39,28,77,20,49,88,1,59,5,90,80
primary,4,David,Pool,CB,29,,92,99,11,71,19,72,39,92,80,19,44,39,11,11,48,34,39,51,29,36,21,49,36,1,45,5,55,42
primary,5,James,Williams,CB,31,,85,91,11,75,19,85,33,81,86,8,69,6,11,11,35,34,39,34,24,71,21,49,36,1,40,5,60,52
primary,6,Chris,Hale,CB,26,,82,89,9,83,19,88,39,82,72,11,70,8,11,10,23,18,22,37,35,54,23,49,20,1,41,5,79,60
primary,7,Richard,Carey,CB,20,Idaho,87,92,9,88,21,83,43,73,61,13,49,9,11,10,19,29,27,41,29,51,23,49,42,1,21,5,28,57
primary,8,Leon,Seals,DE,96,,72,72,10,99,19,99,73,70,47,15,88,28,11,11,20,23,22,30,99,88,19,49,88,99,89,5,99,24
primary,9,Bruce,Smith,DE,78,Virginia Tech,80,74,10,60,19,79,69,59,49,17,77,26,11,10,23,23,24,20,79,76,20,49,64,99,50,5,71,72
primary,10,Jeff,Hunter,DE,98,,67,66,10,60,21,64,71,64,31,18,71,28,11,11,26,30,26,28,80,63,22,49,54,99,66,5,60,78
primary,11,Mike,Lodish,DE,73,UCLA,66,77,10,67,19,80,71,55,58,23,72,35,11,11,27,26,34,18,71,64,19,49,34,99,42,5,29,24
primary,12,Jeff,Wright,DT,91,,81,75,11,61,21,83,67,69,34,16,89,28,10,10,22,32,23,14,41,89,19,49,77,99,56,5,79,89
primary,13,Mark,Pike,DT,94,Georgia Tech,58,60,11,50,22,75,91,56,18,20,75,28,10,10,23,32,24,2,36,84,22,49,20,99,37,5,51,79
primary,14,Gary,Baldinger,DT,92,Wake Forest,54,52,10,61,16,74,61,45,11,21,66,31,11,11,24,19,23,18,59,73,16,49,29,99,27,5,64,44
primary,15,Thurman,Thomas,FB,34,,79,80,16,99,26,93,47,78,9,52,18,88,14,14,62,79,47,72,13,17,27,49,49,99,54,5,83,53
primary,16,Mark,Kelso,FS,38,William & Mary,78,79,9,88,18,81,43,62,86,13,80,9,11,11,22,23,20,40,29,80,20,49,92,1,68,5,95,70
primary,17,John,Hagy,FS,22,Texas,89,95,11,66,20,86,45,85,65,8,54,6,11,11,34,34,35,34,44,50,21,49,36,1,37,5,23,42
primary,18,Cliff,Hicks,FS,27,Oregon,80,92,11,94,24,74,45,70,52,7,69,5,11,11,39,44,42,33,44,61,26,49,58,1,31,5,33,24
primary,19,Jim,Ritcher,G,51,,48,62,11,99,25,97,61,50,34,20,29,20,10,10,23,87,81,7,37,37,23,49,58,99,70,5,95,49
primary,20,John,Davis,G,65,Georgia Tech,39,48,12,76,24,96,58,39,14,33,29,16,10,10,24,80,84,7,28,27,22,49,38,99,60,5,88,24
primary,21,Glenn,Parker,G,74,,41,44,11,50,22,96,73,58,11,30,23,16,10,10,13,70,63,1,23,28,19,49,37,99,47,5,45,14
primary,22,Brian,Taylor,HB,35,,88,99,37,99,14,99,80,78,15,83,15,95,39,38,83,54,59,99,9,8,18,49,99,30,99,20,99,1
primary,23,Jamie,Mueller,HB,41,,90,72,24,90,14,82,37,78,15,86,15,89,22,24,87,38,51,89,9,8,18,49,84,1,66,5,58,73
primary,24,Don,Smith,HB,30,,83,75,16,72,16,71,49,61,10,59,14,70,13,13,60,46,46,70,6,12,14,49,34,99,29,5,62,79
primary,25,Kenneth,Davis,HB,23,TCU,83,74,15,63,13,94,55,88,34,49,28,69,15,14,54,32,39,81,20,19,16,49,38,50,38,5,60,69
primary,26,Carwell,Gardner,HB,35,,90,79,17,77,17,92,53,64,15,24,10,63,15,16,63,30,28,92,8,8,18,49,44,1,31,5,62,56
primary,27,Larry,Kinnebrew,HB,28,,88,79,17,65,16,72,47,76,13,48,8,75,14,14,49,49,35,90,6,13,19,49,38,99,40,24,41,41
primary,28,Shane,Conlan,ILB,58,,63,79,10,98,11,75,70,54,86,21,99,28,11,10,43,25,20,22,81,99,11,49,96,99,63,5,99,74
primary,29,Ray,Bentley,ILB,50,Central Michigan,75,76,10,64,6,89,57,82,72,15,92,22,11,11,18,27,20,24,63,89,5,49,89,99,63,5,95,76
primary,30,Carlton,Bailey,ILB,54,North Carolina,75,71,10,85,8,93,85,64,76,15,81,28,11,11,18,23,18,34,72,76,9,49,84,99,72,5,74,79
primary,31,Scott,Norwood,K,11,James Madison,39,45,11,30,86,90,32,38,17,22,27,15,11,12,13,19,14,29,12,12,89,99,54,50,59,5,71,22
primary,32,Cornelius,Bennett,OLB,97,Alabama,80,86,10,99,11,99,90,70,85,20,99,28,11,10,26,27,21,26,95,89,11,49,99,27,90,5,99,99
primary,33,Darryl,Talley,OLB,56,West Virginia,69,80,10,97,15,88,55,76,77,19,91,32,11,10,30,31,25,32,88,93,14,49,86,99,71,5,93,70
primary,34,Marvcus,Patton,OLB,53,UCLA,78,87,10,85,11,87,61,68,71,23,81,34,11,11,16,20,20,12,53,79,8,49,38,99,37,5,63,56
primary,35,Rick,Tuten,P,10,,43,43,25,35,68,89,32,36,13,12,27,13,26,25,6,13,5,39,7,11,71,1,22,50,79,5,84,24
primary,36,Jim,Kelly,QB,12,,66,64,93,50,9,84,43,56,26,21,31,22,93,96,21,30,28,29,20,22,13,49,92,50,78,30,85,24
primary,37,Frank,Reich,QB,14,Maryland,63,73,88,50,11,85,39,48,31,30,29,18,79,84,46,27,26,70,22,20,14,49,71,50,79,67,60,24
primary,38,Gale,Gilbert,QB,7,California,73,66,60,16,10,86,22,56,33,26,32,32,68,64,23,32,29,28,23,19,14,49,45,50,67,16,31,24
primary,39,Leonard,Smith,SS,46,,88,77,10,72,14,39,59,70,85,40,80,10,11,11,17,26,20,49,55,76,17,49,75,1,69,5,92,80
primary,40,Dwight,Drane,SS,45,Oklahoma,75,85,10,70,11,79,57,67,60,35,78,9,11,10,11,19,16,49,70,72,14,49,64,1,43,5,86,81
primary,41,Kim,Phillips,SS,43,North Texas,84,86,8,99,28,75,51,85,64,20,76,7,10,10,50,38,43,44,61,69,29,49,50,1,34,5,58,58
primary,42,Will,Wolford,T,69,Vanderbilt,43,56,11,86,19,94,69,41,15,29,29,20,10,10,26,94,93,13,30,28,18,49,80,99,69,5,76,49
primary,43,Howard,Ballard,T,75,Alabama A&M,48,58,11,82,16,97,77,50,24,32,32,47,11,17,43,77,77,19,23,23,16,49,55,99,52,5,48,39
primary,44,Mitch,Frerotte,T,59,,36,40,12,79,19,81,77,45,10,27,27,20,10,10,23,70,71,11,27,30,17,49,46,99,63,5,85,11
primary,45,Keith,McKeller,TE,84,,73,77,10,39,4,85,55,55,19,78,16,74,11,13,84,64,67,59,11,20,4,49,24,99,57,5,58,13
primary,46,Pete,Metzelaars,TE,88,,66,76,10,44,7,87,59,61,8,79,14,44,11,11,73,77,75,74,7,7,11,49,53,99,63,5,33,24
primary,47,Butch,Rolle,TE,87,,77,77,10,59,13,69,55,64,14,68,10,47,11,11,73,73,76,76,13,15,15,49,52,99,61,5,25,24
primary,48,Al,Edwards,WR,85,,81,78,15,77,14,68,68,67,6,96,15,91,16,16,89,53,53,90,11,5,18,49,44,99,35,5,73,99
primary,49,James,Lofton,WR,80,Stanford,93,86,13,28,7,82,47,99,15,85,11,66,14,14,80,27,34,76,5,10,12,49,68,50,54,5,92,42
primary,50,Andre,Reed,WR,83,,80,81,15,59,14,63,37,64,6,77,15,59,16,17,77,54,53,80,15,7,18,49,80,50,86,5,91,51
primary,51,Don,Beebe,WR,82,,81,90,15,76,12,75,40,65,13,78,14,73,16,16,83,36,38,49,13,11,17,49,75,50,66,5,99,24
primary,52,Steve,Tasker,WR,89,,86,81,13,58,10,80,37,72,10,70,7,43,14,14,73,34,35,64,14,6,13,49,23,50,40,5,96,24
