pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Anthony,Munoz,C,65,,37,53,10,82,23,97,57,41,31,21,33,14,10,10,33,88,90,6,39,27,22,49,40,99,54,5,65,50
primary,1,Bruce,Kozerski,C,67,,52,58,11,76,17,99,91,67,6,8,16,7,10,10,9,54,52,8,11,33,13,49,27,99,42,5,35,22
primary,2,Ray,Horton,CB,27,,87,86,9,70,18,83,45,82,95,14,74,10,11,11,42,19,26,43,30,60,19,49,84,1,79,5,86,78
primary,3,Rickey,Dixon,CB,25,,83,85,9,53,17,82,35,78,92,14,67,10,11,10,24,30,28,43,25,59,19,49,78,1,69,5,95,60
primary,4,Lewis,Billups,CB,22,,81,77,9,60,18,95,53,64,68,11,71,8,11,10,26,22,27,37,32,55,19,49,24,1,47,5,86,45
primary,5,Ellis,Dillahunt,CB,23,,88,82,11,94,24,66,41,88,73,7,64,35,11,11,39,44,42,32,47,50,26,49,58,1,43,5,55,24
primary,6,Eric,Thomas,CB,20,,91,79,11,60,17,86,49,76,67,7,45,5,11,11,21,23,23,32,38,42,15,49,31,1,32,5,48,39
primary,7,Eddie,Edwards,DE,79,,76,64,10,70,20,79,73,64,46,18,85,29,11,10,19,27,20,18,93,80,20,49,70,99,66,5,75,81
primary,8,Skip,McClendon,DE,95,,65,85,10,63,19,79,65,85,55,18,79,26,11,10,23,17,21,12,83,83,20,49,31,99,44,5,45,83
primary,9,Jim,Skow,DE,50,,65,62,11,49,12,38,67,88,10,19,89,27,13,11,14,18,20,10,83,82,13,49,26,99,40,5,50,46
primary,10,Tim,Krumrie,DT,69,,59,83,10,88,23,85,89,58,24,29,85,34,11,11,38,31,36,14,84,80,22,49,78,99,54,5,71,80
primary,11,David,Grant,DT,90,,59,56,10,63,22,73,67,56,50,19,88,28,11,10,27,35,27,22,75,84,23,49,48,99,64,5,75,58
primary,12,Jason,Buck,DT,98,,61,66,11,60,23,89,75,52,21,22,73,29,10,11,26,33,29,4,71,82,23,49,80,99,48,5,41,88
primary,13,Curtis,Maxey,DT,73,,65,79,11,72,22,84,75,59,20,18,71,31,11,10,19,25,20,10,70,82,21,49,72,99,49,5,20,63
primary,14,James,Brooks,FB,30,,83,82,18,92,22,95,82,70,6,68,5,93,14,16,70,79,79,86,10,14,21,49,74,99,75,5,99,99
primary,15,David,Fulcher,FS,48,,82,72,9,92,19,76,57,73,90,12,97,8,11,10,7,22,22,39,59,97,22,49,79,1,74,5,96,57
