pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Mike,Connelly,C,58,,45,63,12,98,26,96,63,55,31,17,30,23,11,10,23,95,99,10,35,40,22,49,84,99,77,5,93,68
primary,1,Tony,Liscio,C,67,,53,66,12,82,21,98,57,50,30,50,37,39,11,11,42,67,70,13,41,22,22,49,54,99,45,5,75,41
primary,2,Malcolm,Walker,C,64,,53,66,12,82,21,98,57,50,30,51,37,39,11,11,42,66,70,13,42,23,22,49,54,99,45,5,73,41
primary,3,Cornell,Green,CB,29,,87,86,9,70,18,83,45,82,95,14,74,10,11,11,42,19,26,43,30,60,19,49,84,1,79,5,86,78
primary,4,Obert,Logan,CB,23,,83,88,9,55,16,87,45,64,89,10,76,7,11,10,39,14,18,37,38,65,16,49,79,1,63,5,90,56
primary,5,Mike,Johnson,CB,48,,85,98,12,53,17,87,49,99,70,14,72,10,12,13,23,5,5,60,30,59,15,49,32,1,42,5,51,60
primary,6,Warren,Livingston,CB,32,,83,81,12,55,16,97,49,92,77,6,60,4,13,11,41,18,20,30,40,51,19,49,28,1,44,5,55,43
primary,7,Phil,Clark,CB,43,,86,90,9,49,15,86,43,81,63,9,66,6,11,10,18,9,13,35,52,52,17,49,25,1,43,5,51,24
primary,8,Larry,Stephens,DE,63,,91,88,11,60,15,79,51,82,41,25,90,33,13,11,22,21,26,12,94,83,17,49,69,99,50,5,79,85
primary,9,Larry,Cole,DE,66,,83,71,11,67,19,70,71,79,47,15,82,29,11,11,18,21,19,24,96,79,19,49,48,99,53,5,63,57
primary,10,George,Andrie,DE,85,,61,71,10,72,22,88,57,73,68,24,87,37,11,11,32,23,30,24,76,77,21,49,36,99,36,5,55,85
primary,11,Andy,Stynchula,DE,62,,87,68,10,67,19,98,85,70,3,23,70,35,11,11,27,26,34,18,70,52,19,49,34,99,48,5,50,24
primary,12,Willie,Townes,DE,93,,75,72,10,50,17,83,57,58,42,18,73,24,11,10,19,21,20,10,74,74,19,49,21,99,38,5,42,75
primary,13,Bob,Lilly,DT,74,,59,83,10,88,23,85,89,58,24,29,85,34,11,11,38,31,36,14,84,80,22,49,78,99,54,5,71,80
primary,14,Ron,East,DT,75,,50,63,11,57,22,85,77,64,18,14,77,31,11,11,24,29,26,22,78,78,20,49,62,99,63,5,72,74
primary,15,Jethro,Pugh,DT,72,,58,75,10,60,15,80,77,58,20,19,75,34,11,11,23,23,27,20,80,76,19,49,29,99,32,5,35,76
primary,16,Don,Perkins,FB,37,,84,76,16,97,24,92,47,67,15,70,10,41,14,14,88,83,80,95,7,9,26,49,65,99,72,5,28,24
primary,17,Les,Shy,FB,34,,70,66,18,70,15,95,53,65,38,40,21,50,14,14,59,70,68,87,29,36,14,49,22,99,50,5,64,38
primary,18,Mike,Gaechter,FS,35,,81,88,12,93,22,84,39,76,78,8,82,6,12,11,14,30,31,34,48,68,25,49,54,1,53,5,65,46
