pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Tom,Nalen,C,66,,53,62,12,98,26,97,67,52,34,18,30,26,11,10,20,93,82,8,35,40,23,49,90,99,74,5,81,49
primary,1,K.C.,Jones,C,60,,51,51,12,62,7,98,91,52,14,29,29,38,11,11,26,60,60,17,20,30,11,49,38,99,53,5,36,6
primary,2,Randy,Hilliard,CB,21,,85,86,9,58,16,33,41,82,86,13,80,9,11,11,29,19,18,41,32,64,17,49,90,1,76,5,84,60
primary,3,Darrien,Gordon,CB,23,,75,83,9,55,16,73,39,68,89,12,79,8,11,10,47,23,25,39,40,70,19,49,64,1,54,5,90,77
primary,4,Ray,Crockett,CB,39,,89,82,9,66,15,85,41,80,65,13,62,9,11,11,14,11,18,41,35,55,17,49,32,1,51,5,87,71
primary,5,Tory,James,CB,20,,82,82,9,41,16,76,31,82,79,12,77,8,11,10,23,19,26,39,48,70,17,49,22,1,56,5,81,54
primary,6,Dedrick,Dodge,CB,33,,90,91,9,47,17,86,27,73,66,11,66,8,11,11,15,15,23,37,29,55,20,49,42,1,47,5,79,83
primary,7,Harald,Hasselbach,DE,96,,60,62,11,70,23,84,53,56,29,18,85,33,11,10,27,32,28,16,87,89,23,49,60,99,48,5,75,90
primary,8,Jumpy,Geathers,DE,79,,61,71,10,72,22,88,57,73,68,24,87,37,11,11,32,23,30,24,76,77,21,49,36,99,36,5,55,85
primary,9,Alfred,Williams,DE,91,,71,50,10,69,19,73,61,73,46,14,70,27,11,10,24,22,25,28,75,72,19,49,31,99,38,5,75,87
primary,10,David,Richie,DE,99,,66,70,11,57,14,59,61,92,37,23,77,29,13,11,18,24,25,14,73,74,13,49,24,99,36,5,50,55
primary,11,Ernest,Jones,DE,72,,78,67,10,70,17,85,73,81,46,16,65,26,11,10,16,12,18,18,80,65,19,49,31,99,29,5,46,77
