pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Ken,Bowman,C,64,,53,76,11,99,24,95,71,45,31,18,27,20,10,10,21,88,80,8,33,37,22,49,51,99,70,5,64,44
primary,1,Bob,Hyland,C,62,,57,72,11,76,17,76,55,64,6,8,16,7,10,10,9,61,60,8,11,33,13,49,27,99,31,5,40,22
primary,2,Herb,Adderley,CB,26,,83,90,9,89,16,77,35,78,95,12,78,8,12,10,47,14,18,39,28,77,20,49,88,1,59,5,90,80
primary,3,Al,Matthews,CB,21,,83,88,9,55,16,87,45,64,89,10,76,7,11,10,39,14,18,37,38,65,16,49,79,1,63,5,90,56
primary,4,Tom,Brown,CB,18,,82,89,9,83,19,88,39,82,72,11,70,8,11,10,23,18,22,37,35,54,23,49,20,1,41,5,79,60
primary,5,Dave,Hathcock,CB,33,,86,79,9,65,16,98,65,82,70,30,55,8,11,11,28,20,28,49,43,46,19,49,53,1,31,5,48,61
primary,6,Hank,Gremminger,CB,20,,91,81,11,91,26,62,55,73,66,7,44,5,11,11,9,35,36,32,55,40,24,49,57,1,31,5,35,24
primary,7,Jesse,Whittenton,CB,43,,86,85,11,83,19,66,43,76,60,10,54,7,11,11,17,43,48,37,33,46,19,49,62,1,20,5,31,48
primary,8,Gordon,Rule,CB,24,,90,76,9,43,17,67,37,72,55,12,41,8,10,10,23,34,31,6,30,32,17,49,23,1,20,5,31,46
primary,9,Ken,Ellis,CB,46,,82,81,9,88,21,69,41,61,56,13,49,9,11,10,19,29,27,41,29,41,23,49,42,1,20,5,24,57
primary,10,Willie,Davis,DE,82,,78,88,10,79,19,76,58,64,51,14,95,28,11,10,24,19,26,28,98,88,20,49,97,99,65,5,83,80
primary,11,Lionel,Aldridge,DE,87,,61,71,10,72,22,88,57,73,68,24,87,37,11,11,32,23,30,24,76,77,21,49,36,99,36,5,55,85
primary,12,Henry,Jordan,DT,74,,60,59,11,69,21,87,67,47,18,18,89,28,11,11,22,27,22,12,76,88,20,49,69,99,64,5,76,73
primary,13,Leon,Crenshaw,DT,72,,59,63,10,66,22,89,87,52,24,26,79,34,11,11,32,32,36,10,70,84,23,49,70,99,54,5,52,47
primary,14,Ron,Kostelnik,DT,90,,49,61,11,52,24,82,57,48,15,19,78,31,10,10,32,43,34,10,69,68,24,49,33,99,43,5,86,69
primary,15,Jim,Weatherwax,DT,91,,70,75,10,60,15,81,59,64,20,19,75,34,11,11,23,23,27,20,74,68,19,49,29,99,46,5,55,24
primary,16,Bob,Brown,DT,71,,58,61,10,67,28,72,63,50,33,30,60,32,10,10,39,41,39,29,45,60,29,49,36,99,20,5,73,74
primary,17,Ben,Wilson,FB,38,,77,83,18,92,22,91,67,67,6,65,5,91,14,16,76,67,65,65,10,14,21,49,74,99,68,5,66,66
primary,18,Willie,Wood,FS,49,,81,88,12,93,22,84,39,76,78,8,82,6,12,11,14,30,31,34,48,68,25,49,54,1,53,5,65,46
primary,19,Doug,Hart,FS,23,,87,81,10,66,17,65,39,62,80,12,76,8,11,10,14,24,20,39,33,65,19,49,26,1,45,5,70,80
primary,20,Jerry,Norton,FS,34,,91,84,11,94,24,74,63,82,64,7,44,5,11,11,27,44,42,33,36,43,26,49,58,1,42,5,43,24
primary,21,Fuzzy,Thurston,G,66,,38,57,12,86,23,99,69,45,13,30,27,16,10,10,23,98,90,7,27,28,21,49,83,99,73,5,88,24
primary,22,Gale,Gillingham,G,65,,50,51,12,71,19,94,63,48,6,24,22,9,10,10,10,76,87,8,16,27,15,49,69,99,56,5,49,42
primary,23,Jerry,Kramer,G,61,,54,65,12,69,10,83,73,64,18,33,33,42,11,11,34,45,46,17,26,31,14,49,43,99,20,5,35,87
primary,24,Elijah,Pitts,HB,22,,85,79,17,95,16,87,67,68,13,51,6,80,15,16,50,38,41,97,11,13,18,49,83,99,53,5,40,81
primary,25,Donny,Anderson,HB,5,,76,75,28,89,14,75,57,59,6,40,6,88,26,26,48,36,30,94,15,6,16,49,81,99,61,5,64,70
primary,26,Jim,Grabowski,HB,36,,67,79,15,43,16,71,65,67,39,31,28,83,14,14,62,37,29,96,32,36,17,49,50,99,40,5,54,74
primary,27,Chuck,Mercein,HB,45,,88,79,17,65,16,72,47,76,13,48,8,75,14,14,49,49,35,90,6,13,19,49,38,99,40,24,41,41
primary,28,Ray,Nitschke,ILB,63,,74,86,10,98,11,34,69,68,85,19,99,29,11,10,27,27,22,26,91,99,11,49,92,99,66,5,90,90
primary,29,Lee Roy,Caffey,ILB,53,,78,69,10,78,4,64,69,84,74,15,90,34,11,11,16,23,20,24,83,89,4,49,79,99,52,5,74,63
primary,30,Don,Chandler,K,2,,39,45,10,30,73,54,30,36,13,18,17,13,11,12,6,5,1,29,7,9,56,99,11,50,34,5,74,37
primary,31,Dave,Robinson,OLB,60,,77,71,10,92,13,84,73,85,70,28,89,47,11,11,21,31,29,39,87,89,13,49,75,99,59,5,75,80
primary,32,Jim,Flanigan,OLB,89,,69,80,10,97,15,88,55,76,77,19,91,32,11,10,30,31,25,32,88,93,14,49,86,99,71,5,93,70
