pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Jay,Leeuwenburg,C,58,,50,70,14,71,18,94,69,70,14,37,29,32,14,11,34,80,72,10,27,24,13,49,42,99,51,5,65,46
primary,1,Jason,Johnson,C,60,,57,72,11,76,17,76,55,64,6,8,16,7,10,10,9,61,60,8,11,33,13,49,27,99,31,5,40,22
primary,2,Ray,McElroy,CB,40,,89,86,9,77,20,69,45,84,96,10,61,7,11,10,39,30,33,37,39,56,22,49,66,1,65,5,89,60
primary,3,Dedric,Mathis,CB,23,,83,88,9,55,16,87,45,64,89,10,76,7,11,10,39,14,18,37,38,65,16,49,79,1,63,5,90,56
primary,4,Carlton,Gray,CB,26,,85,91,11,75,19,85,33,81,86,8,69,6,11,11,35,34,39,34,24,71,21,49,36,1,40,5,60,52
primary,5,Damon,Watts,CB,36,,87,92,9,88,21,83,43,73,61,13,49,9,11,10,19,29,27,41,29,51,23,49,42,1,21,5,28,57
primary,6,Albert,Fontenot,DE,99,,78,88,10,79,19,76,58,64,51,14,95,28,11,10,24,19,26,28,98,88,20,49,97,99,65,5,83,80
primary,7,Tony,Bennett,DE,56,,75,82,10,75,19,86,71,79,46,14,88,28,11,10,22,18,23,26,96,78,19,49,59,99,66,5,88,80
primary,8,Dan,Footman,DE,98,,72,76,10,57,19,54,61,62,59,18,66,27,11,10,23,22,23,36,73,72,20,49,23,99,40,5,55,74
primary,9,Carl,Powell,DE,92,,66,77,10,67,19,80,71,55,58,23,72,35,11,11,27,26,34,18,71,64,19,49,34,99,42,5,29,24
primary,10,Tony,McCoy,DT,61,,81,75,11,61,21,83,67,69,34,16,89,28,10,10,22,32,23,14,41,89,19,49,77,99,56,5,79,89
primary,11,Kendel,Shello,DT,97,,62,65,11,64,23,39,79,62,26,18,93,31,10,10,30,35,31,18,70,87,23,49,71,99,51,5,56,83
primary,12,Bernard,Whittington,DT,95,,58,60,11,50,22,75,91,56,18,20,75,28,10,10,23,32,24,2,36,84,22,49,20,99,37,5,51,79
