pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Tim,Grunhard,C,61,,43,51,12,95,25,97,53,39,28,16,24,23,11,11,18,87,86,9,30,40,22,49,75,99,74,5,95,43
primary,1,Dale,Carter,CB,34,,83,90,9,89,16,77,35,78,95,12,78,8,12,10,47,14,18,39,28,77,20,49,88,1,59,5,90,80
primary,2,Tahaun,Lewis,CB,29,,81,86,9,96,18,85,47,72,89,11,80,8,12,10,40,14,20,37,59,72,21,49,76,1,54,5,90,80
primary,3,Albert,Lewis,CB,44,,92,76,11,71,19,72,41,85,78,19,72,39,11,11,26,34,39,51,33,52,21,49,36,1,39,5,45,42
primary,4,Doug,Terry,CB,21,,83,85,9,53,17,79,47,78,70,14,63,10,11,10,24,30,28,43,25,51,19,49,78,1,55,5,81,77
primary,5,Kevin,Ross,CB,31,,87,92,12,72,16,86,37,75,73,10,74,38,12,11,27,33,29,50,42,67,19,49,32,1,41,5,60,51
primary,6,Bennie,Thompson,CB,27,,87,90,13,64,16,68,51,79,63,8,56,6,13,11,26,26,29,60,41,53,17,49,31,1,30,5,50,56
primary,7,Kevin,Porter,CB,34,,86,74,9,45,19,79,31,73,65,12,57,8,11,10,12,25,29,39,32,45,19,49,27,1,22,5,55,54
primary,8,Bill,Maas,DE,99,,75,82,10,75,19,86,71,79,46,14,88,28,11,10,22,18,23,26,96,78,19,49,59,99,66,5,88,80
primary,9,Neil,Smith,DE,90,,78,88,10,79,19,76,58,64,51,14,95,28,11,10,24,19,26,28,98,88,20,49,97,99,65,5,83,80
primary,10,Leonard,Griffin,DT,96,,72,60,11,63,22,75,71,61,20,18,98,31,11,10,20,23,22,10,97,90,21,49,92,99,65,5,98,99
primary,11,Mike,Evans,DT,92,,63,77,10,70,22,57,69,53,31,24,89,38,11,11,24,33,36,26,76,94,20,49,56,99,63,5,73,51
primary,12,Dan,Saleaumua,DT,97,,57,59,10,46,17,61,61,56,49,13,73,24,11,10,18,26,20,41,86,72,17,49,29,99,39,5,88,99
primary,13,Joe,Phillips,DT,75,,56,68,13,67,16,72,67,82,10,22,76,30,11,11,24,23,26,10,77,74,15,49,31,99,38,5,50,42
primary,14,Tom,Sims,DT,95,,70,75,10,60,15,81,59,64,20,19,75,34,11,11,23,23,27,20,74,68,19,49,29,99,46,5,55,24
primary,15,Christian,Okoye,FB,31,,79,80,16,99,26,93,47,78,9,52,18,88,14,14,62,79,47,72,13,17,27,49,49,99,54,5,83,53
primary,16,Charles,Mincy,FS,35,,81,88,12,93,22,84,39,76,78,8,82,6,12,11,14,30,31,34,48,68,25,49,54,1,53,5,65,46
primary,17,Dave,Lutz,G,68,,50,66,12,92,23,94,61,55,13,43,28,16,10,11,50,98,93,8,28,27,21,49,80,99,87,5,94,42
primary,18,Mike,Baab,G,70,,51,64,12,75,22,93,67,44,14,32,29,12,10,11,26,84,80,8,27,26,21,49,81,99,83,5,80,49
primary,19,David,Szott,G,79,,41,42,11,90,17,98,69,39,13,28,26,18,10,10,17,57,61,11,24,28,16,49,47,99,49,5,81,39
primary,20,Kani,Kauahi,G,69,,49,65,11,83,21,94,95,42,37,41,32,38,14,11,41,72,70,9,41,37,17,49,51,99,53,5,20,2
primary,21,Todd,McNair,HB,48,,81,79,25,89,13,81,55,67,8,74,6,85,16,15,79,31,32,96,12,10,17,49,41,50,67,5,86,71
primary,22,Barry,Word,HB,41,,82,63,12,44,16,95,63,67,38,45,41,63,14,14,52,26,25,81,30,33,17,49,20,99,23,5,66,91
primary,23,Harvey,Williams,HB,20,,79,70,17,69,14,87,53,68,10,48,6,78,15,16,39,40,43,64,6,14,15,49,43,50,24,5,64,83
primary,24,Kimble,Anders,HB,38,,88,79,17,65,16,72,47,76,13,48,8,75,14,14,49,49,35,90,6,13,19,49,38,99,40,24,41,41
primary,25,Bill,Jones,HB,22,,68,78,15,63,23,91,65,65,46,47,44,72,14,14,63,26,24,68,41,24,23,49,44,50,23,5,49,71
primary,26,Percy,Snow,ILB,56,,80,77,10,79,11,86,51,70,76,23,88,26,11,10,16,30,24,18,75,89,13,49,34,99,57,5,90,71
primary,27,Ervin,Randle,ILB,53,,72,82,10,87,13,88,63,58,70,19,83,29,11,10,28,31,25,32,63,84,13,49,77,99,36,5,79,74
primary,28,Tracy,Simien,ILB,54,,84,81,10,80,4,82,55,73,70,22,76,26,11,10,11,28,25,22,60,76,2,49,41,99,25,5,12,79
primary,29,Nick,Lowery,K,3,,40,43,22,48,90,86,41,42,26,29,30,28,27,22,34,31,23,32,31,35,86,99,26,50,73,5,55,80
primary,30,Chris,Martin,OLB,55,,82,86,10,99,11,84,63,64,85,20,99,28,11,10,26,27,21,26,68,98,11,49,90,99,70,5,90,82
primary,31,Tracy,Rogers,OLB,52,,72,78,10,81,16,89,73,76,63,28,71,28,11,10,10,39,32,18,88,65,16,49,46,99,41,5,82,89
primary,32,Derrick,Thomas,OLB,58,,74,68,10,83,6,85,63,75,73,13,76,26,11,10,11,21,16,30,55,77,6,49,49,99,42,5,59,74
primary,33,Bryan,Barker,P,6,,45,45,21,45,74,47,33,37,20,20,29,17,23,25,15,17,14,32,16,12,69,1,33,50,57,5,60,24
primary,34,Dave,Krieg,QB,10,,70,70,82,41,7,30,39,52,29,23,28,10,89,85,16,28,25,25,18,19,12,49,90,50,80,40,70,72
primary,35,Mark,Vlasic,QB,17,,63,74,83,26,8,78,31,59,26,22,29,36,86,85,14,17,16,28,8,32,13,49,78,50,79,45,75,24
primary,36,Matt,Blundin,QB,18,,78,71,72,25,7,89,35,61,14,18,19,35,68,72,4,3,7,28,20,27,9,49,70,50,70,75,33,24
primary,37,J.C.,Pearson,SS,38,,75,77,10,84,50,73,59,73,90,40,99,10,11,11,42,24,23,48,67,97,17,99,85,1,75,5,93,68
primary,38,Martin,Bayless,SS,21,,76,73,9,60,16,86,56,68,66,25,83,8,11,10,16,28,28,46,53,80,18,49,31,1,37,5,83,57
primary,39,Rich,Baldinger,T,62,,50,59,11,97,16,96,71,62,26,43,42,50,11,16,53,79,80,20,27,23,18,49,62,99,54,5,75,41
primary,40,Derrick,Graham,T,63,,46,51,11,76,19,98,64,52,14,24,20,12,10,10,6,82,74,7,19,27,18,49,60,99,52,5,85,41
primary,41,Joe,Valerio,T,74,,51,45,11,82,19,95,67,52,15,34,37,19,10,10,24,77,77,8,31,28,19,49,48,99,50,5,77,52
primary,42,John,Alt,T,76,,43,64,11,73,8,99,67,62,21,26,27,39,11,16,36,67,68,17,15,22,14,49,45,99,46,5,65,24
primary,43,Keith,Cash,TE,89,,65,81,26,66,14,85,51,68,9,74,14,55,24,26,76,82,85,78,8,15,16,49,39,99,62,5,22,24
primary,44,Jonathan,Hayes,TE,84,,64,71,10,46,8,76,55,67,9,52,12,32,11,12,77,73,75,65,14,14,11,49,31,99,37,5,29,23
primary,45,Mike,Dyal,TE,80,,77,53,11,44,18,89,59,52,15,38,39,36,10,11,33,58,63,50,31,26,17,49,46,99,22,5,38,24
primary,46,J.J.,Birden,WR,85,,85,79,15,72,12,81,40,62,14,85,10,67,16,16,84,60,62,80,7,8,16,49,56,99,57,5,99,80
primary,47,Fred,Jones,WR,82,,86,81,15,60,11,77,37,85,8,83,15,57,16,16,87,40,40,60,12,12,15,49,73,50,70,5,98,47
primary,48,Tim,Barnett,WR,86,,79,68,15,55,19,78,38,62,11,81,13,56,14,14,81,69,68,74,6,13,19,49,22,99,61,5,79,12
primary,49,Tony,Hargain,WR,83,,89,89,17,53,12,69,35,81,12,82,9,42,15,16,76,43,35,74,10,5,13,49,35,1,39,5,95,52
primary,50,Willie,Davis,WR,87,,91,86,17,51,10,65,29,85,7,80,11,34,14,16,73,55,32,74,10,14,10,49,32,50,22,5,79,76
primary,51,Michael,Smith,WR,4,,89,92,15,69,14,73,33,79,11,79,9,36,16,16,79,41,41,76,8,9,19,49,46,50,41,5,74,24
primary,52,Tony,Smith,WR,81,,84,84,13,32,8,78,38,64,9,67,8,47,14,14,69,45,32,64,8,10,13,49,31,1,37,5,98,48
