pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Bob,DeMarco,C,67,,45,63,12,98,26,96,63,55,31,17,30,23,11,10,23,97,99,10,35,40,22,49,84,99,77,5,93,68
primary,1,Jim,Langer,C,66,,57,72,11,76,17,76,55,64,6,8,16,7,10,10,9,61,60,8,11,33,13,49,27,99,31,5,40,22
primary,2,Lloyd,Mumphord,CB,44,,91,92,9,81,17,33,49,95,92,13,78,9,11,10,35,20,24,60,39,76,19,49,82,1,64,5,69,24
primary,3,Curtis,Johnson,CB,24,,91,90,11,83,19,74,43,82,91,10,79,7,11,11,18,43,48,60,54,73,20,49,80,1,50,5,75,95
primary,4,Tim,Foley,CB,23,,82,82,9,41,16,76,31,82,79,12,77,8,11,10,23,19,26,39,48,70,17,49,22,1,56,5,81,54
primary,5,Ray,Jones,CB,41,,85,88,9,66,16,72,47,72,74,12,68,8,11,10,21,11,18,39,25,54,17,49,22,1,48,5,75,77
primary,6,Dean,Brown,CB,31,,82,81,9,88,21,69,41,61,56,13,49,9,11,10,19,29,27,41,29,41,23,49,42,1,20,5,24,57
primary,7,Jim,Riley,DE,61,,54,66,11,49,19,89,73,58,3,16,70,26,11,10,19,27,23,4,79,70,19,49,20,99,53,5,73,61
primary,8,Bill,Stanfill,DE,85,,75,82,10,75,19,86,71,79,46,14,83,28,11,10,22,18,23,26,96,78,19,49,59,99,66,5,88,80
primary,9,Vern,Den Herder,DE,99,,74,79,11,75,12,80,69,70,42,31,74,35,13,11,27,33,34,22,64,69,13,49,39,99,43,5,41,24
primary,10,Norm,McBride,DE,91,,74,61,10,46,14,88,69,72,49,8,70,24,11,10,9,12,12,24,77,74,13,49,48,99,36,5,74,89
primary,11,John,Richardson,DT,75,,61,69,11,90,24,85,69,52,24,21,84,34,11,10,24,25,25,10,79,85,25,49,82,99,63,5,81,85
primary,12,Manny,Fernandez,DT,51,,72,77,10,60,22,66,61,73,29,20,67,27,10,10,23,32,29,10,90,70,21,49,26,99,48,5,80,42
primary,13,Bob,Heinz,DT,71,,61,81,11,60,12,76,67,75,10,23,71,31,11,11,19,22,28,10,69,68,14,49,34,99,34,5,38,43
primary,14,Frank,Cornish,DT,77,,58,66,10,53,17,28,63,64,16,22,60,31,11,11,26,19,28,14,52,59,16,49,33,99,26,5,35,24
primary,15,Jim,Kiick,FB,39,,83,82,18,92,22,95,82,70,6,68,5,93,14,16,70,79,79,86,10,14,21,49,74,99,75,5,99,99
primary,16,Mercury,Morris,FB,30,,82,70,16,79,16,92,63,58,11,29,6,59,13,13,44,49,55,72,10,14,15,49,36,99,28,5,19,9
primary,17,Dick,Anderson,FS,16,,82,86,9,88,19,70,47,85,91,15,80,10,12,11,30,20,23,43,28,76,22,49,97,1,88,5,81,69
primary,18,Jake,Scott,FS,22,,87,81,10,66,17,65,39,62,76,12,76,8,11,10,14,24,20,39,33,65,19,49,26,1,45,5,51,80
primary,19,Larry,Little,G,63,,49,37,14,79,24,96,75,44,17,31,27,22,10,10,21,90,88,9,27,30,22,49,84,99,83,5,58,51
