pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Damien,Woody,C,65,,50,43,12,95,19,98,71,53,28,43,31,49,11,11,39,84,89,20,48,50,20,49,82,99,59,5,75,59
primary,1,Grey,Ruegamer,C,67,,50,65,11,76,17,74,71,62,6,8,16,7,10,10,9,39,43,8,11,33,13,49,27,99,23,5,26,22
primary,2,Ty,Law,CB,24,,87,86,9,81,16,82,61,82,90,12,80,8,12,10,42,16,16,39,44,70,17,49,92,1,75,5,82,47
primary,3,Otis,Smith,CB,45,,86,80,9,62,18,55,39,73,78,14,76,10,11,11,23,20,24,43,40,60,20,49,48,1,76,5,88,38
primary,4,Matt,Stevens,CB,26,,88,88,9,75,14,89,47,79,81,12,51,8,12,11,38,6,10,39,26,49,17,49,41,1,55,5,69,80
primary,5,Brock,Williams,CB,23,,87,75,12,60,18,64,45,84,89,6,60,4,13,11,27,23,26,30,37,61,19,49,31,1,40,5,60,79
primary,6,Leonard,Myers,CB,25,,87,90,13,64,16,68,51,79,63,8,56,6,13,11,26,26,29,60,41,53,17,49,31,1,30,5,50,56
primary,7,Bobby,Hamilton,DE,91,,54,66,11,49,19,89,73,58,3,16,75,26,11,10,19,27,23,4,79,70,19,49,20,99,53,5,73,61
primary,8,Jace,Sayler,DE,94,,80,74,10,60,19,79,69,59,49,17,77,26,11,10,23,23,24,20,79,76,20,49,64,99,50,5,71,72
primary,9,Chris,Sullivan,DE,71,,75,68,10,55,19,71,63,58,47,15,81,28,11,11,23,28,25,30,74,72,19,49,63,99,72,5,68,61
primary,10,Anthony,Pleasant,DE,98,,57,66,10,49,19,83,59,59,15,17,66,25,11,10,20,20,21,4,63,62,19,49,21,99,30,5,68,88
primary,11,Riddick,Parker,DE,97,,62,65,11,43,19,82,59,60,11,14,64,26,10,11,16,26,21,38,52,63,17,49,48,99,28,5,48,47
primary,12,Brandon,Mitchell,DT,96,,50,63,11,57,22,85,77,64,18,14,77,31,11,11,24,29,26,22,78,78,20,49,62,99,63,5,72,74
primary,13,Richard,Seymour,DT,93,,64,62,11,41,24,87,75,58,24,24,84,29,10,11,30,37,30,4,47,81,24,49,42,99,59,5,69,69
primary,14,David,Nugent,DT,92,,56,62,10,73,19,77,77,61,23,28,78,34,11,11,30,28,36,16,70,65,21,49,41,99,43,5,21,24
primary,15,Marc,Edwards,FB,44,,63,87,16,96,22,95,69,70,12,59,13,51,14,14,69,71,69,88,13,9,22,49,58,99,45,5,26,73
primary,16,Lawyer,Milloy,FS,36,,84,85,10,93,20,87,41,70,77,13,80,9,11,10,26,22,24,40,44,72,23,49,50,1,58,5,63,68
primary,17,Hakim,Akbar,FS,29,,88,90,9,73,16,81,41,84,69,14,81,10,11,10,10,22,19,41,48,60,15,49,32,1,39,5,46,80
primary,18,Mike,Compton,G,77,,43,56,12,72,19,99,59,42,7,19,22,14,10,11,11,76,81,13,15,27,16,49,47,99,66,5,87,51
primary,19,Joe,Andruzzi,G,63,,39,48,12,76,24,96,58,39,14,33,29,16,10,10,24,80,84,7,28,27,22,49,38,99,60,5,88,24
primary,20,Kenyatta,Jones,G,74,,54,67,11,76,22,97,57,52,13,30,27,14,10,10,23,70,68,5,26,27,20,49,78,99,55,5,86,46
primary,21,Antowain,Smith,HB,32,,86,74,15,93,14,94,49,78,7,49,11,78,15,16,48,37,37,91,8,9,18,49,79,50,51,5,66,74
primary,22,Kevin,Faulk,HB,33,,88,74,21,68,10,94,41,74,13,64,8,65,25,21,58,25,30,94,9,11,12,49,40,50,49,5,84,48
primary,23,J.R.,Redmond,HB,21,,86,77,15,79,14,91,41,65,11,52,7,56,14,16,51,27,25,79,6,7,16,49,43,50,20,5,37,70
primary,24,Patrick,Pass,HB,35,,87,72,17,70,11,73,73,82,13,46,8,74,14,16,48,30,20,43,9,7,12,49,41,99,34,24,34,24
primary,25,Tedy,Bruschi,ILB,54,,65,79,10,85,13,69,65,78,77,23,85,27,11,10,20,33,27,18,75,79,13,49,71,99,53,5,78,69
primary,26,Matt,Chatham,ILB,58,,72,82,10,87,13,88,63,58,70,19,83,29,11,10,28,31,25,32,63,84,13,49,77,99,36,5,79,74
primary,27,Lonie,Paxton,ILB,66,,84,81,10,80,4,82,55,73,70,22,76,26,11,10,11,28,25,22,60,76,2,49,41,99,25,5,12,79
