pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,John,Hill,C,68,,43,51,12,95,25,97,53,39,28,16,24,23,11,11,18,87,86,9,30,40,22,49,75,99,74,5,95,43
primary,1,Jim,Pietrzak,C,67,,38,52,11,58,19,61,49,44,15,14,22,7,10,10,15,60,59,2,20,30,15,49,26,99,20,5,59,39
primary,2,Ricky,Ray,CB,23,,87,97,9,53,14,87,35,68,90,10,74,7,11,10,11,15,18,37,55,63,15,49,15,1,55,5,85,67
primary,3,Clarence,Chapman,CB,48,,81,86,9,96,18,85,47,72,89,11,80,8,12,10,40,14,20,37,59,72,21,49,76,1,54,5,90,80
primary,4,Mike,Spivey,CB,22,,92,76,11,71,19,72,41,85,78,19,72,39,11,11,26,34,39,51,33,52,21,49,36,1,39,5,45,42
primary,5,James,Marshall,CB,35,,86,74,9,45,19,79,31,73,65,12,57,8,11,10,12,25,29,39,32,45,19,49,27,1,22,5,55,54
primary,6,Dave,Waymer,CB,25,,76,72,8,99,28,75,37,85,54,20,56,7,10,10,50,38,43,46,68,45,29,49,50,1,20,5,55,58
primary,7,Elois,Grooms,DE,76,,75,82,10,75,19,86,71,79,46,14,88,28,11,10,22,18,23,26,96,78,19,49,59,99,66,5,88,80
primary,8,Tommy,Hart,DE,96,,83,71,11,67,19,70,71,79,47,15,82,29,11,11,18,21,19,24,96,79,19,49,48,99,53,5,63,57
primary,9,Don,Reese,DE,92,,71,73,11,58,18,81,65,72,29,27,59,31,13,11,24,24,23,10,80,66,19,49,31,99,39,5,41,45
primary,10,Derland,Moore,DT,95,,63,77,10,70,22,57,69,53,31,24,89,38,11,11,24,33,36,26,76,94,20,49,56,99,63,5,73,51
primary,11,Barry,Bennett,DT,69,,59,69,10,76,22,89,63,58,24,25,81,33,11,11,31,24,33,14,74,80,19,49,70,99,36,5,65,80
primary,12,Elex,Price,DT,91,,56,68,13,67,16,72,67,82,10,22,76,30,11,11,24,23,26,10,77,74,15,49,31,99,38,5,50,42
primary,13,Mike,Fultz,DT,90,,61,66,11,60,23,89,75,52,21,22,73,29,10,11,26,33,29,4,71,82,23,49,80,99,48,5,41,88
primary,14,Michael,Strachan,FB,26,,77,83,18,92,22,91,67,67,6,65,5,91,14,16,76,67,65,65,10,14,21,49,74,99,68,5,66,66
primary,15,Jack,Holmes,FB,46,,79,72,16,91,17,89,53,56,45,43,29,44,13,15,34,60,55,70,34,40,13,49,34,99,25,5,36,24
primary,16,Tom,Myers,FS,28,,82,86,9,90,23,87,41,64,77,11,82,8,11,10,26,35,30,37,36,74,24,49,45,1,55,5,88,67
primary,17,Guido,Merkens,FS,20,,91,84,11,94,24,74,63,82,64,7,44,5,11,11,27,44,42,33,36,43,26,49,58,1,42,5,43,24
primary,18,Robert,Woods,G,79,,40,47,12,76,24,97,59,41,17,32,30,18,10,10,29,85,85,7,30,28,23,49,39,99,58,5,90,42
primary,19,Larry,Coombs,G,77,,58,51,12,75,14,95,67,62,24,41,30,43,11,11,38,86,78,14,27,26,16,49,51,99,59,5,49,43
primary,20,Emanuel,Zanders,G,60,,40,62,12,75,14,91,83,48,12,20,21,42,11,11,26,63,66,20,28,47,14,49,38,99,46,5,25,17
primary,21,Fred,Sturt,G,63,,41,42,11,90,17,98,69,39,13,28,26,18,10,10,17,57,61,11,24,28,16,49,47,99,49,5,81,39
primary,22,Tony,Galbreath,HB,27,,89,75,15,80,18,90,45,84,11,65,13,84,16,14,72,25,29,88,8,14,21,49,41,50,71,5,69,20
primary,23,Wayne,Wilson,HB,44,,85,79,17,95,16,87,67,68,13,51,6,80,15,16,50,38,41,97,11,13,18,49,83,99,53,5,40,81
primary,24,Larry,Collins,HB,24,,82,71,15,55,18,79,73,76,37,33,46,59,14,14,64,41,35,70,28,19,20,49,49,1,47,5,19,51
primary,25,Jimmy,Rogers,HB,49,,88,79,17,65,16,72,47,76,13,48,8,75,14,14,49,49,35,90,6,13,19,49,38,99,40,24,41,41
primary,26,Chuck,Muncie,HB,33,,68,78,15,63,23,91,65,65,46,47,44,72,14,14,63,26,24,68,41,24,23,49,44,50,23,5,49,71
primary,27,Kim,Jones,HB,34,,87,72,17,70,11,73,73,82,13,46,8,74,14,16,48,30,20,43,9,7,12,49,41,99,34,24,34,24
primary,28,Joe,Federspiel,ILB,58,,74,86,10,98,11,34,69,68,85,19,99,29,11,10,27,27,22,26,91,99,11,49,92,99,66,5,90,90
primary,29,Chuck,Evans,ILB,56,,72,69,10,94,14,89,55,65,76,22,83,30,11,10,26,34,27,30,73,77,14,49,69,99,54,5,72,63
primary,30,Jim,Kovach,ILB,57,,84,81,10,80,4,82,55,73,70,22,76,26,11,10,11,28,25,22,60,76,2,49,41,99,25,5,12,79
primary,31,Benny,Ricardo,K,7,,36,41,11,99,98,99,33,34,19,18,23,17,11,13,19,27,20,38,15,12,97,99,59,50,98,5,99,23
primary,32,Ken,Bordelon,OLB,53,,82,86,10,99,11,84,63,64,85,20,99,28,11,10,26,27,21,26,68,98,11,49,90,99,70,5,90,82
primary,33,Stan,Holloway,OLB,52,,86,78,10,91,14,97,59,79,76,19,94,36,11,11,28,35,29,28,78,93,11,49,79,99,49,5,83,99
primary,34,Reggie,Mathis,OLB,99,,74,68,10,83,6,85,63,75,73,13,76,26,11,10,11,21,16,30,55,77,6,49,49,99,42,5,59,74
primary,35,Russell,Erxleben,P,4,,43,48,48,46,87,78,37,50,20,19,48,17,50,45,21,19,16,36,18,12,82,1,37,50,89,5,22,24
primary,36,Archie,Manning,QB,8,,65,73,88,50,11,89,39,59,29,28,29,22,76,84,40,34,29,11,22,22,14,49,76,50,81,45,86,24
primary,37,Bobby,Scott,QB,6,,63,69,69,24,5,58,13,55,26,17,21,14,78,63,9,18,21,31,11,18,9,49,71,50,71,70,62,24
primary,38,Ed,Burns,QB,13,,78,71,72,25,7,89,35,61,14,18,19,35,68,72,4,3,7,28,20,27,9,49,70,50,70,75,33,24
primary,39,Ray,Brown,SS,39,,75,77,10,84,50,73,59,73,90,40,99,10,11,11,42,24,23,48,67,97,17,99,85,1,75,5,93,68
primary,40,Donald,Schwartz,SS,32,,88,77,10,72,14,39,59,70,85,40,80,10,11,11,17,26,20,49,55,76,17,49,75,1,69,5,92,80
primary,41,Dave,Lafary,T,78,,50,59,11,97,16,96,71,62,26,43,42,50,11,16,53,79,80,20,27,23,18,49,62,99,54,5,75,41
primary,42,Stan,Brock,T,62,,48,58,11,82,16,97,77,50,24,32,32,47,11,17,43,77,77,19,23,23,16,49,55,99,52,5,48,39
primary,43,J.T.,Taylor,T,74,,55,50,12,80,10,70,65,39,9,41,32,43,13,11,30,56,69,22,30,32,13,49,44,99,31,5,8,8
primary,44,Henry,Childs,TE,87,,73,64,10,13,5,87,49,66,28,81,19,58,11,10,86,67,66,76,8,22,8,49,13,99,51,5,86,60
primary,45,Brooks,Williams,TE,84,,64,71,10,46,8,76,55,67,9,52,12,32,11,12,77,73,75,65,14,14,11,49,31,99,37,5,29,23
primary,46,Larry,Hardy,TE,86,,66,81,10,44,5,80,65,67,20,54,20,41,11,13,52,63,62,67,9,20,7,49,25,99,25,5,29,51
primary,47,Hoby,Brenner,TE,82,,77,53,11,44,18,89,59,52,15,38,39,36,10,11,33,58,63,50,31,26,17,49,46,99,22,5,38,24
primary,48,Rich,Mauti,WR,85,,85,79,15,72,12,81,40,62,14,85,10,67,16,16,84,60,62,80,7,8,16,49,56,99,57,5,99,80
primary,49,Artie,Owens,WR,81,,86,81,15,60,11,77,37,85,8,83,15,57,16,16,87,40,40,60,12,12,15,49,73,50,70,5,98,47
primary,50,Ike,Harris,WR,89,,79,68,15,55,19,78,38,62,11,81,13,56,14,14,81,69,68,74,6,13,19,49,22,99,61,5,79,12
primary,51,Wes,Chandler,WR,80,,89,92,15,69,14,73,33,79,11,79,9,36,16,16,79,41,41,76,8,9,19,49,46,50,41,5,74,24
primary,52,Tinker,Owens,WR,83,,84,84,13,32,8,78,38,64,9,67,8,47,14,14,69,45,32,64,8,10,13,49,31,1,37,5,98,48
