pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Chris,Bober,C,67,,45,72,10,76,26,87,55,42,21,45,42,18,9,10,43,76,74,2,41,26,23,49,56,99,37,5,81,44
primary,1,Omar,Smith,C,68,,50,46,12,72,19,87,69,47,6,22,21,11,10,10,10,46,50,8,16,27,15,49,28,40,35,5,75,41
primary,2,Will,Allen,CB,25,,93,96,12,66,17,83,47,87,71,8,40,6,13,11,29,30,29,34,53,39,16,49,31,1,17,5,57,53
primary,3,William,James,CB,24,,87,75,12,60,18,70,45,84,68,6,41,4,13,11,17,23,26,30,37,45,19,49,31,1,14,5,61,79
primary,4,Ralph,Brown,CB,22,,86,79,12,55,19,68,39,70,68,8,58,6,13,11,30,29,33,34,46,46,17,49,30,1,13,5,60,55
primary,5,Jason,Sehorn,CB,31,,82,75,9,62,18,55,45,71,80,13,68,9,11,10,36,29,29,41,25,56,17,49,80,1,75,5,79,70
primary,6,Reggie,Stephens,CB,34,,85,60,12,53,13,73,33,72,40,7,50,5,13,11,14,21,21,2,43,46,11,49,26,26,10,5,75,33
primary,7,Michael,Strahan,DE,92,,63,75,11,70,23,73,71,73,70,18,84,33,11,11,26,31,27,24,97,58,23,49,61,99,84,5,89,78
primary,8,Kenny,Holmes,DE,90,,76,69,10,55,19,75,73,78,49,16,72,26,11,10,22,23,24,22,81,64,19,49,72,99,41,5,61,90
primary,9,Frank,Ferrara,DE,95,,61,64,9,35,17,79,61,48,37,14,58,23,11,10,16,23,19,10,80,32,16,49,18,99,32,5,51,73
primary,10,Dwight,Johnson,DE,94,,68,63,10,52,16,81,73,70,41,16,47,23,11,10,14,16,15,33,59,49,17,49,20,32,19,5,75,42
primary,11,Cornelius,Griffin,DT,97,,66,61,10,63,21,75,79,61,23,24,81,33,11,11,30,30,34,10,60,73,23,49,44,99,21,5,47,47
primary,12,Ross,Kolodziej,DT,96,,73,61,11,57,15,82,73,70,50,24,52,31,13,11,18,27,27,43,65,57,13,49,25,45,22,5,75,28
primary,13,Lance,Legree,DT,70,,42,59,11,60,13,82,75,55,10,23,58,31,11,11,19,22,28,10,62,62,14,49,34,99,8,5,57,24
primary,14,Matt,Mitrione,DT,98,,54,71,11,60,24,65,67,35,20,17,73,32,11,11,28,32,29,22,80,74,23,49,77,99,46,5,28,41
primary,15,Charles,Stackhouse,FB,45,,62,65,17,70,11,79,59,55,12,49,12,69,14,15,43,57,48,71,10,11,13,49,41,99,25,5,21,18
primary,16,Sean,Bennett,FB,20,,79,66,16,80,16,80,69,75,36,41,38,55,14,14,44,46,38,69,28,20,19,49,46,43,43,5,75,65
primary,17,Omar,Stoutmire,FS,23,,83,80,9,95,21,80,51,70,62,12,65,8,11,10,27,27,26,39,47,53,23,49,45,1,22,5,67,78
primary,18,Johnnie,Harris,FS,37,,83,79,12,55,16,77,55,76,51,6,45,4,13,11,25,18,20,31,40,37,19,49,28,27,11,5,75,39
primary,19,Rich,Seubert,G,69,,53,59,10,70,21,86,69,48,16,33,29,9,10,10,24,70,70,4,24,27,19,49,39,99,37,5,64,15
primary,20,Jason,Whittle,G,66,,45,55,12,58,20,80,69,45,11,27,26,9,10,10,24,77,73,7,23,26,17,49,32,99,27,5,77,43
primary,21,Tam,Hopkins,G,65,,39,45,14,62,13,88,60,48,23,28,18,31,11,11,24,50,44,16,14,28,9,49,41,39,19,5,75,4
primary,22,Tiki,Barber,HB,21,,83,86,15,70,11,76,49,75,11,70,11,73,14,15,79,15,11,52,10,10,15,49,69,50,54,5,83,78
primary,23,Ron,Dayne,HB,27,,79,75,17,80,11,78,53,55,14,47,14,80,14,16,37,15,16,91,7,9,11,49,60,99,24,5,55,52
primary,24,Damon,Washington,HB,29,,82,77,15,41,7,69,71,79,27,35,30,57,14,14,37,13,31,76,12,18,11,49,31,43,30,5,75,54
primary,25,Delvin,Joyce,HB,33,,83,83,17,67,9,74,47,88,37,50,30,48,14,14,43,9,29,78,20,28,11,49,38,1,17,5,42,24
primary,26,Mike,Barrow,ILB,58,,73,76,10,90,13,77,75,60,81,22,91,30,11,11,24,30,26,24,80,87,14,49,87,99,65,5,68,78
primary,27,Nick,Greisen,ILB,54,,64,84,10,77,6,82,55,64,54,19,66,33,11,11,13,22,17,22,61,66,4,49,33,99,21,5,60,24
primary,28,Kevin,Lewis,ILB,59,,79,67,10,78,4,80,59,84,58,15,62,34,11,11,16,23,20,24,60,70,4,49,32,99,35,5,44,24
primary,29,Matt,Bryant,K,8,Baylor,39,43,11,42,78,61,34,44,23,23,32,25,11,13,25,29,25,34,20,12,85,99,35,50,62,5,50,21
primary,30,Brandon,Short,OLB,53,,76,75,10,83,10,82,69,64,70,18,70,25,11,10,19,30,26,24,61,75,10,49,29,99,17,5,75,92
primary,31,Dhani,Jones,OLB,55,,84,76,10,80,12,79,77,67,62,28,71,34,11,11,14,20,16,8,67,65,11,49,40,99,8,5,68,45
primary,32,Quincy,Monk,OLB,93,,75,72,10,76,11,79,71,67,34,18,55,33,11,11,12,22,16,35,50,50,8,49,34,99,21,5,61,24
primary,33,Wesly,Mallard,OLB,51,,86,86,9,56,18,82,53,67,30,30,52,8,10,10,13,29,28,12,42,42,16,49,35,99,27,5,64,46
primary,34,Matt,Allen,P,12,,40,42,21,45,45,55,41,35,20,20,29,17,23,25,15,17,14,46,16,12,14,1,33,29,60,5,75,19
primary,35,Kerry,Collins,QB,5,,65,73,84,50,11,51,39,59,29,28,29,22,73,71,40,34,29,11,22,22,14,49,74,50,70,46,75,24
primary,36,Jesse,Palmer,QB,3,,69,77,56,29,16,42,38,75,33,27,32,46,49,50,25,20,20,28,35,31,16,49,52,50,60,40,73,24
primary,37,Jason,Garrett,QB,17,,63,68,77,26,7,41,22,53,29,22,26,8,39,71,12,16,24,40,16,19,11,49,51,32,65,52,75,60
primary,38,Shaun,Williams,SS,36,,88,79,9,91,19,77,45,68,77,12,85,8,11,10,11,31,28,39,27,78,20,49,42,1,62,5,45,80
