pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,John,Schmitt,C,52,Hofstra,45,63,12,98,26,96,63,55,31,17,30,23,11,10,23,97,94,10,35,40,22,49,84,99,77,5,93,68
primary,1,Jim,Waskiewicz,C,65,,53,66,12,82,21,98,57,50,30,50,37,39,11,11,42,67,70,13,41,22,22,49,54,99,45,5,75,41
primary,2,Jeff,Richardson,C,74,,57,72,11,76,17,76,55,64,6,8,16,7,10,10,9,61,60,8,11,33,13,49,27,99,31,5,40,22
primary,3,Johnny,Sample,CB,24,,91,86,9,85,16,54,35,89,88,13,77,9,12,10,29,14,21,41,33,54,19,49,80,1,61,5,85,64
primary,4,Cornell,Gordon,CB,48,North Carolina A&T,83,88,9,55,16,87,45,64,89,10,76,7,11,10,39,14,18,37,38,65,16,49,79,1,63,5,90,56
primary,5,Randy,Beverly,CB,42,,89,79,9,79,16,97,43,76,73,13,79,9,12,10,5,13,18,41,33,71,19,49,64,1,63,5,74,24
primary,6,Earl,Christy,CB,45,,83,81,12,55,16,97,49,92,77,6,60,4,13,11,41,18,20,30,40,51,19,49,28,1,44,5,55,43
primary,7,John,Dockery,CB,43,Harvard,91,74,11,72,21,76,35,77,83,8,75,6,11,11,35,46,43,34,53,62,22,49,35,1,32,5,55,76
primary,8,Jim,Richards,CB,26,Virginia Tech,86,90,9,49,15,86,43,81,63,9,66,6,11,10,18,9,13,35,52,52,17,49,25,1,43,5,51,24
primary,9,Gerry,Philbin,DE,81,Buffalo,91,88,11,60,15,79,51,82,41,25,90,33,13,11,22,21,26,12,94,83,17,49,69,99,50,5,79,85
primary,10,Verlon,Biggs,DE,86,,80,74,10,60,19,79,69,59,49,17,77,26,11,10,23,23,24,20,79,76,20,49,64,99,50,5,71,72
primary,11,Bert,Wilder,DE,91,,57,66,10,49,19,83,59,59,15,17,66,25,11,10,20,20,21,4,63,62,19,49,21,99,30,5,68,88
primary,12,Karl,Henke,DE,70,Tulsa,59,57,10,43,25,61,77,60,21,25,59,28,10,10,28,40,34,2,44,47,24,49,29,99,25,5,41,24
primary,13,Paul,Rochester,DT,72,,53,64,11,68,26,53,67,63,24,23,91,34,11,10,30,37,30,10,65,83,26,49,35,99,56,5,83,65
primary,14,John,Elliott,DT,80,Texas,64,62,11,41,24,87,75,58,24,24,84,29,10,11,30,37,30,4,47,81,24,49,42,99,59,5,69,69
primary,15,Jim,Harris,DT,96,,58,75,10,60,15,80,77,58,20,19,75,34,11,11,23,23,27,20,80,76,19,49,29,99,32,5,35,76
primary,16,Carl,McAdams,DT,50,Oklahoma,70,75,10,60,15,81,59,64,20,19,75,34,11,11,23,23,27,20,74,68,19,49,29,99,46,5,55,24
primary,17,Steve,Thompson,DT,85,Washington,67,65,11,57,20,86,55,58,52,26,75,30,13,11,18,20,25,12,60,71,17,49,31,99,32,5,65,50
primary,18,Raymond,Hayes,DT,73,Toledo,45,60,10,63,15,71,73,58,18,23,63,32,11,11,22,23,30,16,55,60,17,49,34,99,35,5,50,24
primary,19,Matt,Snell,FB,41,,80,86,18,94,20,84,57,61,14,44,9,44,14,14,58,74,72,92,6,14,21,49,36,99,48,5,70,72
primary,20,Bill,Baird,FS,46,,81,88,12,93,22,84,39,76,78,8,82,6,12,11,14,30,31,34,48,68,25,49,54,1,53,5,65,46
primary,21,Mike,D'Amato,FS,47,Hofstra,87,81,10,66,17,65,39,62,80,12,76,8,11,10,14,24,20,39,33,65,19,49,26,1,45,5,70,80
primary,22,Bob,Talamini,G,61,Kentucky,54,59,14,85,19,96,65,61,27,36,32,41,11,11,40,84,86,21,31,39,17,49,78,99,62,5,85,24
primary,23,Dave,Herman,G,67,,51,64,12,75,22,93,67,44,14,32,29,12,10,11,26,84,80,8,27,26,21,49,81,99,83,5,80,49
primary,24,Randy,Rasmussen,G,66,,34,59,10,76,19,82,65,52,29,44,32,41,11,14,40,66,69,10,32,23,19,49,51,99,48,5,44,2
primary,25,Bill,Mathis,HB,31,Clemson,84,80,23,99,16,91,51,93,12,58,12,73,22,23,56,33,33,99,13,12,19,49,72,50,62,5,70,70
primary,26,Emerson,Boozer,HB,32,,89,68,28,72,11,92,67,84,30,47,22,77,27,28,53,44,27,60,16,20,13,49,39,99,38,5,54,70
primary,27,Mark,Smolinski,HB,30,Wyoming,89,72,23,82,13,94,57,92,12,50,6,77,19,20,61,38,30,72,8,6,12,49,43,99,36,24,41,60
primary,28,Billy,Joe,HB,35,Villanova,88,79,17,65,16,72,47,76,13,48,8,75,14,14,49,49,35,90,6,13,19,49,38,99,40,24,41,41
primary,29,Lee,White,HB,34,,88,80,15,60,16,89,49,75,10,21,14,78,13,13,39,20,16,60,6,12,14,49,34,50,38,24,41,9
primary,30,Al,Atkinson,ILB,62,Villanova,75,76,10,64,6,89,57,82,72,15,92,22,11,11,18,27,20,24,63,89,5,49,89,99,63,5,95,76
primary,31,Jim,Turner,K,11,,37,43,11,39,83,88,30,40,16,17,40,16,11,12,19,27,20,36,12,12,72,99,15,50,53,5,41,20
primary,32,Ralph,Baker,OLB,51,,80,77,10,99,15,79,61,59,76,23,88,31,11,10,30,34,28,28,77,83,16,49,92,99,52,5,81,83
primary,33,Larry,Grantham,OLB,60,Mississippi,74,72,10,85,14,84,71,67,76,18,86,31,11,11,23,34,26,34,72,78,13,49,87,99,69,5,77,77
primary,34,Michael,Stromberg,OLB,68,Temple,65,76,10,77,6,82,47,76,56,21,76,33,10,11,14,24,16,25,62,61,5,49,33,99,26,5,44,48
primary,35,Paul,Crane,OLB,56,Alabama,81,79,10,38,17,82,69,67,39,16,58,23,10,10,19,24,20,36,55,49,16,49,19,99,22,5,36,39
primary,36,Curley,Johnson,P,33,Houston,40,48,21,46,69,86,33,40,20,26,39,18,25,21,10,20,16,14,23,9,68,1,14,50,54,5,70,23
primary,37,Joe,Namath,QB,12,Alabama,67,72,96,50,11,74,45,64,31,24,29,22,86,86,18,32,26,14,22,22,14,49,99,50,96,56,93,73
primary,38,Al,Woodall,QB,14,,81,91,92,28,23,45,18,73,14,29,29,51,65,60,28,13,10,28,11,5,21,49,75,50,55,67,33,24
