pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Jim,Otto,C,63,,41,59,11,92,22,97,61,41,18,15,27,15,10,10,17,94,95,8,26,37,19,49,79,99,76,5,82,51
primary,1,Kent,McCloughan,CB,25,,91,92,9,81,17,33,49,95,92,13,78,9,11,10,35,20,24,60,39,76,19,49,82,1,64,5,69,24
primary,2,George,Atkinson,CB,47,,89,86,9,77,20,69,45,84,96,10,61,7,11,10,39,30,33,37,39,56,22,49,66,1,65,5,89,60
primary,3,Willie,Brown,CB,45,,93,99,11,71,19,30,49,70,81,19,68,40,11,11,46,34,39,51,29,36,21,49,36,1,39,5,55,77
primary,4,Nemiah,Wilson,CB,21,,85,88,9,66,16,72,47,72,74,12,68,8,11,10,21,11,18,39,25,54,17,49,22,1,48,5,75,77
primary,5,Ben,Davidson,DE,83,,54,66,11,49,19,89,73,58,3,16,75,26,11,10,19,27,23,4,79,70,19,49,20,99,53,5,73,61
primary,6,Tom,Keating,DE,72,,61,71,10,72,22,88,57,73,68,24,87,37,11,11,32,23,30,24,76,77,21,49,36,99,36,5,55,85
primary,7,Ike,Lassiter,DE,76,,83,66,11,69,17,93,79,67,46,31,69,34,13,11,24,33,33,22,70,66,19,49,35,99,37,5,42,66
primary,8,Dan,Birdwell,DT,56,,60,59,11,69,21,87,67,47,18,18,89,28,11,11,22,27,22,12,76,88,20,49,69,99,64,5,76,73
primary,9,Al,Dotson,DT,74,,50,63,11,57,22,85,77,64,18,14,77,31,11,11,24,29,26,22,78,78,20,49,62,99,63,5,72,74
primary,10,Carleton,Oats,DT,85,,61,81,11,60,12,76,67,75,10,23,76,31,11,11,19,22,28,10,69,68,14,49,34,99,34,5,38,43
primary,11,Larry,Todd,FB,35,,80,86,18,94,20,84,57,61,14,44,9,44,14,14,58,74,72,92,6,14,21,49,36,99,48,5,70,72
primary,12,Dave,Grayson,FS,20,,82,86,9,88,19,70,47,85,91,15,80,10,12,11,30,20,23,43,28,76,22,49,97,1,88,5,81,69
primary,13,Wayne,Hawkins,G,66,,34,46,14,89,24,94,79,62,16,31,28,19,10,10,24,85,94,8,28,30,22,49,41,99,65,5,39,42
primary,14,Bob,Kruse,G,64,,52,65,11,82,16,98,59,55,24,33,33,47,11,17,45,85,91,19,24,23,16,49,56,99,57,5,75,49
primary,15,Jim,Harvey,G,79,,50,51,12,71,19,94,63,48,6,24,22,9,10,10,10,76,87,8,16,27,15,49,69,99,56,5,49,42
primary,16,Roger,Hagberg,HB,49,,88,81,15,87,13,89,33,70,5,87,13,76,14,15,86,20,22,99,8,9,16,49,48,1,71,5,84,65
primary,17,Hewritt,Dixon,HB,33,,80,76,23,82,13,96,73,95,12,32,6,86,19,20,52,61,59,86,8,6,12,49,43,50,45,5,42,68
primary,18,Pete,Banaszak,HB,31,,86,75,15,85,13,83,53,75,14,52,5,78,14,14,48,28,28,89,14,8,16,49,38,99,50,5,51,67
primary,19,Preston,Ridlehuber,HB,27,,89,72,23,82,13,94,57,92,12,50,6,77,19,20,61,38,30,72,8,6,12,49,43,99,36,24,41,60
primary,20,Charlie,Smith,HB,30,,82,63,12,44,16,95,63,67,38,45,41,63,14,14,52,26,25,81,30,33,17,49,20,99,23,5,66,91
primary,21,Dan,Conners,ILB,55,,81,82,10,92,11,87,73,70,82,23,99,38,11,11,23,33,29,24,78,99,11,49,82,99,63,5,70,63
primary,22,Jerry,Hopkins,ILB,59,,83,70,10,79,9,78,73,70,74,13,80,33,11,11,21,27,22,28,51,78,5,49,61,99,54,5,60,24
primary,23,Bill,Fairband,ILB,51,,85,80,10,76,7,87,35,85,69,15,70,23,11,10,17,26,21,24,75,75,6,49,23,99,32,5,63,92
primary,24,Karl,Rubke,ILB,60,,75,87,13,67,16,77,83,70,60,22,71,30,11,11,24,23,26,10,58,65,15,49,31,99,45,5,47,24
primary,25,Mike,Mercer,K,3,,38,47,11,46,90,96,33,42,23,26,40,19,11,12,30,34,29,34,24,14,90,99,32,50,87,5,75,20
primary,26,Bill,Budness,OLB,42,,80,77,10,99,15,79,61,59,76,23,88,31,11,10,30,34,28,28,77,83,16,49,92,99,52,5,81,83
