pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Hank,Fraley,C,63,,37,53,10,82,23,97,57,41,31,21,33,14,10,10,33,88,90,6,39,27,22,49,40,99,54,5,72,50
primary,1,Alonzo,Ephraim,C,50,,41,60,11,59,19,76,71,52,15,13,32,8,10,10,18,47,46,7,22,27,17,49,33,99,26,5,30,16
primary,2,Bobby,Taylor,CB,21,,83,85,9,53,17,82,35,78,92,14,67,10,11,10,24,30,28,43,25,59,19,49,78,1,69,5,94,60
primary,3,Troy,Vincent,CB,23,,83,82,9,70,18,83,41,78,95,14,74,10,11,11,42,19,26,43,30,60,19,49,84,1,79,5,83,78
primary,4,Lito,Sheppard,CB,26,,88,82,11,94,25,66,41,88,73,7,64,35,11,11,39,44,42,32,47,50,26,49,58,1,43,5,62,24
primary,5,Sheldon,Brown,CB,24,,91,79,11,60,18,86,49,76,67,7,45,5,11,11,21,23,23,32,38,42,15,49,31,1,32,5,61,39
primary,6,Roderick,Hood,CB,29,,79,80,3,59,14,41,37,70,40,5,54,2,5,5,18,16,24,10,20,36,15,49,26,1,20,5,75,57
primary,7,Ndukwe,Kalu,DE,94,,65,85,10,63,19,79,65,85,55,18,79,26,11,10,23,17,21,12,83,83,20,49,31,99,44,5,51,83
primary,8,Brandon,Whiting,DE,98,,50,48,10,53,20,74,75,59,10,18,73,28,10,10,23,28,24,4,79,78,21,49,26,99,33,5,74,77
primary,9,Jerome,McDougle,DE,95,,80,65,11,75,18,80,67,73,31,30,79,35,13,11,26,33,34,22,84,69,16,49,39,99,30,5,51,82
primary,10,Marco,Coleman,DE,93,,69,74,10,60,19,78,63,66,46,16,67,26,11,11,19,21,20,24,81,74,19,49,43,99,56,5,67,89
