pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Ray,Mansfield,C,56,Washington,45,63,12,98,26,96,63,55,31,17,30,23,11,10,23,97,99,10,35,40,22,49,84,99,77,5,93,68
primary,1,Bobby,Maples,C,67,,43,61,11,83,21,87,67,65,37,41,32,38,14,11,41,61,60,9,41,37,17,49,51,99,28,5,46,62
primary,2,Jim,Clack,C,50,Wake Forest,75,70,10,69,29,66,71,63,23,27,61,33,10,10,46,47,45,10,58,53,30,49,37,99,20,5,31,68
primary,3,John,Rowser,CB,48,Michigan,87,86,9,70,18,83,45,82,95,14,74,10,11,11,42,19,26,43,30,60,19,49,84,1,79,5,86,78
primary,4,Mel,Blount,CB,47,Southern,75,83,9,55,16,73,39,68,89,12,79,8,11,10,47,23,25,39,40,70,19,49,64,1,54,5,90,77
primary,5,Dennis,Meyer,CB,33,,91,74,11,72,21,76,35,77,83,8,75,6,11,11,35,46,43,34,53,62,22,49,35,1,32,5,55,76
primary,6,Chuck,Beatty,CB,37,North Texas,82,89,9,83,19,88,39,82,72,11,70,8,11,10,23,18,22,37,35,54,23,49,20,1,41,5,79,60
primary,7,John,Dockery,CB,29,Harvard,87,90,13,64,16,68,51,79,63,8,56,6,13,11,26,26,29,60,41,53,17,49,31,1,30,5,50,56
primary,8,L.C.,Greenwood,DE,68,,80,74,10,60,19,79,69,59,49,17,77,26,11,10,23,23,24,20,79,76,20,49,64,99,50,5,71,72
primary,9,Dwight,White,DE,78,,78,88,10,79,19,76,58,64,51,14,95,28,11,10,24,19,26,28,98,88,20,49,97,99,65,5,83,80
primary,10,Ernie,Holmes,DE,63,Texas Southern,68,79,11,63,20,76,91,67,41,28,63,33,13,11,27,28,27,16,70,51,20,49,31,99,38,5,8,24
primary,11,Joe,Greene,DT,75,North Texas,72,60,11,63,22,75,71,61,20,18,98,31,11,10,20,23,22,10,97,90,21,49,92,99,65,5,98,99
primary,12,Ben,McGee,DT,60,,59,83,10,88,23,85,89,58,24,29,85,34,11,11,38,31,36,14,84,80,22,49,78,99,54,5,71,80
primary,13,Craig,Hanneman,DT,67,,70,75,10,60,15,81,59,64,20,19,75,34,11,11,23,23,27,20,74,68,19,49,29,99,46,5,55,24
primary,14,John,Fuqua,FB,33,,83,82,18,92,22,95,82,70,6,68,5,93,14,16,70,79,79,86,10,14,21,49,74,99,75,5,99,99
primary,15,Preston,Pearson,FB,26,Illinois,82,74,18,72,7,64,63,72,8,51,13,52,14,14,60,57,47,69,8,10,11,49,37,99,42,5,36,14
primary,16,Glen,Edwards,FS,27,Florida A&M,78,79,9,88,18,81,43,62,86,13,80,9,11,11,22,23,20,40,29,80,20,49,92,1,68,5,95,70
primary,17,Lee,Calland,FS,44,Louisville,78,80,9,97,21,86,61,79,58,12,74,8,11,11,12,23,22,39,44,62,23,49,61,1,62,5,93,54
primary,18,Sam,Davis,G,57,,38,57,12,86,23,99,69,45,13,30,27,16,10,10,23,96,90,7,27,28,21,49,83,99,73,5,88,24
primary,19,Bruce,Van Dyke,G,66,Missouri,50,51,12,71,19,94,63,48,6,24,22,9,10,10,10,76,87,8,16,27,15,49,69,99,56,5,49,42
primary,20,Mel,Holmes,G,77,North Carolina A&T,52,57,12,69,18,96,77,45,14,37,29,32,14,11,34,65,76,10,27,24,13,49,42,99,44,5,30,46
primary,21,Franco,Harris,HB,32,,89,64,24,82,11,90,65,81,13,55,8,87,24,25,60,27,27,86,9,7,12,49,41,50,56,5,69,65
primary,22,Rocky,Bleier,HB,20,Notre Dame,88,68,17,67,11,87,47,75,29,50,28,81,14,17,55,27,30,94,22,34,12,49,41,50,51,5,70,52
primary,23,Steve,Davis,HB,35,,67,79,15,43,16,71,65,67,39,31,28,83,14,14,62,37,29,96,32,36,17,49,50,99,40,5,54,74
primary,24,Warren,Bankston,HB,46,Tulane,82,63,12,44,16,95,63,67,38,45,41,63,14,14,52,26,25,81,30,33,17,49,20,99,23,5,66,91
primary,25,Henry,Davis,ILB,53,,81,82,10,92,11,87,73,70,82,23,99,38,11,11,23,33,29,24,78,99,11,49,82,99,63,5,70,63
primary,26,George,Webster,ILB,90,,78,69,10,78,4,64,69,84,74,15,90,34,11,11,16,23,20,24,83,89,4,49,79,99,52,5,74,63
primary,27,Brian,Stenger,ILB,61,Notre Dame,67,71,10,62,4,71,67,58,62,17,64,28,11,11,13,12,8,10,64,70,4,49,30,99,35,5,18,24
primary,28,Roy,Gerela,K,10,,39,45,10,30,73,54,30,36,13,18,17,13,11,12,6,5,1,29,7,9,56,99,11,50,34,5,74,37
primary,29,Jack,Ham,OLB,59,,77,71,10,92,13,84,73,85,70,28,89,47,11,11,21,31,29,39,87,89,13,49,75,99,59,5,75,80
primary,30,Andy,Russell,OLB,34,Missouri,69,80,10,97,15,88,55,76,77,19,91,32,11,10,30,31,25,32,88,93,14,49,86,99,71,5,93,70
primary,31,Ed,Bradley,OLB,38,Wake Forest,81,77,10,85,13,84,61,67,71,23,78,26,11,10,18,32,23,20,74,71,13,49,34,99,52,5,37,72
primary,32,Chuck,Winfrey,OLB,51,Wisconsin,61,86,10,78,4,84,63,62,56,15,60,34,11,11,16,23,20,24,59,69,4,49,32,99,33,5,28,24
primary,33,Bobby,Walden,P,39,Georgia,43,46,20,50,79,85,32,39,17,18,27,16,22,24,15,20,12,30,15,12,72,1,1,50,74,5,61,23
primary,34,Terry,Bradshaw,QB,12,Louisiana Tech,67,72,96,50,11,74,45,64,31,24,29,22,86,86,18,32,26,14,22,22,14,49,99,50,96,56,93,73
primary,35,Bob,Leahy,QB,17,,61,54,85,22,4,84,19,60,24,18,22,3,81,76,9,20,21,28,11,18,8,49,88,50,79,36,73,24
primary,36,Terry,Hanratty,QB,5,Notre Dame,81,91,92,28,23,45,18,73,14,29,29,51,65,60,28,13,10,28,11,5,21,49,75,50,55,67,33,24
primary,37,Joe,Gilliam,QB,17,,62,86,73,40,9,65,26,68,29,20,29,29,56,69,9,22,21,29,16,20,12,49,64,50,68,44,68,24
primary,38,Mike,Wagner,SS,23,Western Illinois,88,81,10,91,14,46,51,75,82,35,83,9,11,10,23,19,20,49,53,85,19,49,49,1,61,5,95,65
primary,39,Ralph,Anderson,SS,49,West Texas A&M,84,86,8,99,28,75,51,85,64,20,76,7,10,10,50,38,43,44,61,69,29,49,50,1,34,5,58,58
primary,40,Jon,Kolb,T,55,,43,56,11,86,19,94,69,41,15,29,29,20,10,10,26,94,93,13,30,28,18,49,80,99,69,5,76,49
primary,41,Gerry,Mullins,T,72,USC,41,51,12,90,13,96,73,50,13,46,38,47,13,11,39,80,82,22,36,32,16,49,51,99,62,5,80,24
primary,42,John,Brown,T,74,,48,62,11,50,18,96,67,47,9,23,32,8,10,10,11,66,59,4,28,45,15,49,22,99,40,5,74,47
primary,43,Gordon,Gravelle,T,71,BYU,60,82,11,80,11,81,77,75,28,34,36,39,11,16,45,63,53,21,24,23,15,49,55,99,36,5,21,24
primary,44,John,McMakin,TE,89,Clemson,71,76,10,72,14,81,61,70,14,76,6,59,11,11,80,75,79,75,12,14,16,49,44,99,52,5,32,56
primary,45,Bob,Adams,TE,84,,75,71,10,46,8,88,63,70,9,75,12,61,11,12,81,69,71,65,14,14,11,49,41,99,45,5,72,40
primary,46,Larry,Brown,TE,87,Kansas,66,81,10,44,5,80,65,67,20,54,20,41,11,13,52,63,62,67,9,20,7,49,25,99,25,5,29,51
primary,47,Al,Young,WR,31,,81,78,15,77,14,68,68,67,6,96,15,91,16,16,89,53,53,90,11,5,18,49,44,99,35,5,73,99
primary,48,Ron,Shanklin,WR,25,North Texas,98,92,15,70,11,87,34,76,9,98,9,75,16,15,98,30,37,90,7,10,16,49,89,1,86,5,99,20
primary,49,Frank,Lewis,WR,43,,83,86,15,44,9,81,37,68,6,77,14,45,16,16,75,19,28,74,11,14,13,49,49,50,70,5,96,45
primary,50,Chuck,Dicus,WR,83,,86,80,47,39,11,69,10,74,39,79,48,58,41,39,79,31,34,60,24,19,16,49,37,1,22,68,81,79
primary,51,Barry,Pearson,WR,83,Northwestern,89,92,15,69,14,73,33,79,11,79,9,36,16,16,79,41,41,76,8,9,19,49,46,50,41,5,74,24
primary,52,Dave,Smith,WR,88,,91,85,17,51,11,81,11,78,15,72,14,41,15,16,72,32,28,58,6,9,12,49,60,50,32,5,78,52
