pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Mike,Gruttadauria,C,60,,50,70,14,71,18,94,69,70,14,37,29,32,14,11,34,80,72,10,27,24,13,49,42,99,51,5,65,46
primary,1,Ryan,Tucker,C,50,,57,65,12,62,16,92,93,65,25,19,23,32,14,11,29,60,57,9,24,37,13,49,41,99,44,5,36,43
primary,2,Andy,McCollum,C,64,,53,65,12,92,24,94,67,47,16,31,29,18,10,10,27,78,72,8,30,28,22,49,43,99,45,5,49,45
primary,3,Todd,Lyght,CB,41,,85,86,9,58,16,33,41,82,86,13,80,9,11,11,29,19,18,41,32,64,17,49,90,1,76,5,84,60
primary,4,Dexter,McCleon,CB,21,,75,83,9,55,16,73,39,68,89,12,79,8,11,10,47,23,25,39,40,70,19,49,64,1,54,5,90,77
primary,5,Ron,Carpenter,CB,24,,86,84,9,60,17,74,47,73,73,10,70,7,11,10,15,19,20,37,38,62,19,49,20,1,50,5,88,55
primary,6,Dre',Bly,CB,32,,89,85,12,70,18,96,33,73,85,8,78,38,13,11,20,33,31,50,54,60,17,49,32,1,50,5,75,53
primary,7,Clifton,Crosby,CB,26,,76,72,8,99,28,75,37,85,54,20,56,7,10,10,50,38,43,46,68,45,29,49,50,1,20,5,55,58
primary,8,Kevin,Carter,DE,93,,72,68,11,78,20,84,61,78,46,15,79,29,11,10,23,27,24,26,90,88,20,49,56,99,62,5,75,77
primary,9,Grant,Wistrom,DE,98,,80,74,10,60,19,79,69,59,49,17,77,26,11,10,23,23,24,20,79,76,20,49,64,99,50,5,71,72
primary,10,Glenn,Young,DE,94,,61,71,10,72,22,88,57,73,68,24,87,37,11,11,32,23,30,24,76,77,21,49,36,99,36,5,55,85
primary,11,D'Marco,Farr,DT,75,,50,63,11,57,22,85,77,64,18,14,77,31,11,11,24,29,26,22,78,78,20,49,62,99,63,5,72,74
primary,12,Lionel,Barnes,DT,92,,55,74,11,73,25,80,73,58,28,20,82,33,11,10,26,34,25,10,71,86,23,49,80,99,49,5,55,86
primary,13,Jeff,Zgonina,DT,90,,64,62,11,41,24,87,75,58,24,24,84,29,10,11,30,37,30,4,47,81,24,49,42,99,59,5,69,69
primary,14,Jay,Williams,DT,96,,70,75,10,60,15,81,59,64,20,19,75,34,11,11,23,23,27,20,74,68,19,49,29,99,46,5,55,24
primary,15,Ray,Agnew,DT,99,,71,65,11,63,19,81,71,67,13,14,74,28,11,10,11,18,13,34,70,71,17,49,52,99,36,5,44,97
primary,16,Robert,Holcombe,FB,25,,59,64,16,70,19,72,51,52,44,55,30,35,14,14,56,90,78,81,37,35,20,49,43,99,59,5,90,37
primary,17,Keith,Lyle,FS,35,,82,86,9,90,23,87,41,64,77,11,82,8,11,10,26,35,30,37,36,74,24,49,45,1,55,5,88,67
primary,18,Tom,Nutten,G,61,,56,61,10,78,22,99,63,55,13,33,36,9,10,10,27,82,82,4,27,24,20,49,78,99,70,5,85,41
primary,19,Adam,Timmerman,G,62,,42,60,12,87,25,96,73,48,16,31,33,22,10,10,24,87,85,9,30,28,23,49,80,99,81,5,84,24
primary,20,Cameron,Spikes,G,71,,56,73,14,64,14,79,65,65,19,35,24,34,11,11,31,59,56,16,22,31,17,49,45,99,30,5,33,43
primary,21,Marshall,Faulk,HB,28,,90,83,24,99,14,99,37,78,15,86,15,89,22,24,85,38,51,98,9,8,18,49,84,1,81,5,99,73
primary,22,Amp,Lee,HB,31,,82,67,17,79,13,94,51,70,14,59,6,69,15,16,57,38,34,64,12,8,16,49,44,99,42,5,68,24
primary,23,James,Hodgins,HB,42,,88,79,17,65,16,72,47,76,13,48,8,75,14,14,49,49,35,90,6,13,19,49,38,99,40,24,41,41
primary,24,Justin,Watson,HB,36,,86,68,17,67,11,67,51,58,14,45,11,61,14,14,62,56,53,71,7,11,14,49,67,50,26,5,75,69
primary,25,London,Fletcher,ILB,59,,79,81,10,76,8,86,69,67,78,19,94,24,11,10,23,27,21,16,74,94,8,49,76,99,56,5,85,85
primary,26,Leonard,Little,ILB,57,,78,74,10,93,15,85,71,64,75,23,63,31,11,11,18,32,27,30,69,78,16,49,81,99,44,5,18,79
primary,27,Lorenzo,Styles,ILB,51,,80,86,10,76,13,79,57,78,75,24,65,26,11,10,10,33,27,18,54,55,13,49,37,99,31,5,21,71
primary,28,Troy,Pelshak,ILB,91,,70,72,10,62,9,52,71,53,67,19,56,24,10,11,9,27,23,24,47,52,9,49,50,99,20,5,13,43
primary,29,Jeff,Wilkins,K,14,,38,44,11,46,85,81,33,42,23,23,27,19,11,12,27,34,28,35,20,12,70,99,39,50,63,5,79,24
primary,30,Mike A.,Jones,OLB,52,,70,72,10,79,13,79,57,76,70,23,85,27,11,10,20,36,29,22,81,77,13,49,35,99,48,5,84,78
primary,31,Charlie,Clemons,OLB,56,,59,68,10,93,13,69,77,72,76,18,80,30,11,10,30,33,27,36,74,80,14,49,39,99,54,5,51,54
primary,32,Mike,Morton,OLB,58,,71,76,10,72,6,55,53,68,70,16,64,23,11,10,19,23,19,20,45,52,6,49,22,99,20,5,36,87
