pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Don,Macek,C,67,,41,59,11,95,23,94,77,52,28,17,26,16,10,10,20,72,70,8,30,37,20,49,86,99,64,5,60,48
primary,1,Bob,Rush,C,53,,57,65,12,62,16,92,93,65,25,19,23,32,14,11,29,60,57,9,24,37,13,49,41,99,44,5,36,43
primary,2,Mike,Williams,CB,28,,83,88,9,55,16,87,45,64,89,10,76,7,11,10,39,14,18,37,38,65,16,49,79,1,63,5,90,56
primary,3,Irvin,Phillips,CB,29,,85,86,9,58,16,33,41,82,86,13,80,9,11,11,29,19,18,41,32,64,17,49,90,1,76,5,84,60
primary,4,Willie,Buchanon,CB,44,,92,99,11,71,19,72,39,92,80,19,44,39,11,11,48,34,39,51,29,36,21,49,36,1,45,5,55,42
primary,5,Doug,Beaudoin,CB,47,,86,84,9,60,17,74,47,73,73,10,70,7,11,10,15,19,20,37,38,62,19,49,20,1,50,5,88,55
primary,6,Frank,Duncan,CB,25,,90,91,11,94,24,61,49,82,67,7,35,35,11,11,39,44,42,32,47,31,26,49,58,1,35,5,34,24
primary,7,Allan,Ellis,CB,42,,91,79,11,60,17,86,49,76,67,7,45,5,11,11,21,23,23,32,38,42,15,49,31,1,32,5,48,39
primary,8,Wyatt,Henderson,CB,41,,76,72,8,99,28,75,37,85,54,20,56,7,10,10,50,38,43,46,68,45,29,49,50,1,20,5,55,58
primary,9,Wilbur,Young,DE,70,,75,82,10,75,19,86,71,79,46,14,88,28,11,10,22,18,23,26,96,78,19,49,59,99,66,5,88,80
primary,10,John,Woodcock,DE,78,,78,88,10,79,19,76,58,64,51,14,95,28,11,10,24,19,26,28,98,88,20,49,97,99,65,5,83,80
primary,11,Leroy,Jones,DE,61,,83,78,10,58,23,77,55,79,39,18,85,23,11,11,19,28,20,14,92,78,24,49,69,99,50,5,64,82
primary,12,Don,Reese,DE,69,,67,72,11,61,16,45,67,73,39,25,58,30,13,11,20,27,28,14,73,80,14,49,27,99,35,5,34,55
primary,13,Gary,Johnson,DT,74,,59,83,10,88,23,85,89,58,24,29,85,34,11,11,38,31,36,14,84,80,22,49,78,99,54,5,71,80
primary,14,Jimmy,Webb,DT,76,,63,68,11,63,15,89,73,56,54,28,82,33,13,11,20,25,29,22,74,79,17,49,31,99,42,5,60,66
primary,15,Louie,Kelcher,DT,90,,56,68,13,67,16,72,67,82,10,22,76,30,11,11,24,23,26,10,77,74,15,49,31,99,38,5,50,42
primary,16,Clarence,Williams,FB,43,,77,83,18,92,22,91,67,67,6,65,5,91,14,16,76,67,65,65,10,14,21,49,74,99,68,5,66,66
primary,17,Glen,Edwards,FS,45,,82,86,9,90,23,87,41,64,77,11,82,8,11,10,26,35,30,37,36,74,24,49,45,1,55,5,88,67
primary,18,Bob,Gregor,FS,20,,82,92,12,71,14,68,59,76,65,8,56,6,12,11,5,16,13,34,43,48,14,49,42,1,30,5,32,74
primary,19,Ed,White,G,66,,42,60,12,87,25,96,73,48,16,31,33,22,10,10,24,89,86,9,30,28,23,49,80,99,81,5,84,24
primary,20,Jeff,Williams,G,62,,48,62,11,99,25,97,61,50,34,20,29,20,10,10,23,87,81,7,37,37,23,49,58,99,70,5,95,49
primary,21,Doug,Wilkerson,G,68,,65,73,11,87,16,78,65,76,13,28,24,16,10,11,21,74,73,11,26,27,15,49,50,99,49,5,55,20
primary,22,Hank,Bauer,HB,27,,90,72,24,90,14,82,37,78,15,86,15,89,22,24,87,38,51,89,9,8,18,49,84,1,66,5,58,73
primary,23,John,Cappelletti,HB,49,,90,72,17,67,9,92,55,79,37,59,30,76,14,14,55,10,12,64,20,28,11,49,38,1,51,5,78,46
primary,24,Chuck,Muncie,HB,24,,82,67,17,79,13,94,51,70,14,59,6,69,15,16,57,38,34,64,12,8,16,49,44,99,42,5,68,24
primary,25,James,Brooks,HB,48,,89,72,23,82,13,94,57,92,12,50,6,77,19,20,61,38,30,72,8,6,12,49,43,99,36,24,41,60
primary,26,Mike,Thomas,HB,32,,88,79,17,65,16,72,47,76,13,48,8,75,14,14,49,49,35,90,6,13,19,49,38,99,40,24,41,41
primary,27,Booker,Russell,HB,23,,88,80,15,60,16,89,49,75,10,21,14,78,13,13,39,20,16,60,6,12,14,49,34,50,38,24,41,9
primary,28,LaRue,Harrington,HB,35,,87,80,17,80,23,78,57,49,9,56,7,71,15,17,64,22,10,63,14,10,26,49,68,50,36,24,56,43
primary,29,Bob,Horn,ILB,52,,66,64,11,63,1,86,55,78,76,16,93,30,10,11,9,14,7,5,72,93,1,49,21,99,51,5,74,48
primary,30,Carlos,Bradley,ILB,50,,80,72,10,81,13,72,63,75,69,23,86,27,11,10,15,34,29,22,74,78,13,49,72,99,53,5,71,61
primary,31,Ray,Preston,ILB,51,,84,86,10,79,9,52,61,70,63,13,76,33,11,11,21,27,22,28,59,74,5,49,61,99,45,5,53,24
primary,32,Cliff,Thrift,ILB,57,,80,86,10,76,13,79,57,78,75,24,65,26,11,10,10,33,27,18,54,55,13,49,37,99,31,5,21,71
primary,33,Rolf,Benirschke,K,4,,38,44,11,46,85,81,33,42,23,23,27,19,11,12,27,34,28,35,20,12,70,99,39,50,63,5,79,24
primary,34,Mike,Wood,K,13,,60,43,11,42,63,77,34,44,23,23,32,25,11,13,25,29,25,34,20,12,58,99,35,50,51,5,50,21
primary,35,Woodrow,Lowe,OLB,55,,67,78,10,90,13,88,59,72,78,26,76,35,11,11,20,60,30,20,68,82,13,49,47,99,48,5,70,50
primary,36,Jim,Laslavic,OLB,58,,69,80,10,97,15,88,55,76,77,19,91,32,11,10,30,31,25,32,88,93,14,49,86,99,71,5,93,70
primary,37,Linden,King,OLB,54,,71,76,10,72,6,55,53,68,70,16,64,23,11,10,19,23,19,20,45,52,6,49,22,99,20,5,36,87
primary,38,George,Roberts,P,17,,43,48,21,49,82,76,37,49,19,20,46,17,23,21,15,23,14,28,16,12,80,1,32,50,80,5,62,24
primary,39,Dan,Fouts,QB,15,,67,72,96,50,11,74,45,64,31,24,29,22,86,86,18,32,26,14,22,22,14,49,99,50,96,56,93,73
