pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Jeremy,Newberry,C,62,,36,54,11,92,26,82,73,50,31,18,30,20,10,10,29,91,86,8,41,37,23,49,45,99,22,5,65,44
primary,1,Ben,Lynch,C,60,,54,52,11,79,26,70,69,47,40,40,37,16,10,10,35,56,60,4,48,33,24,49,49,39,24,5,75,26
primary,2,Jerome,Davis,C,76,,47,54,11,69,16,86,69,47,12,13,20,1,10,10,12,36,30,4,13,30,13,49,27,42,37,5,75,30
primary,3,Ahmed,Plummer,CB,29,,90,90,11,72,19,67,41,85,87,8,74,6,11,11,32,33,38,34,60,62,20,49,83,1,22,5,68,52
primary,4,Jason,Webster,CB,36,,87,92,12,72,17,75,37,75,74,10,78,38,12,11,27,33,29,50,53,67,19,49,32,1,25,5,76,51
primary,5,Mike,Rumph,CB,24,,87,88,11,66,20,71,45,73,74,8,44,6,11,11,36,34,35,34,37,43,21,49,36,1,22,5,56,77
primary,6,Rashad,Holman,CB,26,,84,99,12,51,12,75,31,95,65,7,45,5,13,11,11,20,20,32,41,42,11,49,25,1,10,5,27,41
primary,7,Jimmy,Williams,CB,23,,85,68,11,41,16,68,41,76,48,6,32,4,11,11,11,19,20,1,40,32,13,49,23,1,11,5,45,47
primary,8,Chike,Okeafor,DE,91,,74,81,11,72,22,77,53,78,36,31,70,35,13,11,23,26,29,10,76,47,19,49,38,99,19,5,79,78
primary,9,Andre,Carter,DE,96,,85,79,11,75,12,80,59,84,67,31,78,35,13,11,27,33,34,22,80,65,13,49,69,99,24,5,73,85
primary,10,John,Engelberger,DE,95,,84,77,11,49,19,78,67,70,36,21,65,31,13,11,15,15,20,12,75,54,17,49,25,99,68,5,70,70
primary,11,Sean,Moran,DE,99,,66,87,10,50,20,72,59,68,5,17,54,25,11,10,20,26,22,35,66,46,19,49,27,99,22,5,64,73
primary,12,Bryant,Young,DT,97,,59,67,11,90,23,67,67,50,24,21,82,34,11,10,24,25,25,10,78,84,25,49,82,99,89,5,84,85
primary,13,Ross,Kolodziej,DT,92,,61,66,11,60,23,65,73,58,21,22,68,29,10,11,26,33,29,4,65,75,23,49,80,43,73,5,75,57
primary,14,Jim,Flanigan,DT,75,,65,79,11,72,22,80,75,59,20,18,66,31,11,10,19,25,20,10,78,80,21,49,72,99,54,5,20,63
primary,15,Josh,Shaw,DT,93,,64,63,10,53,17,5,63,61,16,22,67,31,11,11,26,19,28,14,52,65,16,49,33,99,14,5,49,24
primary,16,Dana,Stubblefield,DT,94,,49,60,10,99,23,72,83,42,47,48,59,47,11,10,50,49,46,42,52,37,23,49,49,99,33,5,33,51
primary,17,Fred,Beasley,FB,40,,67,81,16,79,20,89,57,79,8,56,8,43,14,14,62,88,74,75,11,13,19,49,37,99,14,5,92,50
primary,18,Paul,Smith,FB,27,,82,77,14,55,13,72,69,75,30,40,46,51,14,14,45,22,45,82,20,16,15,49,32,99,21,5,71,44
primary,19,Zack,Bronson,FS,31,,80,74,9,84,20,74,37,68,87,12,67,8,11,10,21,21,29,39,32,50,22,49,77,1,43,5,88,72
primary,20,Jason,Moore,FS,35,,87,97,9,65,17,5,55,76,56,12,57,8,11,10,14,26,23,39,16,40,17,49,30,26,17,5,75,57
primary,21,Ronnie,Heard,FS,38,,88,87,9,71,18,73,55,79,39,12,38,8,10,10,14,29,27,6,23,30,17,49,41,1,27,5,40,76
primary,22,Eric,Heitmann,G,66,,46,62,12,72,19,81,85,52,6,22,21,11,10,10,10,43,48,8,16,27,15,49,28,99,35,5,48,20
primary,23,Ron,Stone,G,65,,41,55,12,89,26,78,75,39,19,34,32,19,10,11,32,85,84,11,32,28,24,49,76,99,14,5,79,44
primary,24,Kyle,Kosier,G,72,,55,67,12,62,10,89,67,55,18,35,23,36,11,11,26,52,47,14,19,26,12,49,42,99,19,5,46,3
primary,25,Garrison,Hearst,HB,20,,80,68,15,94,16,60,55,77,9,65,10,81,16,16,61,15,10,84,13,12,19,49,74,50,83,5,72,70
primary,26,Kevan,Barlow,HB,32,,86,76,17,74,11,84,59,79,14,50,9,79,14,15,35,14,10,92,12,12,15,49,45,99,13,5,50,65
primary,27,Jamal,Robertson,HB,25,,82,71,26,67,9,62,77,76,33,41,24,62,17,20,25,13,25,75,18,27,11,49,40,50,16,5,23,24
primary,28,Derek,Smith,ILB,50,,80,72,10,92,7,88,67,72,75,16,88,26,11,10,15,24,19,30,51,88,9,49,36,99,35,5,79,69
primary,29,Jamie,Winborn,ILB,55,,84,76,10,79,13,80,65,75,74,23,67,26,11,10,12,32,26,18,54,53,13,49,45,99,35,5,61,59
primary,30,Quincy,Stewart,ILB,54,,82,74,10,86,8,78,67,68,61,23,67,37,11,11,16,28,24,12,65,66,13,49,43,99,24,5,31,24
primary,31,Brandon,Moore,ILB,56,,78,71,10,62,9,81,67,88,67,19,56,24,10,11,9,27,23,42,47,45,9,49,50,27,54,5,75,43
primary,32,Jeff,Chandler,K,3,,56,43,11,42,69,63,34,44,23,23,32,25,11,13,25,29,25,34,20,12,67,99,35,50,62,5,37,22
primary,33,Julian,Peterson,OLB,98,,77,78,10,80,8,78,63,78,73,21,81,34,11,11,23,24,19,22,72,74,5,49,81,99,21,5,93,66
primary,34,Jeff,Ulbrich,OLB,53,,77,76,10,88,11,72,67,64,65,23,79,35,11,11,20,31,28,24,51,79,10,49,57,99,25,5,68,67
primary,35,Saleem,Rasheed,OLB,51,,84,78,10,95,14,81,71,82,65,24,67,28,11,10,24,37,32,26,56,44,15,49,57,99,44,5,42,48
primary,36,Bill,LaFleur,P,4,,60,58,19,83,71,70,41,35,29,28,60,33,22,17,50,28,21,34,23,8,72,1,29,50,53,5,65,14
primary,37,Jeff,Garcia,QB,5,,79,86,82,78,26,51,39,59,17,32,32,61,88,88,33,17,13,62,15,5,23,49,89,50,73,86,71,24
primary,38,Tim,Rattay,QB,13,,64,81,70,26,7,47,13,44,27,22,27,7,65,59,16,24,24,28,16,19,11,49,56,50,69,34,66,24
primary,39,Brandon,Doman,QB,11,,67,77,61,13,11,44,26,64,26,22,27,33,31,63,12,10,12,28,20,26,13,49,40,50,52,48,50,20
primary,40,Tony,Parrish,SS,33,,86,79,9,30,11,73,71,84,54,35,69,9,11,10,16,18,19,49,50,59,14,49,30,1,33,5,83,70
primary,41,John,Keith,SS,28,,81,75,13,58,16,75,51,85,41,10,59,6,12,11,30,13,13,8,38,56,19,49,32,29,16,5,75,16
primary,42,Derrick,Deese,T,63,,44,54,11,89,25,72,63,43,20,36,32,30,11,11,24,96,89,11,35,28,22,49,86,99,41,5,98,60
primary,43,Scott,Gragg,T,78,,40,44,11,89,19,80,67,44,16,31,36,18,10,10,34,90,84,13,32,28,19,49,55,99,33,5,92,43
primary,44,Matt,Willig,T,77,,32,54,11,50,17,70,65,48,14,28,29,16,10,11,26,55,67,10,28,27,17,49,52,43,48,5,75,23
primary,45,Justin,Swift,TE,88,,69,79,10,45,9,75,53,58,18,72,26,43,11,12,66,56,63,60,20,24,11,49,28,61,17,5,75,23
primary,46,Eric,Johnson,TE,82,,75,82,9,39,7,72,47,78,25,73,19,40,11,11,77,55,60,60,9,16,9,49,24,99,16,5,75,45
primary,47,Brian,Jennings,TE,86,,75,56,10,28,3,69,62,58,13,57,13,41,11,11,44,50,54,58,11,24,7,49,22,99,5,5,32,45
primary,48,Terrell,Owens,WR,81,,84,80,15,80,15,90,70,76,6,98,15,67,16,16,91,53,53,90,11,5,18,49,70,99,89,5,75,99
primary,49,J.J.,Stokes,WR,83,,83,79,15,70,13,72,45,67,9,74,6,40,15,16,84,69,58,81,6,11,18,49,60,50,75,5,64,63
primary,50,Tai,Streets,WR,89,,87,85,15,51,14,61,38,79,7,64,6,41,14,14,70,45,36,80,6,7,13,49,33,50,19,5,88,49
primary,51,Cedrick,Wilson,WR,84,,91,87,12,37,11,62,32,82,36,35,32,12,14,14,78,56,46,65,22,14,16,49,29,1,46,5,90,56
primary,52,James,Jordan,WR,18,,81,77,15,49,4,56,46,79,5,33,3,39,14,14,63,24,28,72,3,9,9,49,18,50,56,5,63,57
