pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Randy,Grimes,C,60,Baylor,43,51,12,95,25,97,53,39,28,16,24,23,11,11,18,87,86,9,30,40,22,49,75,99,74,5,95,43
primary,1,Chuck,Pitcock,C,64,,52,57,11,85,20,95,67,45,15,13,22,9,10,10,17,64,69,9,22,30,17,49,80,99,56,5,72,41
primary,2,Kevin,Walker,CB,49,,81,86,9,96,18,85,47,72,89,11,80,8,12,10,40,14,20,37,59,72,21,49,76,1,54,5,90,80
primary,3,Jeff,George,CB,44,,87,97,9,53,14,87,35,68,90,10,74,7,11,10,11,15,18,37,55,63,15,49,15,1,55,5,85,67
primary,4,Bobby,Kemp,CB,43,,83,88,9,55,16,87,45,64,89,10,76,7,11,10,39,14,18,37,38,65,16,49,79,1,63,5,90,56
primary,5,Ivory,Curry,CB,45,,91,74,11,72,21,76,35,77,83,8,75,6,11,11,35,46,43,34,53,62,22,49,35,1,32,5,55,76
primary,6,Don,Anderson,CB,24,,86,74,9,45,19,79,31,73,65,12,57,8,11,10,12,25,29,39,32,45,19,49,27,1,22,5,55,54
primary,7,John,Cannon,DE,78,,75,82,10,75,19,86,71,79,46,14,88,28,11,10,22,18,23,26,96,78,19,49,59,99,66,5,88,80
primary,8,Jim,Ramey,DE,60,,54,66,11,49,19,89,73,58,3,16,75,26,11,10,19,27,23,4,79,70,19,49,20,99,53,5,73,61
primary,9,Ron,Holmes,DE,90,Washington,67,65,10,72,18,85,59,56,67,25,86,28,11,10,34,41,33,22,75,81,17,49,31,99,51,5,38,80
primary,10,Tyrone,Keys,DE,91,,74,61,10,46,14,88,69,72,49,8,75,24,11,10,9,12,12,24,77,74,13,49,48,99,36,5,74,89
primary,11,Kevin,Kellin,DT,78,,72,60,11,63,22,75,71,61,20,18,98,31,11,10,20,23,22,10,97,90,21,49,92,99,65,5,98,99
primary,12,Calvin,Turner,DT,72,,63,77,10,70,22,57,69,53,31,24,89,38,11,11,24,33,36,26,76,94,20,49,56,99,63,5,73,51
