pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Bruce,Matthews,C,74,,40,64,11,90,22,96,79,52,18,16,23,14,10,10,15,83,84,6,26,37,19,49,78,99,58,5,70,73
primary,1,Richard,Johnson,CB,22,,87,97,9,53,14,87,35,68,90,10,74,7,11,10,11,15,18,37,55,63,15,49,15,1,55,5,85,67
primary,2,Steve,Jackson,CB,24,,81,86,9,96,18,85,47,72,89,11,80,8,12,10,40,14,20,37,59,72,21,49,76,1,54,5,90,80
primary,3,Cris,Dishman,CB,28,,92,76,11,71,19,72,41,85,78,19,72,39,11,11,26,34,39,51,33,52,21,49,36,1,39,5,45,42
primary,4,Mike,Dumas,CB,33,,86,79,9,65,16,98,65,82,70,30,55,8,11,11,28,20,28,49,43,46,19,49,53,1,31,5,48,61
primary,5,Darryll,Lewis,CB,29,,86,74,9,45,19,79,31,73,65,12,57,8,11,10,12,25,29,39,32,45,19,49,27,1,22,5,55,54
primary,6,Sean,Jones,DE,69,,76,64,10,70,20,79,73,64,46,18,85,29,11,10,19,27,20,18,93,80,20,49,70,99,66,5,75,81
primary,7,Ezra,Johnson,DE,64,,75,82,10,75,19,86,71,79,46,14,88,28,11,10,22,18,23,26,96,78,19,49,59,99,66,5,88,80
primary,8,William,Fuller,DE,62,,66,77,10,67,19,80,71,55,58,23,72,35,11,11,27,26,34,18,71,64,19,49,34,99,42,5,29,24
primary,9,Doug,Smith,DT,71,,72,60,11,63,22,75,71,61,20,18,98,31,11,10,20,23,22,10,97,90,21,49,92,99,65,5,98,99
primary,10,Jeff,Alm,DT,72,,63,77,10,70,22,57,69,53,31,24,89,38,11,11,24,33,36,26,76,94,20,49,56,99,63,5,73,51
primary,11,Ray,Childress,DT,75,,56,68,13,67,16,72,67,82,10,22,76,30,11,11,24,23,26,10,77,74,15,49,31,99,38,5,50,42
primary,12,Glenn,Montgomery,DT,78,,58,75,10,60,15,80,77,58,20,19,75,34,11,11,23,23,27,20,80,76,19,49,29,99,32,5,35,76
primary,13,Allen,Pinkett,FB,44,,85,83,18,92,22,91,67,67,6,65,5,91,14,16,76,67,65,65,10,14,21,49,74,99,68,5,66,66
primary,14,Victor,Jones,FB,47,,77,79,17,95,16,87,67,68,13,51,6,80,15,16,50,38,41,97,11,13,18,49,83,99,53,5,40,81
primary,15,Bo,Orlando,FS,37,,81,88,12,93,22,84,39,76,78,8,82,6,12,11,14,30,31,34,48,68,25,49,54,1,53,5,65,46
primary,16,Mike,Munchak,G,51,,40,47,12,76,24,97,59,41,17,32,30,18,10,10,29,85,85,7,30,28,23,49,39,99,58,5,90,42
primary,17,Erik,Norgard,G,64,,39,48,12,76,24,96,58,39,14,33,29,16,10,10,24,80,84,7,28,27,22,49,38,99,60,5,88,24
primary,18,Doug,Dawson,G,68,,41,42,11,90,17,98,69,39,13,28,26,18,10,10,17,57,61,11,24,28,16,49,47,99,49,5,81,39
primary,19,John,Flannery,G,61,,49,65,11,83,21,94,95,42,37,41,32,38,14,11,41,72,70,9,41,37,17,49,51,99,53,5,20,2
primary,20,Lorenzo,White,HB,35,,86,86,17,99,16,99,67,68,13,51,6,95,15,16,50,38,41,97,11,13,18,49,83,99,89,5,99,50
primary,21,Gary,Brown,HB,42,,83,74,15,63,13,94,55,88,34,49,28,69,15,14,54,32,39,81,20,19,16,49,38,50,38,5,60,69
primary,22,Tony,Jordan,HB,30,,79,70,17,69,14,87,53,68,10,48,6,78,15,16,39,40,43,64,6,14,15,49,43,50,24,5,64,83
primary,23,Spencer,Tillman,HB,23,,68,78,15,63,23,91,65,65,46,47,44,72,14,14,63,26,24,68,41,24,23,49,44,50,23,5,49,71
primary,24,Eric,Fairs,ILB,56,,80,77,10,79,11,86,51,70,76,23,88,26,11,10,16,30,24,18,75,89,13,49,34,99,57,5,90,71
primary,25,Rick,Graf,ILB,54,,72,69,10,94,14,89,55,65,76,22,83,30,11,10,26,34,27,30,73,77,14,49,69,99,54,5,72,63
primary,26,Al,Smith,ILB,54,,72,82,10,87,13,88,63,58,70,19,83,29,11,10,28,31,25,32,63,84,13,49,77,99,36,5,79,74
primary,27,Scott,Kozak,ILB,66,,84,81,10,80,4,82,55,73,70,22,76,26,11,10,11,28,25,22,60,76,2,49,41,99,25,5,12,79
primary,28,Al,Del Greco,K,3,,38,43,11,43,95,96,34,39,19,21,42,17,11,12,20,26,21,33,16,12,97,99,62,50,99,5,89,22
primary,29,Johnny,Meads,OLB,57,,82,86,10,99,11,84,63,64,85,20,99,28,11,10,26,27,21,26,68,98,11,49,90,99,70,5,90,82
primary,30,John,Grimsley,OLB,50,,72,78,10,81,16,89,73,76,63,28,71,28,11,10,10,39,32,18,88,65,16,49,46,99,41,5,82,89
primary,31,Eugene,Seale,OLB,59,,74,68,10,83,6,85,63,75,73,13,76,26,11,10,11,21,16,30,55,77,6,49,49,99,42,5,59,74
primary,32,Lamar,Lathon,OLB,58,,70,82,11,70,11,97,59,87,69,19,79,32,10,11,14,19,11,29,68,74,11,49,27,99,35,5,60,76
primary,33,Greg,Montgomery,P,11,,43,48,48,46,87,78,37,50,20,19,48,17,50,45,21,19,16,36,18,12,82,1,37,50,89,5,22,24
primary,34,Warren,Moon,QB,7,,58,67,75,29,7,71,39,47,27,18,23,18,85,88,14,25,24,35,14,20,11,49,73,50,90,47,95,24
primary,35,Cody,Carlson,QB,15,,63,69,69,24,5,58,13,55,26,17,21,14,78,63,9,18,21,31,11,18,9,49,71,50,71,70,62,24
primary,36,Reggie,Slack,QB,14,,78,71,72,25,7,89,35,61,14,18,19,35,68,72,4,3,7,28,20,27,9,49,70,50,70,75,33,24
primary,37,Bubba,McDowell,SS,32,,75,77,10,84,50,73,59,73,90,40,99,10,11,11,42,24,23,48,67,97,17,99,85,1,75,5,93,68
primary,38,Marcus,Robertson,SS,31,,85,79,12,81,19,80,45,64,66,1,53,4,13,11,14,28,26,39,60,53,20,49,44,1,33,5,81,41
primary,39,Dean,Steinkuhler,T,74,,44,48,11,83,19,95,69,41,15,31,36,19,10,11,26,95,99,13,30,28,18,49,88,99,85,5,95,48
primary,40,Kevin,Donnalley,T,77,,44,67,12,75,14,97,71,55,24,41,30,43,11,11,38,74,82,14,27,26,16,49,51,99,52,5,71,41
primary,41,Don,Maggs,T,65,,51,45,11,82,19,95,67,52,15,34,37,19,10,10,24,77,77,8,31,28,19,49,48,99,50,5,77,52
primary,42,David,Williams,T,73,,43,64,11,73,8,99,67,62,21,26,27,39,11,16,36,67,68,17,15,22,14,49,45,99,46,5,65,24
primary,43,Chris,Verhulst,TE,82,,72,77,11,70,16,81,55,73,6,76,15,63,11,11,80,73,75,74,8,6,17,49,39,99,64,5,34,24
primary,44,Bob,Mrosko,TE,83,,68,82,10,65,14,57,63,70,8,58,14,42,11,11,70,80,85,76,7,15,16,49,35,99,64,5,29,24
