pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Kevin,Long,C,60,,45,63,12,98,26,96,63,55,31,17,30,23,11,10,23,97,99,10,35,40,22,49,84,99,77,5,93,68
primary,1,Craig,Page,C,62,,46,67,12,64,23,77,61,67,11,33,29,14,10,10,24,64,61,1,28,27,21,49,33,99,40,5,61,42
primary,2,Samari,Rolle,CB,21,,94,85,9,60,16,66,37,73,88,11,75,8,11,10,18,12,18,37,43,63,19,49,79,1,53,5,71,80
primary,3,Denard,Walker,CB,25,,75,83,9,55,16,73,39,68,89,12,79,8,11,10,47,23,25,39,40,70,19,49,64,1,54,5,90,77
primary,4,Anthony,Dorsett,CB,33,,92,76,11,71,19,72,41,85,78,19,72,39,11,11,26,34,39,51,33,52,21,49,36,1,39,5,45,42
primary,5,Dainon,Sidney,CB,37,,88,86,9,51,17,69,35,85,66,11,57,8,11,10,20,20,24,37,29,49,17,49,18,1,37,5,63,61
primary,6,Henry,Ford,DE,92,,88,71,11,70,21,34,67,84,50,31,81,34,13,11,31,36,40,30,93,86,21,49,82,99,45,5,73,99
primary,7,Jevon,Kearse,DE,90,,78,88,10,79,19,76,58,64,51,14,95,28,11,10,24,19,26,28,98,88,20,49,97,99,65,5,83,80
primary,8,Kenny,Holmes,DE,99,,76,69,10,55,19,65,73,78,49,16,77,26,11,10,22,23,24,22,88,83,19,49,72,99,50,5,74,90
primary,9,Mike,Sutton,DE,93,,77,67,11,60,19,83,59,75,37,28,72,31,13,11,26,26,25,16,74,72,19,49,30,99,45,5,58,48
primary,10,Mike,Frederick,DE,94,,78,59,11,57,16,86,63,63,33,25,68,34,13,11,16,23,25,14,71,46,17,49,31,99,35,5,50,24
primary,11,Jason,Fisk,DT,97,,49,63,11,64,24,84,87,52,28,23,74,31,10,10,31,36,31,4,72,69,25,49,37,99,45,5,40,72
primary,12,Josh,Evans,DT,91,,58,75,10,60,15,80,77,58,20,19,75,34,11,11,23,23,27,20,80,76,19,49,29,99,32,5,35,76
primary,13,John,Thornton,DT,78,,57,69,10,69,22,59,71,64,28,24,84,36,11,11,26,28,32,14,75,81,20,49,34,99,42,5,65,60
primary,14,Joe,Salave'a,DT,95,,48,57,11,64,20,77,73,56,15,17,56,27,10,10,20,26,21,10,61,72,19,49,25,99,28,5,74,91
primary,15,Rodney,Thomas,FB,20,,80,75,16,81,21,89,69,81,15,42,7,40,14,14,54,75,71,77,12,10,22,49,61,99,48,5,57,71
primary,16,Marcus,Robertson,FS,31,,82,77,9,92,19,68,49,70,85,12,82,8,11,10,21,21,29,39,55,78,21,49,74,1,53,5,81,89
primary,17,Blaine,Bishop,FS,23,,88,86,9,34,16,86,49,68,79,12,64,8,10,10,17,29,26,6,25,59,14,49,22,1,31,5,24,76
primary,18,Benji,Olson,G,75,,44,53,12,68,20,95,61,50,9,27,22,9,10,10,15,84,82,2,20,26,17,49,74,99,56,5,81,46
primary,19,Jason,Layman,G,66,,58,51,12,75,14,95,67,62,24,41,30,43,11,11,38,86,78,14,27,26,16,49,51,99,59,5,74,43
primary,20,Zach,Piller,G,71,,41,53,14,79,18,96,99,45,26,42,37,41,11,11,45,75,74,15,35,32,17,49,51,99,60,5,22,45
primary,21,Eddie,George,HB,27,,86,86,17,99,16,99,67,68,13,51,6,95,15,16,50,38,41,97,11,13,18,49,83,99,89,5,99,50
primary,22,Lorenzo,Neal,HB,41,,87,80,17,80,23,78,57,49,9,56,7,71,15,17,64,22,10,63,14,10,26,49,68,50,36,24,56,43
primary,23,Spencer,George,HB,26,,84,71,17,73,16,92,53,72,14,45,9,51,16,15,51,26,26,75,9,12,19,49,41,50,24,5,64,68
