pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Jeff,Bostic,C,53,Clemson,41,59,11,95,23,94,77,52,28,17,26,16,10,10,20,72,70,8,30,37,20,49,86,99,64,5,60,48
primary,1,Darrell,Green,CB,28,,91,90,11,83,19,74,43,82,91,10,79,7,11,11,18,43,48,60,54,73,20,49,80,1,50,5,75,95
primary,2,Vernon,Dean,CB,32,,83,88,9,55,16,87,45,64,89,10,76,7,11,10,39,14,18,37,38,65,16,49,79,1,63,5,90,56
primary,3,Ken,Coffey,CB,48,,92,99,11,71,19,72,39,92,80,19,44,39,11,11,48,34,39,51,29,36,21,49,36,1,45,5,55,42
primary,4,Anthony,Washington,CB,24,,89,83,11,62,16,64,47,78,78,8,71,6,11,11,32,26,31,34,45,65,17,49,67,1,46,5,56,52
primary,5,Greg,Williams,CB,47,,86,84,9,60,17,74,47,73,73,10,70,7,11,10,15,19,20,37,38,62,19,49,20,1,50,5,88,55
primary,6,Brian,Carpenter,CB,41,Michigan,91,74,11,72,21,76,35,77,83,8,75,6,11,11,35,46,43,34,53,62,22,49,35,1,32,5,55,76
primary,7,Mike,Nelms,CB,21,,76,72,8,99,28,75,37,85,54,20,56,7,10,10,50,38,43,46,68,45,29,49,50,1,20,5,55,58
primary,8,Todd,Liebenstein,DE,79,UNLV,75,82,10,75,19,86,71,79,46,14,88,28,11,10,22,18,23,26,96,78,19,49,59,99,66,5,88,80
primary,9,Dexter,Manley,DE,72,,83,78,10,58,23,77,55,79,39,18,85,23,11,11,19,28,20,14,92,78,24,49,69,99,50,5,64,82
primary,10,Charles,Mann,DE,71,Nevada,80,74,10,60,19,79,69,59,49,17,77,26,11,10,23,23,24,20,79,76,20,49,64,99,50,5,71,72
primary,11,Tony,McGee,DE,78,,72,60,11,55,12,87,57,60,47,25,67,32,13,11,19,22,25,22,74,58,13,49,29,99,36,5,83,73
primary,12,Perry,Brooks,DE,69,Southern,67,72,11,61,16,45,67,73,39,25,58,30,13,11,20,27,28,14,73,80,14,49,27,99,35,5,34,55
primary,13,Dave,Butz,DT,65,Purdue,50,63,11,57,22,85,77,64,18,14,77,31,11,11,24,29,26,22,78,78,20,49,62,99,63,5,72,74
primary,14,Darryl,Grant,DT,77,Rice,63,68,11,63,15,89,73,56,54,28,82,33,13,11,20,25,29,22,74,79,17,49,31,99,42,5,60,66
primary,15,Mat,Mendenhall,DT,69,,59,69,10,76,22,89,63,58,24,25,81,33,11,11,31,24,33,14,74,80,19,49,70,99,36,5,65,80
primary,16,John,Riggins,FB,44,Kansas,83,82,18,92,22,95,82,70,6,68,5,93,14,16,70,79,79,86,10,14,21,49,74,99,75,5,99,99
primary,17,Clarence,Williams,FB,48,,82,70,16,79,16,92,63,58,11,29,6,59,13,13,44,49,55,72,10,14,15,49,36,99,28,5,19,9
primary,18,Mark,Murphy,FS,29,,82,86,9,90,23,87,41,64,77,11,82,8,11,10,26,35,30,37,36,74,24,49,45,1,55,5,88,67
primary,19,Russ,Grimm,G,68,Pittsburgh,42,60,12,87,25,96,73,48,16,31,33,22,10,10,24,88,83,9,30,28,23,49,80,99,81,5,84,24
primary,20,Mark,May,G,73,Pittsburgh,48,62,11,99,25,97,61,50,34,20,29,20,10,10,23,87,81,7,37,37,23,49,58,99,70,5,95,49
primary,21,Ken,Huff,G,61,North Carolina,41,57,12,78,22,95,79,42,13,28,29,15,10,11,23,70,69,12,26,28,20,49,73,99,68,5,21,41
primary,22,Bruce,Kimball,G,67,Massachusetts,48,62,12,73,23,98,57,52,14,35,32,14,10,10,31,70,72,4,30,27,23,49,39,99,42,5,73,49
primary,23,Clarence,Harmon,HB,24,,84,69,15,92,14,79,63,68,8,49,9,88,14,14,44,36,47,77,7,9,16,49,66,99,64,5,82,50
primary,24,Joe,Washington,HB,25,Oklahoma,90,72,17,67,9,92,55,79,37,59,30,76,14,14,55,10,12,64,20,28,11,49,38,1,51,5,78,46
primary,25,Nick,Giaquinto,HB,30,,82,67,17,79,13,94,51,70,14,59,6,69,15,16,57,38,34,64,12,8,16,49,44,99,42,5,68,24
primary,26,Otis,Wonsley,HB,39,,89,72,23,82,13,94,57,92,12,50,6,77,19,20,61,38,30,72,8,6,12,49,43,99,36,24,41,60
primary,27,Reggie,Evans,HB,26,Richmond,88,79,17,65,16,72,47,76,13,48,8,75,14,14,49,49,35,90,6,13,19,49,38,99,40,24,41,41
primary,28,Neal,Olkewicz,ILB,52,Maryland,66,64,11,63,1,86,55,78,76,16,93,30,10,11,9,14,7,5,72,93,1,49,21,99,51,5,74,48
primary,29,Pete,Cronan,ILB,54,,83,70,10,79,9,78,73,70,74,13,80,33,11,11,21,27,22,28,51,78,5,49,61,99,54,5,60,24
primary,30,Stuart,Anderson,ILB,58,Virginia,77,76,10,79,11,87,65,68,74,21,82,25,11,10,19,30,23,16,71,76,11,49,28,99,44,5,65,74
primary,31,Larry,Kubin,ILB,50,,84,86,10,79,9,52,61,70,63,13,76,33,11,11,21,27,22,28,59,74,5,49,61,99,45,5,53,24
primary,32,Mark,Moseley,K,3,,38,43,11,43,95,96,34,39,19,21,42,17,11,12,20,26,21,33,16,12,97,99,62,50,99,5,89,22
primary,33,Mel,Kaufman,OLB,55,,59,68,10,93,13,69,77,72,76,18,80,30,11,10,30,33,27,36,74,80,14,49,39,99,54,5,51,54
primary,34,Rich,Milot,OLB,57,,82,71,10,97,10,85,53,72,72,19,86,28,11,10,21,25,20,26,54,84,11,49,65,99,52,5,90,82
primary,35,Monte,Coleman,OLB,51,,82,79,10,79,6,94,59,64,78,21,59,34,11,11,16,26,18,26,79,76,8,49,39,99,48,5,37,24
primary,36,Quentin,Lowry,OLB,56,,71,76,10,72,6,55,53,68,70,16,64,23,11,10,19,23,19,20,45,52,6,49,22,99,20,5,36,87
primary,37,Jeff,Hayes,P,5,North Carolina,43,48,21,49,82,76,37,49,19,20,46,17,23,21,15,23,14,28,16,12,80,1,32,50,80,5,62,24
primary,38,Joe,Theismann,QB,7,Notre Dame,66,64,93,50,9,84,43,56,26,21,31,22,93,96,21,30,28,29,20,22,13,49,92,50,78,30,85,24
primary,39,Bob,Holly,QB,8,Princeton,53,57,80,29,16,50,38,48,33,27,32,46,76,68,25,20,20,28,35,31,16,49,50,50,53,23,40,24
primary,40,Curtis,Jordan,SS,22,Texas Tech,75,77,10,84,50,73,59,73,90,40,99,10,11,11,42,24,23,48,67,97,17,99,85,1,75,5,93,68
primary,41,Joe,Jacoby,T,66,Louisville,55,62,11,89,17,95,81,59,13,29,34,15,10,10,26,91,94,12,28,28,17,49,92,99,69,5,65,60
primary,42,George,Starke,T,74,Columbia,48,58,11,82,16,97,77,50,24,32,32,47,11,17,43,77,77,19,23,23,16,49,55,99,52,5,48,39
primary,43,Roy,Simmons,T,60,Georgia Tech,48,64,12,71,4,90,69,48,1,29,16,36,11,11,11,60,60,20,18,32,7,49,31,99,36,5,56,41
primary,44,Don,Warren,TE,85,,81,81,10,30,10,84,83,85,8,51,12,62,11,10,66,76,71,67,15,13,13,49,63,99,62,5,49,24
primary,45,Rick,Walker,TE,88,UCLA,79,79,10,46,8,74,75,67,9,64,12,40,11,12,66,46,43,65,14,14,11,49,31,99,39,5,59,24
primary,46,Clint,Didier,TE,86,,64,78,10,30,4,82,51,82,21,53,16,48,11,13,58,66,68,66,9,20,6,49,24,99,27,5,36,42
primary,47,John,Sawyer,TE,82,Southern Miss,66,81,10,44,5,80,65,67,20,54,20,41,11,13,52,63,62,67,9,20,7,49,25,99,25,5,29,51
primary,48,Mike,Williams,TE,84,Alabama A&M,58,62,10,30,4,78,69,56,21,53,16,43,11,13,54,51,52,66,9,20,6,49,24,99,20,5,31,52
primary,49,Charlie,Brown,WR,87,,98,92,15,70,11,87,34,76,9,98,9,75,16,15,98,30,37,90,7,10,16,49,89,1,86,5,99,20
primary,50,Alvin,Garrett,WR,89,,91,89,15,73,17,89,33,84,6,94,12,78,16,17,90,46,43,85,8,7,16,49,79,50,54,5,99,89
primary,51,Art,Monk,WR,81,Syracuse,88,84,20,59,9,79,39,88,5,86,7,61,20,21,86,22,31,60,12,14,13,49,49,50,60,5,96,62
primary,52,Virgil,Seay,WR,80,,89,92,15,69,14,73,33,79,11,79,9,36,16,16,79,41,41,76,8,9,19,49,46,50,41,5,74,24
