pool,index,first,last,position,jersey,college,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
primary,0,Mike,Baab,C,68,,37,53,10,82,23,97,57,41,31,21,33,14,10,10,33,88,90,6,39,27,22,49,40,99,54,5,65,50
primary,1,George,Lilja,C,60,,52,58,11,76,17,99,91,67,6,8,16,7,10,10,9,54,52,8,11,33,13,49,27,99,42,5,35,22
primary,2,Hanford,Dixon,CB,38,,87,86,9,70,18,83,45,82,95,14,74,10,11,11,42,19,26,43,30,60,19,49,84,1,79,5,86,78
primary,3,Mark,Harper,CB,20,,83,85,9,53,17,82,35,78,92,14,67,10,11,10,24,30,28,43,25,59,19,49,78,1,69,5,95,60
primary,4,D.D.,Hoggard,CB,22,,81,77,9,60,18,95,53,64,68,11,71,8,11,10,26,22,27,37,32,55,19,49,24,1,47,5,86,45
primary,5,Ray,Ellis,CB,41,,88,82,11,94,24,66,41,88,73,7,64,35,11,11,39,44,42,32,47,50,26,49,58,1,43,5,55,24
primary,6,Felix,Wright,CB,27,,91,79,11,60,17,86,49,76,67,7,45,5,11,11,21,23,23,32,38,42,15,49,31,1,32,5,48,39
primary,7,Reggie,Camp,DE,71,,76,64,10,70,20,79,73,64,46,18,85,29,11,10,19,27,20,18,93,80,20,49,70,99,66,5,75,81
primary,8,Sam,Clancy,DE,93,,80,74,10,60,19,79,69,59,49,17,77,26,11,10,23,23,24,20,79,76,20,49,64,99,50,5,71,72
primary,9,Carl,Hairston,DE,91,,65,62,11,49,12,38,67,88,10,19,89,27,13,11,14,18,20,10,83,82,13,49,26,99,40,5,50,46
primary,10,Bob,Golic,DT,70,,63,79,10,82,22,68,67,61,26,29,94,47,11,11,31,31,35,39,79,90,23,49,44,99,46,5,75,79
primary,11,Mike,Rusinek,DT,77,,59,56,10,63,22,73,67,56,50,19,88,28,11,10,27,35,27,22,75,84,23,49,48,99,64,5,75,58
primary,12,Dave,Puzzuoli,DT,90,,59,69,10,76,22,89,63,58,24,25,81,33,11,11,31,24,33,14,74,80,19,49,70,99,36,5,65,80
primary,13,Ralph,Malone,DT,99,,65,79,11,72,22,84,75,59,20,18,71,31,11,10,19,25,20,10,70,82,21,49,72,99,49,5,20,63
primary,14,Johnny,Davis,FB,35,,80,75,16,79,19,94,69,57,42,53,29,50,14,14,62,82,68,89,37,35,21,49,27,99,43,5,30,70
primary,15,Al,Gross,FS,25,,82,72,9,92,19,76,57,73,90,12,97,8,11,10,7,22,22,39,59,97,22,49,79,1,74,5,96,57
primary,16,Frank,Minnifield,FS,26,,88,77,9,43,19,75,53,68,53,12,64,8,11,10,8,24,27,39,32,45,19,49,26,1,24,5,47,54
primary,17,Dan,Fike,G,74,,32,61,12,83,22,94,79,58,13,29,26,15,10,10,21,84,86,8,24,28,19,49,80,99,74,5,45,39
primary,18,Larry,Williams,G,69,,53,48,14,72,19,96,67,58,26,40,29,41,11,11,39,81,83,14,26,26,20,49,49,99,58,5,65,44
primary,19,Jeff,Wiska,G,79,,42,66,14,85,22,94,71,45,33,41,32,49,11,11,48,70,70,20,41,32,21,49,54,99,48,5,38,24
primary,20,Earnest,Byner,HB,45,,85,79,17,95,16,87,67,68,13,51,6,80,15,16,50,38,41,97,11,13,18,49,83,99,53,5,40,81
primary,21,Curtis,Dickey,HB,36,,83,73,15,87,12,91,59,65,14,68,8,76,14,16,65,30,32,87,7,7,14,49,67,50,56,5,61,61
primary,22,Herman,Fontenot,HB,28,,91,76,15,67,16,68,73,85,11,53,6,61,13,13,62,39,20,72,10,14,15,49,36,50,40,24,41,24
primary,23,Kevin,Mack,HB,39,,83,68,15,67,16,90,71,79,11,31,6,61,13,13,61,48,50,75,10,14,15,49,36,50,39,5,36,9
primary,24,Major,Everett,HB,46,,93,77,28,41,13,93,65,74,12,49,14,45,20,21,55,30,24,76,11,10,16,49,68,50,48,5,38,64
primary,25,Eddie,Johnson,ILB,56,,77,76,10,79,11,87,65,68,74,21,82,25,11,10,19,30,23,16,71,76,11,49,28,99,44,5,65,74
primary,26,Brad,Van Pelt,ILB,58,,72,69,10,94,14,89,55,65,76,22,83,30,11,10,26,34,27,30,73,77,14,49,69,99,54,5,72,63
primary,27,Scott,Nicolas,ILB,51,,74,86,10,78,4,79,59,70,55,15,60,34,11,11,16,23,20,24,60,66,4,49,32,99,35,5,41,24
primary,28,Matt,Bahr,K,8,,35,46,11,53,94,90,37,44,30,32,42,32,14,11,42,38,33,28,41,36,97,99,32,50,80,5,64,41
primary,29,Mark,Moseley,K,9,,39,44,10,30,84,84,30,42,17,23,25,15,11,12,6,12,8,26,11,12,70,99,17,50,47,5,28,37
primary,30,Clay,Matthews,OLB,53,,69,80,10,97,15,88,55,76,77,19,91,32,11,10,30,31,25,32,88,93,14,49,86,99,71,5,93,70
