# ESPN NFL 2K5 generated-player name pool: modern first names and surnames (tier B).
# Source: nflverse-data (https://github.com/nflverse/nflverse-data), CC-BY-4.0 - players.parquet, every player with a season in 2015-2025 (8258 players).
# Generated by tools/nfl2k5_modern_names_generate.py on 2026-09-04 from players.parquet (sha256 94d95824be12cc0f...).
# 433 surnames keep their retail index and recorded call-out (audio = retail); 52 take modern surnames and are announced by number (audio = number); every first name is modern.
# Pool bytes: 13238 of 13238 (UTF-16LE with terminators); boundary body offset 0x8cfaa.
index,first,last,audio
0,Michael,Smith,retail
1,Jordan,Johnson,retail
2,Brandon,Williams,retail
3,Joshua,Jones,retail
4,Christopher,Brown,retail
5,James,Davis,retail
6,John,Miller,retail
7,Ryan,Wilson,retail
8,Matthew,Moore,retail
9,Justin,Taylor,retail
10,Tyler,Anderson,retail
11,William,Thomas,retail
12,Andrew,Jackson,retail
13,David,White,retail
14,Anthony,Harris,retail
15,Jonathan,Martin,retail
16,Marcus,Thompson,retail
17,Robert,Bolden,number
18,Isaiah,McCray,number
19,Cameron,Robinson,retail
20,Joseph,Clark,retail
21,Austin,Rivers,number
22,Christian,Lewis,retail
23,Jalen,Lee,retail
24,Kyle,Walker,retail
25,Nicholas,Hall,retail
26,Daniel,Allen,retail
27,Josh,Young,retail
28,Kevin,King,retail
29,Patrick,Wright,retail
30,Jacob,Gaines,number
31,Charles,Hill,retail
32,Chris,Scott,retail
33,Brian,Green,retail
34,Eric,Adams,retail
35,Jason,Baker,retail
36,Kenneth,Nelson,retail
37,Aaron,Carter,retail
38,Benjamin,Mitchell,retail
39,Elijah,Roberts,retail
40,Jake,Turner,retail
41,Luke,Phillips,retail
42,Steven,Campbell,retail
43,Zachary,Parker,retail
44,Thomas,Evans,retail
45,Travis,Edwards,retail
46,Xavier,Collins,retail
47,Alex,Stewart,retail
48,Alexander,McFadden,number
49,Andre,Morris,retail
50,Blake,Rogers,retail
51,Corey,Reed,retail
52,Jack,Cook,retail
53,Darius,Morgan,retail
54,Derrick,Bell,retail
55,Devin,Murphy,retail
56,Gregory,Bailey,retail
57,Jeremy,Pryor,number
58,Nick,Cooper,retail
59,Sean,Richardson,retail
60,Timothy,Cox,retail
61,Jared,Howard,retail
62,Malik,Ward,retail
63,Chase,Wynn,number
64,Cody,Peterson,retail
65,Connor,Gray,retail
66,George,Booker,number
67,Mark,James,retail
68,Richard,Watson,retail
69,Samuel,Brooks,retail
70,Tanner,Kelly,retail
71,Antonio,Sanders,retail
72,Bryce,Price,retail
73,Cole,Bennett,retail
74,Joe,Wood,retail
75,Caleb,Barnes,retail
76,Jeremiah,Ross,retail
77,Nathan,Henderson,retail
78,Sam,Coleman,retail
79,Stephen,Jenkins,retail
80,Adam,Perry,retail
81,Dylan,Powell,retail
82,Evan,Long,retail
83,Ben,Patterson,retail
84,Bradley,Hughes,retail
85,Garrett,Bradford,number
86,Jeffrey,Washington,retail
87,Julian,Butler,retail
88,Keith,Simmons,retail
89,Kendall,Foster,retail
90,Matt,Bryant,retail
91,Paul,Alexander,retail
92,Tony,Russell,retail
93,Trevor,Griffin,retail
94,Curtis,Hayes,retail
95,Derek,Myers,retail
96,Drew,Ford,retail
97,Myles,Hamilton,retail
98,Spencer,Graham,retail
99,Trey,Sullivan,retail
100,Bryan,Wallace,retail
101,Isaac,Woods,retail
102,Jaylen,Cole,retail
103,Mason,West,retail
104,Zach,Jordan,retail
105,Calvin,Owens,retail
106,Emmanuel,Reynolds,retail
107,Hunter,Fisher,retail
108,Malcolm,Ellis,retail
109,Nate,Harrison,retail
110,Rodney,Gibson,retail
111,Terrell,McDonald,retail
112,Casey,Branch,number
113,Donald,Marshall,retail
114,Ethan,Charles,number
115,Javon,Diggs,number
116,Mike,Murray,retail
117,Mitchell,Freeman,retail
118,Taylor,Wells,retail
119,Tre,Webb,retail
120,Troy,Simpson,retail
121,Willie,Stevens,retail
122,Byron,Tucker,retail
123,Cam,Porter,retail
124,Danny,Hunter,retail
125,Darrell,Hicks,retail
126,Dominique,Crawford,retail
127,Donovan,Henry,retail
128,Frank,Boyd,retail
129,Henry,Mason,retail
130,Johnathan,Golden,number
131,Logan,Kennedy,retail
132,Nathaniel,Warren,retail
133,Tommy,Dixon,retail
134,Trenton,Hurst,number
135,Vincent,Jarrett,number
136,Will,Burns,retail
137,Adrian,Gordon,retail
138,Brett,Shaw,retail
139,Bruce,Holmes,retail
140,Carlos,Rice,retail
141,Chad,Robertson,retail
142,Craig,Hunt,retail
143,Desmond,Black,retail
144,Jackson,Daniels,retail
145,Jermaine,Palmer,retail
146,Kelvin,Mills,retail
147,Lawrence,Nichols,retail
148,Micah,Grant,retail
149,Noah,Knight,retail
150,Quinton,Ferguson,retail
151,Ronald,Rose,retail
152,Ross,Stone,retail
153,Scott,Hawkins,retail
154,Bobby,Dunn,retail
155,Brock,Perkins,retail
156,Carson,Hudson,retail
157,Cedric,Spencer,retail
158,Chandler,Gardner,retail
159,Dalton,Stephens,retail
160,Darren,Payne,retail
161,Dennis,Pierce,retail
