# NFL 2K5 retail roster team history: the real club of every past season the retail roster carries stats for.
# Source: nflverse-data (https://github.com/nflverse/nflverse-data), CC-BY-4.0 - rosters 1982-2003, weekly rosters 2002-2003, player stats 1999-2003, players.
# Generated 2026-09-03 by tools/nfl2k5_team_history_from_nflverse.py; matched 1148 of 1325 retail players, 5068 of 5867 season rows.
# Team codes are the 2004 roster abbreviations (relocated franchises resolved by season: Oilers -> TEN, LA Raiders -> OAK, ...).
# Columns: last_name, first_name, birth_date (YYYY-MM-DD), season, team, position, roster_index (only where two retail records share the identity), source.
# Lines starting with # are comments.
last_name,first_name,birth_date,season,team,position,roster_index,source
Abdullah,Khalid,1979-03-06,2003,CIN,OLB,,nflverse CIN
Abraham,Donnie,1973-10-08,1996,TB,CB,,nflverse TB
Abraham,Donnie,1973-10-08,1997,TB,CB,,nflverse TB
Abraham,Donnie,1973-10-08,1998,TB,CB,,nflverse TB
Abraham,Donnie,1973-10-08,1999,TB,CB,,nflverse TB
Abraham,Donnie,1973-10-08,2000,TB,CB,,nflverse TB
Abraham,Donnie,1973-10-08,2001,TB,CB,,nflverse TB
Abraham,Donnie,1973-10-08,2002,NYJ,CB,,nflverse NYJ
Abraham,Donnie,1973-10-08,2003,NYJ,CB,,nflverse NYJ
Abraham,John,1978-05-06,2000,NYJ,DE,,nflverse NYJ
Abraham,John,1978-05-06,2001,NYJ,DE,,nflverse NYJ
Abraham,John,1978-05-06,2002,NYJ,DE,,nflverse NYJ
Abraham,John,1978-05-06,2003,NYJ,DE,,nflverse NYJ
Adams,Keith,1979-11-22,2001,DAL,OLB,,nflverse DAL
Adams,Keith,1979-11-22,2002,PHI,OLB,,nflverse PHI
Adams,Keith,1979-11-22,2003,PHI,OLB,,nflverse PHI
Adams,Sam,1973-06-13,1994,SEA,DT,,nflverse SEA
Adams,Sam,1973-06-13,1995,SEA,DT,,nflverse SEA
Adams,Sam,1973-06-13,1996,SEA,DT,,nflverse SEA
Adams,Sam,1973-06-13,1997,SEA,DT,,nflverse SEA
Adams,Sam,1973-06-13,1998,SEA,DT,,nflverse SEA
Adams,Sam,1973-06-13,1999,SEA,DT,,nflverse SEA
Adams,Sam,1973-06-13,2000,BAL,DT,,nflverse BAL
Adams,Sam,1973-06-13,2001,BAL,DT,,nflverse BAL
Adams,Sam,1973-06-13,2002,OAK,DT,,nflverse OAK
Adams,Sam,1973-06-13,2003,BUF,DT,,nflverse BUF
Aiken,Sam,1980-12-14,2003,BUF,WR,,nflverse BUF
Akbar,Hakim,1980-08-11,2001,NE,OLB,,nflverse NE
Akbar,Hakim,1980-08-11,2002,STL,OLB,,nflverse SL
Akers,David,1974-12-09,1998,WAS,K,,nflverse WAS
Akers,David,1974-12-09,1999,PHI,K,,nflverse PHI
Akers,David,1974-12-09,2000,PHI,K,,nflverse PHI
Akers,David,1974-12-09,2001,PHI,K,,nflverse PHI
Akers,David,1974-12-09,2002,PHI,K,,nflverse PHI
Akers,David,1974-12-09,2003,PHI,K,,nflverse PHI
Akins,Chris,1976-11-29,1999,DAL,SS,,nflverse DAL
Akins,Chris,1976-11-29,2000,GB,SS,,nflverse GB
Akins,Chris,1976-11-29,2001,GB,SS,,nflverse GB
Akins,Chris,1976-11-29,2002,CLE,SS,,nflverse CLV
Akins,Chris,1976-11-29,2003,NE,SS,,nflverse NE
Alexander,Shaun,1977-08-30,2000,SEA,RB,,nflverse SEA
Alexander,Shaun,1977-08-30,2001,SEA,RB,,nflverse SEA
Alexander,Shaun,1977-08-30,2002,SEA,RB,,nflverse SEA
Alexander,Shaun,1977-08-30,2003,SEA,RB,,nflverse SEA
Alexander,Stephen,1975-11-07,1998,WAS,TE,,nflverse WAS
Alexander,Stephen,1975-11-07,1999,WAS,TE,,nflverse WAS
Alexander,Stephen,1975-11-07,2000,WAS,TE,,nflverse WAS
Alexander,Stephen,1975-11-07,2001,WAS,TE,,nflverse WAS
Alexander,Stephen,1975-11-07,2002,SD,TE,,nflverse SD
Alexander,Stephen,1975-11-07,2003,SD,TE,,nflverse SD
Allen,Brian,1978-04-01,2001,STL,OLB,,nflverse STL
Allen,Brian,1978-04-01,2002,CAR,OLB,,nflverse CAR
Allen,Brian,1978-04-01,2003,CAR,OLB,,nflverse CAR
Allen,James,1979-11-11,2002,NO,OLB,,nflverse NO
Allen,James,1979-11-11,2003,NO,OLB,,nflverse NO
Allen,Will,1978-08-05,2001,NYG,CB,,nflverse NYG
Allen,Will,1978-08-05,2002,NYG,CB,,nflverse NYG
Allen,Will,1978-08-05,2003,NYG,CB,,nflverse NYG
Alstott,Mike,1973-12-21,1996,TB,FB,,nflverse TB
Alstott,Mike,1973-12-21,1997,TB,FB,,nflverse TB
Alstott,Mike,1973-12-21,1998,TB,FB,,nflverse TB
Alstott,Mike,1973-12-21,1999,TB,FB,,nflverse TB
Alstott,Mike,1973-12-21,2000,TB,FB,,nflverse TB
Alstott,Mike,1973-12-21,2001,TB,FB,,nflverse TB
Alstott,Mike,1973-12-21,2002,TB,FB,,nflverse TB
Alstott,Mike,1973-12-21,2003,TB,FB,,nflverse TB
Ambrose,Ashley,1970-09-17,1992,IND,CB,,nflverse IND
Ambrose,Ashley,1970-09-17,1993,IND,CB,,nflverse IND
Ambrose,Ashley,1970-09-17,1994,IND,CB,,nflverse IND
Ambrose,Ashley,1970-09-17,1995,IND,CB,,nflverse IND
Ambrose,Ashley,1970-09-17,1996,CIN,CB,,nflverse CIN
Ambrose,Ashley,1970-09-17,1997,CIN,CB,,nflverse CIN
Ambrose,Ashley,1970-09-17,1998,CIN,CB,,nflverse CIN
Ambrose,Ashley,1970-09-17,1999,NO,CB,,nflverse NO
Ambrose,Ashley,1970-09-17,2000,ATL,CB,,nflverse ATL
Ambrose,Ashley,1970-09-17,2001,ATL,CB,,nflverse ATL
Ambrose,Ashley,1970-09-17,2002,ATL,CB,,nflverse ATL
Ambrose,Ashley,1970-09-17,2003,NO,CB,,nflverse NO
Andersen,Morten,1960-08-19,1982,NO,K,,nflverse NO
Andersen,Morten,1960-08-19,1983,NO,K,,nflverse NO
Andersen,Morten,1960-08-19,1984,NO,K,,nflverse NO
Andersen,Morten,1960-08-19,1985,NO,K,,nflverse NO
Andersen,Morten,1960-08-19,1986,NO,K,,nflverse NO
Andersen,Morten,1960-08-19,1987,NO,K,,nflverse NO
Andersen,Morten,1960-08-19,1988,NO,K,,nflverse NO
