# match log for nfl2k5_retail_team_history.csv (nflverse-data (https://github.com/nflverse/nflverse-data), CC-BY-4.0)
# players with game seasons: 1325; exact: 835; last name + DOB: 313; ambiguous: 5; none: 172
# season rows: 5068 of 5867 have a team; per year: 1982: 1/1, 1983: 1/1, 1984: 1/1, 1985: 3/3, 1986: 4/4, 1987: 6/7, 1988: 10/12, 1989: 11/12, 1990: 15/17, 1991: 27/29, 1992: 40/44, 1993: 59/70, 1994: 94/109, 1995: 142/163, 1996: 216/243, 1997: 291/327, 1998: 376/421, 1999: 459/531, 2000: 580/678, 2001: 751/876, 2002: 929/1076, 2003: 1052/1242
   0 Duane Starks 1974-05-23: exact 00-0015577; covered [1998, 1999, 2000, 2001, 2002]; missing []
   1 Renaldo Hill 1978-11-12: exact 00-0020301; covered [2001, 2002, 2003]; missing []
   2 David Macklin 1978-07-14: exact 00-0019563; covered [2000, 2001, 2002, 2003]; missing []
   3 Coby Rhinehart 1977-02-07: fallback_dob 00-0013623; covered [1999, 2001, 2002, 2003]; missing []
   4 Bert Berry 1975-08-15: fallback_dob 00-0001176; covered [1997, 1998, 1999, 2001, 2002, 2003]; missing []
   5 Calvin Pace 1980-10-28: exact 00-0022120; covered [2003]; missing []
   6 Fred Wakefield 1978-09-17: exact 00-0020024; covered [2001, 2002, 2003]; missing []
   7 Dennis Johnson 1979-12-04: exact 00-0021086; covered [2002, 2003]; missing []
   9 Kyle Vanden Bosch 1978-11-17: exact 00-0020382; covered [2001, 2002]; missing []
  10 Russell Davis 1975-03-28: exact 00-0004046; covered [1999, 2000, 2001, 2002, 2003]; missing []
  11 Wendell Bryant 1980-09-12: exact 00-0021384; covered [2002, 2003]; missing []
  13 Kenny King 1981-04-23: fallback_dob 00-0021916; covered [2003]; missing []
  14 James Hodgins 1977-04-30: exact 00-0007546; covered [2002, 2003]; missing []; unmapped ['1999:LA (team code LA in 1999: ambiguous: use RAM (Rams) or RAI (Raiders))', '2000:LA (team code LA in 2000: ambiguous: use RAM (Rams) or RAI (Raiders))', '2001:LA (team code LA in 2001: ambiguous: use RAM (Rams) or RAI (Raiders))']
  15 Obafemi Ayanbadejo 1975-03-05: exact 00-0000552; covered [1999, 2000, 2001, 2003]; missing []
  16 Dexter Jackson 1977-07-28: exact 00-0008115; covered [1999, 2000, 2001, 2002, 2003]; missing []
  17 Michael Stone 1978-02-13: exact 00-0020383; covered [2002]; missing [2003]
  21 Marcel Shipp 1978-08-08: exact 00-0020022; covered [2001, 2002, 2003]; missing []
  22 Emmitt Smith 1969-05-15: exact 00-0015165; covered [1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
  23 Damien Anderson 1979-07-17: exact 00-0021048; covered [2002, 2003]; missing []
  24 Josh Scobey 1979-12-11: exact 00-0021098; covered []; missing [2002]
  25 Ronald McKinnon 1973-09-20: exact 00-0010970; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
  26 James Darling 1974-12-29: exact 00-0003902; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
  27 Neil Rackers 1976-08-16: exact 00-0019676; covered [2000, 2001, 2002, 2003]; missing []
  28 Raynoch Thompson 1977-11-21: exact 00-0019535; covered [2000, 2001, 2002, 2003]; missing []
  30 LeVar Woods 1978-03-15: exact 00-0020025; covered [2001, 2002, 2003]; missing []
  31 Levar Fisher 1979-07-02: exact 00-0021177; covered [2002, 2003]; missing []
  32 Gerald Hayes 1980-10-10: exact 00-0021941; covered [2003]; missing []
  33 Riall Johnson 1978-04-20: exact 00-0020375; covered [2001, 2002, 2003]; missing []
  34 Scott Player 1969-12-17: exact 00-0013028; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
  35 Josh McCown 1979-07-04: fallback_dob 00-0021206; covered [2002, 2003]; missing []
  36 Shaun King 1977-05-29: exact 00-0009266; covered [1999, 2000, 2001, 2002, 2003]; missing []
  38 Adrian Wilson 1979-10-12: exact 00-0020505; covered [2002, 2003]; missing []
  42 Freddie Jones 1974-09-16: exact 00-0008749; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
  43 Nathan Hodel 1977-11-12: exact 00-0019834; covered [2002]; missing []
  44 Anquan Boldin 1980-10-03: exact 00-0022084; covered [2003]; missing []
  46 Bryant Johnson 1981-03-07: exact 00-0022156; covered [2003]; missing []
  48 Kevin Kasper 1977-12-23: exact 00-0020256; covered [2001, 2002, 2003]; missing []
  49 Bryan Gilmore 1978-09-21: none; seasons [2001, 2002, 2003]
  54 Jason Webster 1977-09-08: exact 00-0019653; covered [2000, 2001, 2002, 2003]; missing []
  55 Tod McBride 1976-01-26: exact 00-0010645; covered [1999, 2000, 2001, 2002, 2003]; missing []
  56 Aaron Beasley 1973-07-07: exact 00-0000939; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
  57 Derek Ross 1980-01-05: exact 00-0021200; covered [2002, 2003]; missing []
  58 Kevin Mathis 1974-04-29: exact 00-0010535; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
  59 Allen Rossum 1975-10-22: exact 00-0014071; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
  60 Patrick Kerney 1976-12-30: exact 00-0009173; covered [1999, 2000, 2001, 2002, 2003]; missing []
  61 Brady Smith 1973-06-05: exact 00-0015106; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
  62 Karon Riley 1978-08-23: exact 00-0020334; covered [2001, 2003]; missing []
  63 Ellis Johnson 1973-10-30: exact 00-0008494; covered [1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
  64 Edward Jasper 1973-01-18: exact 00-0008284; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
  65 Rod Coleman 1976-08-16: fallback_dob 00-0003239; covered [1999, 2000, 2001, 2002, 2003]; missing []
  66 Travis Hall 1972-08-03: exact 00-0006684; covered [1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
  69 Justin Griffith 1980-07-21: exact 00-0022011; covered [2003]; missing []
  70 George Layne 1978-10-09: exact 00-0020479; covered [2001, 2002, 2003]; missing []
  71 Cory Hall 1976-12-05: exact 00-0006647; covered [1999, 2000, 2001, 2002, 2003]; missing []
  72 Keion Carpenter 1977-10-31: exact 00-0002666; covered [1999, 2000, 2001, 2002, 2003]; missing []
  77 Warrick Dunn 1975-01-05: exact 00-0004640; covered [1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
  78 T.J. Duckett 1981-02-17: fallback_dob 00-0021376; covered [2002, 2003]; missing []
  80 Keith Brooking 1975-10-30: exact 00-0001820; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
  82 Jay Feely 1976-05-23: fallback_dob 00-0019770; covered [2001, 2002, 2003]; missing []
  83 Matt Stewart 1979-08-31: exact 00-0020278; covered [2001, 2002, 2003]; missing []
  84 Chris Draft 1976-02-26: fallback_dob 00-0004505; covered [1998, 1999, 2000, 2001, 2002, 2003]; missing []
  85 Keith Newman 1977-01-19: exact 00-0012059; covered [1999, 2000, 2001, 2002, 2003]; missing []
  87 Chris Mohr 1966-05-11: fallback_dob 00-0011463; covered [1989, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
  88 Michael Vick 1980-06-28: none; seasons [2001, 2002, 2003]
  89 Ty Detmer 1967-10-30: exact 00-0004230; covered [1993, 1995, 1996, 1997, 1998, 1999, 2001]; missing []
  91 Bryan Scott 1981-04-13: exact 00-0021951; covered [2003]; missing []
  96 Alge Crumpler 1977-12-23: fallback_dob 00-0020285; covered [2001, 2002, 2003]; missing []
  97 Hunter Goodwin 1972-10-10: fallback_dob 00-0006133; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
  98 Derek Rackley 1977-07-18: exact 00-0019146; covered [2000, 2001]; missing []
  99 Peerless Price 1976-10-27: exact 00-0013232; covered [1999, 2000, 2001, 2002, 2003]; missing []
 100 Brian Finneran 1976-01-31: exact 00-0005231; covered [1999, 2000, 2001, 2002, 2003]; missing []
 102 Dez White 1979-08-23: fallback_dob 00-0019660; covered [2000, 2001, 2002, 2003]; missing []
 103 Woodrow Dantzler 1979-10-04: exact 00-0020973; covered [2002, 2003]; missing []
 106 Chris McAlister 1977-06-14: fallback_dob 00-0010634; covered [1999, 2000, 2001, 2002, 2003]; missing []
 107 Gary Baxter 1978-11-24: exact 00-0020472; covered [2001, 2002, 2003]; missing []
 108 Corey Fuller 1971-05-01: exact 00-0005627; covered [1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 109 Lamont Brightful 1979-01-29: exact 00-0021303; covered [2002, 2003]; missing []
 110 Dale Carter 1969-11-28: exact 00-0002722; covered [1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2001, 2002, 2003]; missing []
 111 Anthony Weaver 1980-07-28: exact 00-0021180; covered [2002, 2003]; missing []
 112 Marques Douglas 1977-03-05: none; seasons [2000, 2001, 2002, 2003]
 113 Jarret Johnson 1981-08-14: exact 00-0022139; covered [2003]; missing []
 115 Kelly Gregg 1976-11-01: exact 00-0006398; covered [1999, 2001, 2002, 2003]; missing []
 116 Ma'ake Kemoeatu 1979-01-10: exact 00-0020867; covered [2002, 2003]; missing []
 117 Aubrayo Franklin 1980-08-27: exact 00-0022147; covered [2003]; missing []
 118 Alan Ricard 1977-01-17: exact 00-0018588; covered [2001, 2002, 2003]; missing []
 120 Will Demps 1979-11-07: exact 00-0020861; covered [2002, 2003]; missing []
 121 Gerome Sapp 1981-02-08: exact 00-0022150; covered [2003]; missing []
 125 Jamal Lewis 1979-08-29: none; seasons [2000, 2002, 2003]
 126 Musa Smith 1982-05-31: exact 00-0022130; covered [2003]; missing []
 127 Chester Taylor 1979-09-22: exact 00-0021314; covered [2002, 2003]; missing []
 128 Ray Lewis 1975-05-15: exact 00-0009889; covered [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]; missing []
 129 Edgerton Hartwell 1978-05-27: exact 00-0020304; covered [2001, 2002, 2003]; missing []
