filename,outer,team,file_year,used_by_moments,slot,first,last,position,jersey,classification,speed,agility,pass_arm_strength,stamina,kick_power,durability,strength,jumping,coverage,run_route,tackle,break_tackle,pass_accuracy,pass_read_coverage,catch,run_blocking,pass_blocking,hold_onto_ball,pass_rush,run_coverage,kick_accuracy,kicking_style,leadership,power_run_style,composure,scramble,consistency,aggressiveness
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,0,Cardinals,Center,C,51,placeholder,53,76,11,99,24,95,71,45,31,18,27,20,10,10,21,88,80,8,33,37,22,49,51,99,70,5,64,44
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,1,Cardinals,Center,C,64,placeholder,53,66,12,82,21,98,57,50,30,50,37,39,11,11,42,67,70,13,41,22,22,49,54,99,45,5,75,41
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,2,Cardinals,Cornerback,CB,46,placeholder,87,86,9,81,16,82,61,82,90,12,80,8,12,10,42,16,16,39,44,70,17,49,92,1,75,5,82,47
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,3,Cardinals,Cornerback,CB,27,placeholder,87,86,9,70,18,83,45,82,95,14,74,10,11,11,42,19,26,43,30,60,19,49,84,1,79,5,86,78
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,4,Cardinals,Cornerback,CB,32,placeholder,83,81,12,55,16,97,49,92,77,6,60,4,13,11,41,18,20,30,40,51,19,49,28,1,44,5,55,43
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,5,Cardinals,Cornerback,CB,22,placeholder,91,81,11,91,26,62,55,73,66,7,44,5,11,11,9,35,36,32,55,40,24,49,57,1,31,5,35,24
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,6,Cardinals,Cornerback,CB,24,placeholder,86,90,9,49,15,86,43,81,63,9,66,6,11,10,18,9,13,35,52,52,17,49,25,1,43,5,51,24
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,7,Cardinals,Cornerback,CB,23,placeholder,82,81,9,88,21,69,41,61,56,13,49,9,11,10,19,29,27,41,29,41,23,49,42,1,20,5,24,57
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,8,Cardinals,Def End,DE,74,placeholder,80,74,10,60,19,79,69,59,49,17,77,26,11,10,23,23,24,20,79,76,20,49,64,99,50,5,71,72
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,9,Cardinals,Def End,DE,71,placeholder,61,71,10,72,22,88,57,73,68,24,87,37,11,11,32,23,30,24,76,77,21,49,36,99,36,5,55,85
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,10,Cardinals,Def End,DE,95,placeholder,61,69,11,73,24,50,75,58,21,18,79,32,11,10,28,33,28,16,73,76,23,49,62,99,63,5,27,24
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,11,Cardinals,Def End,DE,67,placeholder,87,68,10,67,19,98,85,70,3,23,70,35,11,11,27,26,34,18,70,52,19,49,34,99,48,5,50,24
h-00-1975-cardinals-3.iff,113,cardinals,1975,1,12,Cardinals,Def End,DE,52,placeholder,59,57,10,43,25,61,77,60,21,25,59,28,10,10,28,40,34,2,44,47,24,49,29,99,25,5,41,24
