frame,stage,v2_transform,v2_primary_blend,v2_secondary_blend,v2_sampled_pose,v2_skeleton_root,v2_skeleton_high_root,v3_max_changed_players_across_four_cases,v2_transform_changed_write_pcs
1,ready,19,0,0,19,19,19,0,28D06D 28D081 28E014 28E3F1 28E43B
2,ready,19,0,0,19,19,19,0,28D06D 28D081 28E014 28E3F1 28E43B
3,ready,19,0,0,19,19,19,0,28D06D 28D081 28E014 28E3F1 28E43B
4,ready,19,0,0,19,19,19,0,28D06D 28D081 28E014 28E3F1 28E43B
5,ready,19,0,0,19,19,19,0,28D06D 28D081 28E014 28E3F1 28E43B
6,ready,19,0,0,19,19,19,0,28D06D 28E014 28E3F1 28E43B
7,ready,1,0,0,19,19,19,0,28D06D 28E014 28E3F1 28E43B
8,ready,1,0,0,19,19,19,0,28E014 28E3F1 28E43B
9,ready,0,0,0,19,19,19,0,28E3F1 28E43B
10,ready,0,0,0,19,19,19,0,28E3F1 28E43B
11,ready,0,0,0,19,19,19,0,28E3F1 28E43B
12,ready,0,0,0,19,19,19,0,28E3F1 28E43B
13,ready,0,0,0,19,19,19,0,28E3F1 28E43B
14,ready,0,0,0,19,19,19,0,28E3F1 28E43B
15,ready,0,0,0,19,19,19,0,28E3F1 28E43B
16,ready,0,0,0,19,19,19,0,28E3F1 28E43B
17,ready,0,0,0,19,19,19,0,28E3F1 28E43B
18,ready,0,0,0,19,19,19,0,28E3F1 28E43B
19,ready,0,0,0,19,19,19,0,28E3F1 28E43B
20,ready,0,0,0,19,19,19,0,28E3F1 28E43B
21,approach,0,0,0,19,19,19,0,28E3F1 28E43B
22,approach,0,0,0,19,19,19,0,28E3F1 28E43B
23,approach,0,0,0,0,0,0,0,28E3F1 28E43B
24,approach,0,0,0,0,0,0,0,28E3F1 28E43B
25,approach,0,0,0,0,0,0,0,28E3F1 28E43B
26,approach,0,0,0,0,0,0,0,28E3F1 28E43B
27,approach,0,0,0,0,0,0,0,28E3F1 28E43B
28,approach,0,0,0,0,0,0,0,28E3F1 28E43B
29,approach,0,0,0,0,0,0,0,28E3F1 28E43B
30,approach,0,0,0,0,0,0,0,28E3F1 28E43B
31,approach,0,0,0,0,0,0,0,28E3F1 28E43B
32,approach,0,0,0,0,0,0,0,28E3F1 28E43B
33,approach,0,0,0,0,0,0,0,28E3F1 28E43B
34,approach,0,0,0,0,0,0,0,28E3F1 28E43B
35,approach,0,0,0,0,0,0,0,28E3F1 28E43B
36,approach,0,0,0,0,0,0,0,28E3F1 28E43B
37,approach,0,0,0,0,0,0,0,28E3F1 28E43B
38,approach,0,0,0,0,0,0,0,28E3F1 28E43B
39,approach,0,0,0,0,0,0,0,28E3F1 28E43B
40,approach,0,0,0,0,0,0,0,28E3F1 28E43B
41,flight,0,0,0,0,0,0,0,28E3F1 28E43B
42,flight,0,0,0,0,0,0,0,28E3F1 28E43B
43,flight,0,0,0,0,0,0,0,28E3F1 28E43B
44,flight,0,0,0,0,0,0,0,28E3F1 28E43B
45,flight,0,0,0,0,0,0,0,28E3F1 28E43B
46,flight,0,0,0,0,0,0,0,28E3F1 28E43B
47,flight,0,0,0,0,0,0,0,28E3F1 28E43B
48,flight,0,0,0,0,0,0,0,28E3F1 28E43B
49,flight,0,0,0,0,0,0,0,28E3F1 28E43B
50,flight,0,0,0,0,0,0,0,28E3F1 28E43B
51,flight,0,0,0,0,0,0,0,28E3F1 28E43B
52,flight,0,0,0,0,0,0,0,28E3F1 28E43B
53,flight,0,0,0,0,0,0,0,28E3F1 28E43B
54,flight,0,0,0,0,0,0,0,28E3F1 28E43B
55,flight,0,0,0,0,0,0,0,28E3F1 28E43B
56,flight,0,0,0,0,0,0,0,28E3F1 28E43B
57,flight,0,0,0,0,0,0,0,28E3F1 28E43B
58,flight,0,0,0,0,0,0,0,28E3F1 28E43B
59,flight,0,0,0,0,0,0,0,28E3F1 28E43B
60,flight,0,0,0,0,0,0,0,28E3F1 28E43B
