{'file': 'tests/mod_editor/test_beta61_allocator_integration.py', 'exit_code': 0, 'seconds': 426.68}
{'file': 'tests/mod_editor/test_nfl2k5_gameplay_levers.py', 'exit_code': 0, 'seconds': 11.42}
{'file': 'tests/mod_editor/test_nfl2k5_my_career_m3_budget.py', 'exit_code': 0, 'seconds': 4.4}
{'file': 'tests/mod_editor/test_nfl2k5_roster_arena_image.py', 'exit_code': 0, 'seconds': 14.99}
{'file': 'tests/mod_editor/test_nfl2k5_roster_storage.py', 'exit_code': 0, 'seconds': 388.24}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_sprite.py', 'exit_code': 0, 'seconds': 113.63}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_sd.py', 'exit_code': 0, 'seconds': 0.81}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_watermark.py', 'exit_code': 0, 'seconds': 47.33}
{'file': 'tests/mod_editor/test_scorebug_studio_panel_qt.py', 'exit_code': 0, 'seconds': 7.45}
{'file': 'tests/mod_editor/test_scorebug_sprite_preview_qt.py', 'exit_code': 0, 'seconds': 22.17}
{'file': 'tests/mod_editor/test_shipped_tools_posix_only.py', 'exit_code': 0, 'seconds': 11.7}
{'file': 'tests/mod_editor/test_shipped_tools_are_self_sufficient.py', 'exit_code': 0, 'seconds': 12.14}
{'file': 'tests/mod_editor/test_xbe_patch_memory_writes.py', 'exit_code': 0, 'seconds': 1594.34}
{'file': 'tests/mod_editor/test_xbe_patch_cave_references.py', 'exit_code': 0, 'seconds': 1747.13}
{'file': 'tests/mod_editor/test_build_panel_qt.py', 'exit_code': 0, 'seconds': 3.28}
{'file': 'tests/mod_editor/test_apf_scorebug_workspace_qt.py', 'exit_code': 0, 'seconds': 0.97}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_assets.py', 'exit_code': 0, 'seconds': 144.09}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_author.py', 'exit_code': 0, 'seconds': 6.32}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_down_visibility.py', 'exit_code': 0, 'seconds': 39.18}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_draw_order.py', 'exit_code': 0, 'seconds': 24.79}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_exact.py', 'exit_code': 0, 'seconds': 82.2}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_fonts.py', 'exit_code': 0, 'seconds': 8.32}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_freeze.py', 'exit_code': 0, 'seconds': 240.34}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_freeze_v2.py', 'exit_code': 0, 'seconds': 323.69}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_ingame.py', 'exit_code': 0, 'seconds': 14.55}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_ingame_fix.py', 'exit_code': 0, 'seconds': 123.12}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_mnf.py', 'exit_code': 0, 'seconds': 12.09}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_mnf_v3.py', 'exit_code': 0, 'seconds': 45.36}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_native.py', 'exit_code': 0, 'seconds': 129.33}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_projection.py', 'exit_code': 0, 'seconds': 55.72}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_resources.py', 'exit_code': 1, 'seconds': 174.45}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_runtime.py', 'exit_code': 0, 'seconds': 119.28}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_source_art.py', 'exit_code': 0, 'seconds': 0.45}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_template.py', 'exit_code': 0, 'seconds': 9.47}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_template_release.py', 'exit_code': 1, 'seconds': 0.53}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_unified_adapter.py', 'exit_code': 0, 'seconds': 0.16}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_v10_ingame.py', 'exit_code': 0, 'seconds': 8.9}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_v10_projection.py', 'exit_code': 0, 'seconds': 27.79}
{'file': 'tests/mod_editor/test_nfl2k5_scorebug_versions.py', 'exit_code': 0, 'seconds': 9.31}
