id,begin_line,end_line,primitive,texture,format,palette,geometry_events,vp_complete
0,113965,113968,6,0x0,0x0,0x0,2,False
1,114106,114109,6,0x24e4d80,0x7750b29,0x24ea2c0,2,False
2,114190,114193,6,0x24eac80,0x6640b29,0x24ec1c0,2,False
3,114345,114347,6,0x24f3600,0x7850b29,0x24ffc80,1,False
4,114516,114519,6,0x16ce280,0x7750b29,0x16d37c0,2,False
5,114608,114611,6,0x2538b80,0x8860b29,0x254e0c0,2,False
6,114683,114687,6,0x2538b80,0x8860b29,0x254e0c0,3,False
7,114755,114756,6,0x2538b80,0x8860b29,0x254e0c0,0,False
8,114773,114775,6,0x1700c00,0x6610b29,0x1701c00,1,False
9,114866,114867,6,0x2571480,0x6640b29,0x25729c0,0,False
10,114890,114892,6,0x2569000,0x6640b29,0x256a540,1,False
11,114902,114904,6,0x2588680,0x6640b29,0x2589bc0,1,False
12,114914,114916,6,0x2580200,0x6640b29,0x2581740,1,False
13,114956,114957,6,0x172eb00,0x5830b29,0x1731500,0,False
14,115018,115019,6,0x16dde00,0x6640b29,0x16dff80,0,False
15,115176,115180,6,0x27a1d80,0x8860b29,0x27b72c0,3,False
16,115576,115581,6,0x248e580,0x8960b29,0x24b9000,4,False
17,115817,115820,6,0x24b9980,0x8960b29,0x24e4400,2,False
18,115958,115961,6,0x24e4d80,0x7750b29,0x24ea2c0,2,False
19,116042,116045,6,0x24eac80,0x6640b29,0x24ec1c0,2,False
20,116197,116199,6,0x24f3600,0x7850b29,0x24ffc80,1,False
21,116368,116371,6,0x16c0180,0x7750b29,0x16c6300,2,False
22,116460,116463,6,0x2538b80,0x8860b29,0x254e0c0,2,False
23,116535,116539,6,0x2538b80,0x8860b29,0x254e0c0,3,False
24,116607,116608,6,0x2538b80,0x8860b29,0x254e0c0,0,False
25,116625,116627,6,0x16f7900,0x6610b29,0x16f8900,1,False
26,116718,116719,6,0x2571480,0x6640b29,0x25729c0,0,False
27,116742,116744,6,0x2567580,0x6640b29,0x2568ac0,1,False
28,116754,116756,6,0x2588680,0x6640b29,0x2589bc0,1,False
29,116766,116768,6,0x257e780,0x6640b29,0x257fcc0,1,False
30,116808,116809,6,0x1737800,0x5830b29,0x173a200,0,False
