id,begin_line,end_line,primitive,texture,format,palette,geometry_events,vp_complete
0,93,94,6,0x236b300,0x7750b29,0x2370840,0,False
1,104,105,6,0x2370c80,0x6640b29,0x23721c0,0,False
2,137,139,6,0x2378900,0x7750b29,0x237de40,1,False
3,149,150,6,0x2372f80,0x7750b29,0x23784c0,0,False
4,160,161,6,0x2372600,0x5530b29,0x2372b40,0,False
5,179,180,6,0x237e280,0x7750b29,0x23837c0,0,False
6,216,217,6,0x2372f80,0x7750b29,0x23784c0,0,False
7,227,228,6,0x2372600,0x5530b29,0x2372b40,0,False
8,260,261,6,0x2372f80,0x7750b29,0x23784c0,0,False
9,271,272,6,0x2372600,0x5530b29,0x2372b40,0,False
10,304,305,6,0x238af00,0x7750b29,0x2390440,0,False
11,315,316,6,0x2383c00,0x6640b29,0x2385140,0,False
12,326,327,6,0x2390880,0x7750b29,0x2395dc0,0,False
13,337,338,6,0x2385580,0x7750b29,0x238aac0,0,False
14,370,371,6,0x238af00,0x7750b29,0x2390440,0,False
15,381,382,6,0x2383c00,0x6640b29,0x2385140,0,False
16,392,393,6,0x2390880,0x7750b29,0x2395dc0,0,False
17,403,404,6,0x2385580,0x7750b29,0x238aac0,0,False
18,436,437,6,0x238af00,0x7750b29,0x2390440,0,False
19,447,448,6,0x2396200,0x6740b29,0x2398c80,0,False
20,458,459,6,0x2383c00,0x6640b29,0x2385140,0,False
21,469,470,6,0x2385580,0x7750b29,0x238aac0,0,False
22,502,503,6,0x238af00,0x7750b29,0x2390440,0,False
23,513,514,6,0x2396200,0x6740b29,0x2398c80,0,False
24,524,525,6,0x2383c00,0x6640b29,0x2385140,0,False
25,557,558,6,0x238af00,0x7750b29,0x2390440,0,False
26,568,569,6,0x2396200,0x6740b29,0x2398c80,0,False
27,579,580,6,0x2383c00,0x6640b29,0x2385140,0,False
28,612,613,6,0x238af00,0x7750b29,0x2390440,0,False
29,623,624,6,0x2396200,0x6740b29,0x2398c80,0,False
30,634,635,6,0x2383c00,0x6640b29,0x2385140,0,False
31,645,646,6,0x2385580,0x7750b29,0x238aac0,0,False
32,678,679,6,0x238af00,0x7750b29,0x2390440,0,False
33,689,690,6,0x2396200,0x6740b29,0x2398c80,0,False
34,722,723,6,0x238af00,0x7750b29,0x2390440,0,False
35,733,734,6,0x2396200,0x6740b29,0x2398c80,0,False
36,744,745,6,0x2383c00,0x6640b29,0x2385140,0,False
37,777,778,6,0x238af00,0x7750b29,0x2390440,0,False
38,788,789,6,0x2396200,0x6740b29,0x2398c80,0,False
39,799,800,6,0x2383c00,0x6640b29,0x2385140,0,False
40,832,833,6,0x23a0700,0x7750b29,0x23a5c40,0,False
41,843,844,6,0x23a6080,0x6740b29,0x23a8b00,0,False
42,854,855,6,0x2385580,0x7750b29,0x238aac0,0,False
43,864,865,6,0x3b4ae80,0x4410029,0x238aac0,0,False
44,897,898,6,0x23a0700,0x7750b29,0x23a5c40,0,False
45,908,909,6,0x23a6080,0x6740b29,0x23a8b00,0,False
46,919,920,6,0x2385580,0x7750b29,0x238aac0,0,False
47,929,930,6,0x3b4ae80,0x4410029,0x238aac0,0,False
48,962,963,6,0x23a0700,0x7750b29,0x23a5c40,0,False
49,973,974,6,0x23a6080,0x6740b29,0x23a8b00,0,False
50,984,985,6,0x2385580,0x7750b29,0x238aac0,0,False
51,1017,1018,6,0x238af00,0x7750b29,0x2390440,0,False
52,1028,1029,6,0x2396200,0x6740b29,0x2398c80,0,False
53,1039,1040,6,0x2383c00,0x6640b29,0x2385140,0,False
54,1072,1073,6,0x238af00,0x7750b29,0x2390440,0,False
55,1083,1084,6,0x2396200,0x6740b29,0x2398c80,0,False
56,1094,1095,6,0x2383c00,0x6640b29,0x2385140,0,False
57,1127,1128,6,0x238af00,0x7750b29,0x2390440,0,False
58,1138,1139,6,0x2396200,0x6740b29,0x2398c80,0,False
59,1149,1150,6,0x2383c00,0x6640b29,0x2385140,0,False
60,1182,1183,6,0x238af00,0x7750b29,0x2390440,0,False
61,1193,1194,6,0x2396200,0x6740b29,0x2398c80,0,False
62,1204,1205,6,0x2383c00,0x6640b29,0x2385140,0,False
63,1237,1238,6,0x235f680,0x7750b29,0x2364bc0,0,False
64,1248,1249,6,0x23a8f00,0x6740b29,0x23ab980,0,False
65,1259,1260,6,0x2390880,0x7750b29,0x2395dc0,0,False
66,1270,1271,6,0x2385580,0x7750b29,0x238aac0,0,False
67,1303,1304,6,0x238af00,0x7750b29,0x2390440,0,False
68,1314,1315,6,0x2396200,0x6740b29,0x2398c80,0,False
69,1325,1326,6,0x2383c00,0x6640b29,0x2385140,0,False
70,1358,1359,6,0x238af00,0x7750b29,0x2390440,0,False
71,1369,1370,6,0x2396200,0x6740b29,0x2398c80,0,False
72,1380,1381,6,0x2383c00,0x6640b29,0x2385140,0,False
73,1413,1414,6,0x238af00,0x7750b29,0x2390440,0,False
74,1424,1425,6,0x2396200,0x6740b29,0x2398c80,0,False
75,1435,1436,6,0x2383c00,0x6640b29,0x2385140,0,False
76,1468,1469,6,0x238af00,0x7750b29,0x2390440,0,False
77,1479,1480,6,0x2383c00,0x6640b29,0x2385140,0,False
78,1512,1513,6,0x238af00,0x7750b29,0x2390440,0,False
79,1523,1524,6,0x2383c00,0x6640b29,0x2385140,0,False
80,1556,1557,6,0x238af00,0x7750b29,0x2390440,0,False
81,1567,1568,6,0x2383c00,0x6640b29,0x2385140,0,False
82,1600,1601,6,0x238af00,0x7750b29,0x2390440,0,False
83,1611,1612,6,0x2383c00,0x6640b29,0x2385140,0,False
84,1644,1645,6,0x238af00,0x7750b29,0x2390440,0,False
85,1655,1657,6,0x2378900,0x7750b29,0x237de40,1,False
86,1667,1668,6,0x2383c00,0x6640b29,0x2385140,0,False
87,1680,1682,6,0x23abd80,0x6640b29,0x23ad2c0,1,False
88,1702,1703,6,0x23ad700,0x8860b29,0x23c2c40,0,False
89,1739,1740,6,0x238af00,0x7750b29,0x2390440,0,False
90,1750,1751,6,0x2383c00,0x6640b29,0x2385140,0,False
91,1783,1784,6,0x23c3080,0x6640b29,0x23c45c0,0,False
92,1794,1795,6,0x238af00,0x7750b29,0x2390440,0,False
93,1805,1806,6,0x2378900,0x7750b29,0x237de40,0,False
94,1816,1818,6,0x2383c00,0x6640b29,0x2385140,1,False
95,1830,1831,6,0x23abd80,0x6640b29,0x23ad2c0,0,False
96,1843,1845,6,0x2385580,0x7750b29,0x238aac0,1,False
97,1877,1878,6,0x238af00,0x7750b29,0x2390440,0,False
98,1888,1889,6,0x2383c00,0x6640b29,0x2385140,0,False
99,1921,1922,6,0x238af00,0x7750b29,0x2390440,0,False
100,1932,1933,6,0x2378900,0x7750b29,0x237de40,0,False
101,1943,1945,6,0x2383c00,0x6640b29,0x2385140,1,False
102,1957,1958,6,0x23abd80,0x6640b29,0x23ad2c0,0,False
103,1978,1979,6,0x23ad700,0x8860b29,0x23c2c40,0,False
104,2015,2017,6,0x238af00,0x7750b29,0x2390440,1,False
105,2027,2028,6,0x2378900,0x7750b29,0x237de40,0,False
106,2038,2040,6,0x2383c00,0x6640b29,0x2385140,1,False
107,2052,2053,6,0x23abd80,0x6640b29,0x23ad2c0,0,False
108,2073,2074,6,0x23ad700,0x8860b29,0x23c2c40,0,False
109,2110,2111,6,0x238af00,0x7750b29,0x2390440,0,False
110,2121,2122,6,0x2383c00,0x6640b29,0x2385140,0,False
111,2154,2155,6,0x238af00,0x7750b29,0x2390440,0,False
112,2165,2166,6,0x2383c00,0x6640b29,0x2385140,0,False
113,2198,2199,6,0x238af00,0x7750b29,0x2390440,0,False
114,2209,2210,6,0x2383c00,0x6640b29,0x2385140,0,False
115,2242,2243,6,0x23ca380,0x7750b29,0x23cf8c0,0,False
116,2253,2254,6,0x23c4a00,0x7750b29,0x23c9f40,0,False
117,2264,2266,6,0x238af00,0x7750b29,0x2390440,1,False
118,2276,2277,6,0x2378900,0x7750b29,0x237de40,0,False
119,2287,2289,6,0x2383c00,0x6640b29,0x2385140,1,False
120,2301,2302,6,0x23abd80,0x6640b29,0x23ad2c0,0,False
121,2336,2337,6,0x23ca380,0x7750b29,0x23cf8c0,0,False
122,2347,2349,6,0x238af00,0x7750b29,0x2390440,1,False
123,2359,2360,6,0x2378900,0x7750b29,0x237de40,0,False
124,2372,2373,6,0x23abd80,0x6640b29,0x23ad2c0,0,False
125,2393,2394,6,0x23ad700,0x8860b29,0x23c2c40,0,False
126,2430,2432,6,0x238af00,0x7750b29,0x2390440,1,False
127,2442,2443,6,0x2378900,0x7750b29,0x237de40,0,False
128,2453,2454,6,0x2383c00,0x6640b29,0x2385140,0,False
129,2466,2467,6,0x23abd80,0x6640b29,0x23ad2c0,0,False
130,2487,2488,6,0x23ad700,0x8860b29,0x23c2c40,0,False
131,2524,2525,6,0x23ca380,0x7750b29,0x23cf8c0,0,False
132,2535,2536,6,0x238af00,0x7750b29,0x2390440,0,False
133,2546,2547,6,0x2378900,0x7750b29,0x237de40,0,False
134,2557,2558,6,0x2383c00,0x6640b29,0x2385140,0,False
135,2570,2572,6,0x23abd80,0x6640b29,0x23ad2c0,1,False
136,2606,2607,6,0x238af00,0x7750b29,0x2390440,0,False
137,2617,2618,6,0x2378900,0x7750b29,0x237de40,0,False
138,2628,2630,6,0x2383c00,0x6640b29,0x2385140,1,False
139,2642,2644,6,0x23abd80,0x6640b29,0x23ad2c0,1,False
140,2664,2665,6,0x23cfd00,0x7750b29,0x23d5240,0,False
141,2701,2702,6,0x23a8f00,0x6740b29,0x23ab980,0,False
142,2712,2713,6,0x2390880,0x7750b29,0x2395dc0,0,False
143,2723,2724,6,0x2385580,0x7750b29,0x238aac0,0,False
144,2756,2757,6,0x238af00,0x7750b29,0x2390440,0,False
145,2767,2768,6,0x2378900,0x7750b29,0x237de40,0,False
146,2778,2780,6,0x2383c00,0x6640b29,0x2385140,1,False
147,2792,2793,6,0x23abd80,0x6640b29,0x23ad2c0,0,False
148,2813,2814,6,0x237e280,0x7750b29,0x23837c0,0,False
149,2850,2851,6,0x238af00,0x7750b29,0x2390440,0,False
150,2861,2863,6,0x2378900,0x7750b29,0x237de40,1,False
151,2873,2875,6,0x2383c00,0x6640b29,0x2385140,1,False
152,2887,2889,6,0x23abd80,0x6640b29,0x23ad2c0,1,False
153,2909,2910,6,0x23cfd00,0x7750b29,0x23d5240,0,False
154,2948,2950,6,0x23dc980,0x7750b29,0x23e1ec0,1,False
155,2962,2963,6,0x2385580,0x7750b29,0x238aac0,0,False
156,2995,2996,6,0x23ca380,0x7750b29,0x23cf8c0,0,False
157,3006,3008,6,0x23c4a00,0x7750b29,0x23c9f40,1,False
158,3018,3021,6,0x238af00,0x7750b29,0x2390440,2,False
159,3031,3032,6,0x2378900,0x7750b29,0x237de40,0,False
160,3042,3043,6,0x2383c00,0x6640b29,0x2385140,0,False
161,3055,3057,6,0x23abd80,0x6640b29,0x23ad2c0,1,False
162,3091,3092,6,0x2372f80,0x7750b29,0x23784c0,0,False
163,3102,3103,6,0x2372600,0x5530b29,0x2372b40,0,False
164,3139,3140,6,0x3b4ae80,0x4410029,0x2372b40,0,False
165,3171,3172,6,0x3b4ae80,0x4410029,0x2372b40,0,False
166,3209,3210,6,0x2420380,0x6640b29,0x24218c0,0,False
167,3220,3221,6,0x2431900,0x6640b29,0x2432e40,0,False
168,3231,3232,6,0x242b300,0x6640b29,0x242c840,0,False
169,3242,3243,6,0x2422680,0x6640b29,0x2423bc0,0,False
170,3253,3258,6,0x242cc80,0x6640b29,0x242e1c0,4,False
171,3268,3270,6,0x241ea00,0x6640b29,0x241ff40,1,False
