table	offset	round	week	date	home	away	kickoff	slot	primetime	hour_field	minute_field
upcoming	0x00072a94	regular	1	2004-09-09	Patriots	Colts	9:00 PM	monday_or_thursday_night	True	9	0
upcoming	0x00072a9c	regular	1	2004-09-12	Bills	Jaguars	1:00 PM	standard	False	1	0
upcoming	0x00072aa4	regular	1	2004-09-12	Bears	Lions	1:00 PM	standard	False	1	0
upcoming	0x00072aac	regular	1	2004-09-12	Browns	Ravens	1:00 PM	standard	False	1	0
upcoming	0x00072ab4	regular	1	2004-09-12	Texans	Chargers	1:00 PM	standard	False	1	0
upcoming	0x00072abc	regular	1	2004-09-12	Dolphins	Titans	1:00 PM	standard	False	1	0
upcoming	0x00072ac4	regular	1	2004-09-12	Saints	Seahawks	1:00 PM	standard	False	1	0
upcoming	0x00072acc	regular	1	2004-09-12	Jets	Bengals	1:00 PM	standard	False	1	0
upcoming	0x00072ad4	regular	1	2004-09-12	Steelers	Raiders	1:00 PM	standard	False	1	0
upcoming	0x00072adc	regular	1	2004-09-12	Rams	Cardinals	1:00 PM	standard	False	1	0
upcoming	0x00072ae4	regular	1	2004-09-12	Redskins	Buccaneers	1:00 PM	standard	False	1	0
upcoming	0x00072aec	regular	1	2004-09-12	Vikings	Cowboys	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072af4	regular	1	2004-09-12	Eagles	Giants	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072afc	regular	1	2004-09-12	Broncos	Chiefs	8:30 PM	sunday_night	True	8	30
upcoming	0x00072b04	regular	1	2004-09-12	49ers	Falcons	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072b0c	regular	1	2004-09-13	Panthers	Packers	9:00 PM	monday_or_thursday_night	True	9	0
upcoming	0x00072b14	regular	2	2004-09-19	Falcons	Rams	1:00 PM	standard	False	1	0
upcoming	0x00072b1c	regular	2	2004-09-19	Ravens	Steelers	1:00 PM	standard	False	1	0
upcoming	0x00072b24	regular	2	2004-09-19	Cowboys	Browns	1:00 PM	standard	False	1	0
upcoming	0x00072b2c	regular	2	2004-09-19	Lions	Texans	1:00 PM	standard	False	1	0
upcoming	0x00072b34	regular	2	2004-09-19	Packers	Bears	1:00 PM	standard	False	1	0
upcoming	0x00072b3c	regular	2	2004-09-19	Jaguars	Broncos	1:00 PM	standard	False	1	0
upcoming	0x00072b44	regular	2	2004-09-19	Chiefs	Panthers	1:00 PM	standard	False	1	0
upcoming	0x00072b4c	regular	2	2004-09-19	Saints	49ers	1:00 PM	standard	False	1	0
upcoming	0x00072b54	regular	2	2004-09-19	Giants	Redskins	1:00 PM	standard	False	1	0
upcoming	0x00072b5c	regular	2	2004-09-19	Buccaneers	Seahawks	4:05 PM	late_doubleheader	False	4	5
upcoming	0x00072b64	regular	2	2004-09-19	Cardinals	Patriots	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072b6c	regular	2	2004-09-19	Raiders	Bills	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072b74	regular	2	2004-09-19	Chargers	Jets	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072b7c	regular	2	2004-09-19	Titans	Colts	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072b84	regular	2	2004-09-19	Bengals	Dolphins	8:30 PM	sunday_night	True	8	30
upcoming	0x00072b8c	regular	2	2004-09-20	Eagles	Vikings	9:00 PM	monday_or_thursday_night	True	9	0
upcoming	0x00072b94	regular	3	2004-09-26	Falcons	Cardinals	1:00 PM	standard	False	1	0
upcoming	0x00072b9c	regular	3	2004-09-26	Bengals	Ravens	1:00 PM	standard	False	1	0
upcoming	0x00072ba4	regular	3	2004-09-26	Lions	Eagles	1:00 PM	standard	False	1	0
upcoming	0x00072bac	regular	3	2004-09-26	Chiefs	Texans	1:00 PM	standard	False	1	0
upcoming	0x00072bb4	regular	3	2004-09-26	Dolphins	Steelers	1:00 PM	standard	False	1	0
upcoming	0x00072bbc	regular	3	2004-09-26	Vikings	Bears	1:00 PM	standard	False	1	0
upcoming	0x00072bc4	regular	3	2004-09-26	Giants	Browns	1:00 PM	standard	False	1	0
upcoming	0x00072bcc	regular	3	2004-09-26	Rams	Saints	1:00 PM	standard	False	1	0
upcoming	0x00072bd4	regular	3	2004-09-26	Broncos	Chargers	4:05 PM	late_doubleheader	False	4	5
upcoming	0x00072bdc	regular	3	2004-09-26	Titans	Jaguars	1:00 PM	standard	False	1	0
upcoming	0x00072be4	regular	3	2004-09-26	Colts	Packers	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072bec	regular	3	2004-09-26	Seahawks	49ers	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072bf4	regular	3	2004-09-26	Raiders	Buccaneers	8:30 PM	sunday_night	True	8	30
upcoming	0x00072bfc	regular	3	2004-09-27	Redskins	Cowboys	9:00 PM	monday_or_thursday_night	True	9	0
upcoming	0x00072c04	regular	4	2004-10-03	Bills	Patriots	1:00 PM	standard	False	1	0
upcoming	0x00072c0c	regular	4	2004-10-03	Bears	Eagles	1:00 PM	standard	False	1	0
upcoming	0x00072c14	regular	4	2004-10-03	Browns	Redskins	1:00 PM	standard	False	1	0
upcoming	0x00072c1c	regular	4	2004-10-03	Packers	Giants	1:00 PM	standard	False	1	0
upcoming	0x00072c24	regular	4	2004-10-03	Texans	Raiders	1:00 PM	standard	False	1	0
upcoming	0x00072c2c	regular	4	2004-10-03	Jaguars	Colts	1:00 PM	standard	False	1	0
upcoming	0x00072c34	regular	4	2004-10-03	Cardinals	Saints	4:05 PM	late_doubleheader	False	4	5
upcoming	0x00072c3c	regular	4	2004-10-03	Steelers	Bengals	1:00 PM	standard	False	1	0
upcoming	0x00072c44	regular	4	2004-10-03	Panthers	Falcons	4:05 PM	late_doubleheader	False	4	5
upcoming	0x00072c4c	regular	4	2004-10-03	Dolphins	Jets	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072c54	regular	4	2004-10-03	Chargers	Titans	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072c5c	regular	4	2004-10-03	Buccaneers	Broncos	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072c64	regular	4	2004-10-03	49ers	Rams	8:30 PM	sunday_night	True	8	30
upcoming	0x00072c6c	regular	4	2004-10-04	Ravens	Chiefs	9:00 PM	monday_or_thursday_night	True	9	0
upcoming	0x00072c74	regular	5	2004-10-10	Falcons	Lions	1:00 PM	standard	False	1	0
upcoming	0x00072c7c	regular	5	2004-10-10	Cowboys	Giants	1:00 PM	standard	False	1	0
upcoming	0x00072c84	regular	5	2004-10-10	Texans	Vikings	1:00 PM	standard	False	1	0
upcoming	0x00072c8c	regular	5	2004-10-10	Colts	Raiders	1:00 PM	standard	False	1	0
upcoming	0x00072c94	regular	5	2004-10-10	Patriots	Dolphins	1:00 PM	standard	False	1	0
upcoming	0x00072c9c	regular	5	2004-10-10	Saints	Buccaneers	1:00 PM	standard	False	1	0
upcoming	0x00072ca4	regular	5	2004-10-10	Jets	Bills	4:05 PM	late_doubleheader	False	4	5
upcoming	0x00072cac	regular	5	2004-10-10	Steelers	Browns	1:00 PM	standard	False	1	0
upcoming	0x00072cb4	regular	5	2004-10-10	Broncos	Panthers	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072cbc	regular	5	2004-10-10	Chargers	Jaguars	4:05 PM	late_doubleheader	False	4	5
upcoming	0x00072cc4	regular	5	2004-10-10	49ers	Cardinals	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072ccc	regular	5	2004-10-10	Seahawks	Rams	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072cd4	regular	5	2004-10-10	Redskins	Ravens	8:30 PM	sunday_night	True	8	30
upcoming	0x00072cdc	regular	5	2004-10-11	Packers	Titans	9:00 PM	monday_or_thursday_night	True	9	0
upcoming	0x00072ce4	regular	6	2004-10-17	Falcons	Chargers	1:00 PM	standard	False	1	0
upcoming	0x00072cec	regular	6	2004-10-17	Bills	Dolphins	1:00 PM	standard	False	1	0
upcoming	0x00072cf4	regular	6	2004-10-17	Bears	Redskins	1:00 PM	standard	False	1	0
upcoming	0x00072cfc	regular	6	2004-10-17	Browns	Bengals	1:00 PM	standard	False	1	0
upcoming	0x00072d04	regular	6	2004-10-17	Lions	Packers	1:00 PM	standard	False	1	0
upcoming	0x00072d0c	regular	6	2004-10-17	Jaguars	Chiefs	1:00 PM	standard	False	1	0
upcoming	0x00072d14	regular	6	2004-10-17	Jets	49ers	1:00 PM	standard	False	1	0
upcoming	0x00072d1c	regular	6	2004-10-17	Patriots	Seahawks	1:00 PM	standard	False	1	0
upcoming	0x00072d24	regular	6	2004-10-17	Eagles	Panthers	1:00 PM	standard	False	1	0
upcoming	0x00072d2c	regular	6	2004-10-17	Titans	Texans	1:00 PM	standard	False	1	0
upcoming	0x00072d34	regular	6	2004-10-17	Cowboys	Steelers	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072d3c	regular	6	2004-10-17	Raiders	Broncos	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072d44	regular	6	2004-10-17	Saints	Vikings	8:30 PM	sunday_night	True	8	30
upcoming	0x00072d4c	regular	6	2004-10-18	Rams	Buccaneers	9:00 PM	monday_or_thursday_night	True	9	0
upcoming	0x00072d54	regular	7	2004-10-24	Ravens	Bills	1:00 PM	standard	False	1	0
upcoming	0x00072d5c	regular	7	2004-10-24	Panthers	Chargers	1:00 PM	standard	False	1	0
upcoming	0x00072d64	regular	7	2004-10-24	Browns	Eagles	1:00 PM	standard	False	1	0
upcoming	0x00072d6c	regular	7	2004-10-24	Colts	Jaguars	1:00 PM	standard	False	1	0
upcoming	0x00072d74	regular	7	2004-10-24	Chiefs	Falcons	1:00 PM	standard	False	1	0
upcoming	0x00072d7c	regular	7	2004-10-24	Dolphins	Rams	1:00 PM	standard	False	1	0
upcoming	0x00072d84	regular	7	2004-10-24	Vikings	Titans	1:00 PM	standard	False	1	0
upcoming	0x00072d8c	regular	7	2004-10-24	Giants	Lions	1:00 PM	standard	False	1	0
upcoming	0x00072d94	regular	7	2004-10-24	Patriots	Jets	4:05 PM	late_doubleheader	False	4	5
upcoming	0x00072d9c	regular	7	2004-10-24	Buccaneers	Bears	1:00 PM	standard	False	1	0
upcoming	0x00072da4	regular	7	2004-10-24	Cardinals	Seahawks	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072dac	regular	7	2004-10-24	Packers	Cowboys	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072db4	regular	7	2004-10-24	Raiders	Saints	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072dbc	regular	7	2004-10-25	Bengals	Broncos	9:00 PM	monday_or_thursday_night	True	9	0
upcoming	0x00072dc4	regular	8	2004-10-31	Bills	Cardinals	1:00 PM	standard	False	1	0
upcoming	0x00072dcc	regular	8	2004-10-31	Cowboys	Lions	1:00 PM	standard	False	1	0
upcoming	0x00072dd4	regular	8	2004-10-31	Texans	Jaguars	1:00 PM	standard	False	1	0
upcoming	0x00072ddc	regular	8	2004-10-31	Chiefs	Colts	1:00 PM	standard	False	1	0
upcoming	0x00072de4	regular	8	2004-10-31	Vikings	Giants	1:00 PM	standard	False	1	0
upcoming	0x00072dec	regular	8	2004-10-31	Steelers	Patriots	1:00 PM	standard	False	1	0
upcoming	0x00072df4	regular	8	2004-10-31	Titans	Bengals	1:00 PM	standard	False	1	0
upcoming	0x00072dfc	regular	8	2004-10-31	Redskins	Packers	1:00 PM	standard	False	1	0
upcoming	0x00072e04	regular	8	2004-10-31	Broncos	Falcons	4:05 PM	late_doubleheader	False	4	5
upcoming	0x00072e0c	regular	8	2004-10-31	Seahawks	Panthers	4:05 PM	late_doubleheader	False	4	5
upcoming	0x00072e14	regular	8	2004-10-31	Eagles	Ravens	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072e1c	regular	8	2004-10-31	Chargers	Raiders	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072e24	regular	8	2004-10-31	Bears	49ers	8:30 PM	sunday_night	True	8	30
upcoming	0x00072e2c	regular	8	2004-11-01	Jets	Dolphins	9:00 PM	monday_or_thursday_night	True	9	0
upcoming	0x00072e34	regular	9	2004-11-07	Bills	Jets	1:00 PM	standard	False	1	0
upcoming	0x00072e3c	regular	9	2004-11-07	Panthers	Raiders	1:00 PM	standard	False	1	0
upcoming	0x00072e44	regular	9	2004-11-07	Bengals	Cowboys	1:00 PM	standard	False	1	0
upcoming	0x00072e4c	regular	9	2004-11-07	Lions	Redskins	1:00 PM	standard	False	1	0
upcoming	0x00072e54	regular	9	2004-11-07	Dolphins	Cardinals	1:00 PM	standard	False	1	0
upcoming	0x00072e5c	regular	9	2004-11-07	Steelers	Eagles	1:00 PM	standard	False	1	0
upcoming	0x00072e64	regular	9	2004-11-07	Giants	Bears	4:05 PM	late_doubleheader	False	4	5
upcoming	0x00072e6c	regular	9	2004-11-07	Buccaneers	Chiefs	1:00 PM	standard	False	1	0
upcoming	0x00072e74	regular	9	2004-11-07	Chargers	Saints	4:05 PM	late_doubleheader	False	4	5
upcoming	0x00072e7c	regular	9	2004-11-07	49ers	Seahawks	4:05 PM	late_doubleheader	False	4	5
upcoming	0x00072e84	regular	9	2004-11-07	Broncos	Texans	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072e8c	regular	9	2004-11-07	Rams	Patriots	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072e94	regular	9	2004-11-07	Ravens	Browns	8:30 PM	sunday_night	True	8	30
upcoming	0x00072e9c	regular	9	2004-11-08	Colts	Vikings	9:00 PM	monday_or_thursday_night	True	9	0
upcoming	0x00072ea4	regular	10	2004-11-14	Falcons	Buccaneers	1:00 PM	standard	False	1	0
upcoming	0x00072eac	regular	10	2004-11-14	Browns	Steelers	1:00 PM	standard	False	1	0
upcoming	0x00072eb4	regular	10	2004-11-14	Colts	Texans	1:00 PM	standard	False	1	0
upcoming	0x00072ebc	regular	10	2004-11-14	Jaguars	Lions	1:00 PM	standard	False	1	0
upcoming	0x00072ec4	regular	10	2004-11-14	Jets	Ravens	1:00 PM	standard	False	1	0
upcoming	0x00072ecc	regular	10	2004-11-14	Saints	Chiefs	1:00 PM	standard	False	1	0
upcoming	0x00072ed4	regular	10	2004-11-14	Rams	Seahawks	1:00 PM	standard	False	1	0
upcoming	0x00072edc	regular	10	2004-11-14	Titans	Bears	1:00 PM	standard	False	1	0
upcoming	0x00072ee4	regular	10	2004-11-14	Cardinals	Giants	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072eec	regular	10	2004-11-14	Redskins	Bengals	4:05 PM	late_doubleheader	False	4	5
upcoming	0x00072ef4	regular	10	2004-11-14	Packers	Vikings	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072efc	regular	10	2004-11-14	49ers	Panthers	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072f04	regular	10	2004-11-14	Patriots	Bills	8:30 PM	sunday_night	True	8	30
upcoming	0x00072f0c	regular	10	2004-11-15	Cowboys	Eagles	9:00 PM	monday_or_thursday_night	True	9	0
upcoming	0x00072f14	regular	11	2004-11-21	Ravens	Cowboys	1:00 PM	standard	False	1	0
upcoming	0x00072f1c	regular	11	2004-11-21	Bills	Rams	1:00 PM	standard	False	1	0
upcoming	0x00072f24	regular	11	2004-11-21	Panthers	Cardinals	1:00 PM	standard	False	1	0
upcoming	0x00072f2c	regular	11	2004-11-21	Bears	Colts	1:00 PM	standard	False	1	0
upcoming	0x00072f34	regular	11	2004-11-21	Bengals	Steelers	1:00 PM	standard	False	1	0
upcoming	0x00072f3c	regular	11	2004-11-21	Browns	Jets	1:00 PM	standard	False	1	0
upcoming	0x00072f44	regular	11	2004-11-21	Jaguars	Titans	1:00 PM	standard	False	1	0
upcoming	0x00072f4c	regular	11	2004-11-21	Vikings	Lions	1:00 PM	standard	False	1	0
upcoming	0x00072f54	regular	11	2004-11-21	Saints	Broncos	1:00 PM	standard	False	1	0
upcoming	0x00072f5c	regular	11	2004-11-21	Buccaneers	49ers	1:00 PM	standard	False	1	0
upcoming	0x00072f64	regular	11	2004-11-21	Raiders	Chargers	4:05 PM	late_doubleheader	False	4	5
upcoming	0x00072f6c	regular	11	2004-11-21	Seahawks	Dolphins	4:05 PM	late_doubleheader	False	4	5
upcoming	0x00072f74	regular	11	2004-11-21	Giants	Falcons	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072f7c	regular	11	2004-11-21	Eagles	Redskins	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072f84	regular	11	2004-11-21	Texans	Packers	8:30 PM	sunday_night	True	8	30
upcoming	0x00072f8c	regular	11	2004-11-22	Chiefs	Patriots	9:00 PM	monday_or_thursday_night	True	9	0
upcoming	0x00072f94	regular	12	2004-11-25	Cowboys	Bears	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072f9c	regular	12	2004-11-25	Lions	Colts	12:30 PM	thanksgiving_early	False	12	30
upcoming	0x00072fa4	regular	12	2004-11-28	Panthers	Buccaneers	1:00 PM	standard	False	1	0
upcoming	0x00072fac	regular	12	2004-11-28	Bengals	Browns	1:00 PM	standard	False	1	0
upcoming	0x00072fb4	regular	12	2004-11-28	Texans	Titans	1:00 PM	standard	False	1	0
upcoming	0x00072fbc	regular	12	2004-11-28	Chiefs	Chargers	1:00 PM	standard	False	1	0
upcoming	0x00072fc4	regular	12	2004-11-28	Vikings	Jaguars	1:00 PM	standard	False	1	0
upcoming	0x00072fcc	regular	12	2004-11-28	Patriots	Ravens	1:00 PM	standard	False	1	0
upcoming	0x00072fd4	regular	12	2004-11-28	Giants	Eagles	1:00 PM	standard	False	1	0
upcoming	0x00072fdc	regular	12	2004-11-28	Steelers	Redskins	1:00 PM	standard	False	1	0
upcoming	0x00072fe4	regular	12	2004-11-28	Cardinals	Jets	4:15 PM	late_doubleheader	False	4	15
upcoming	0x00072fec	regular	12	2004-11-28	Falcons	Saints	4:05 PM	late_doubleheader	False	4	5
upcoming	0x00072ff4	regular	12	2004-11-28	49ers	Dolphins	4:15 PM	late_doubleheader	False	4	15
